name,trade_date,pct_change,total_mv,up_num,down_num
影视概念,20241220,0.33,61354208.0,30,30
影视概念,20241221,0.33,61354208.0,30,30
影视概念,20241222,0.33,61354208.0,30,30
影视概念,20241223,-6.37,58117171.2,2,61
影视概念,20241224,-0.51,58309859.2,29,33
影视概念,20241225,-1.99,57414467.2,12,50
影视概念,20241226,0.55,57410452.8,33,26
影视概念,20241227,0.91,57788140.8,42,19
影视概念,20241228,0.91,57788140.8,42,19
影视概念,20241229,0.91,57788140.8,42,19
影视概念,20241230,-1.46,57321657.6,14,47
影视概念,20241231,-2.65,55786576.0,8,54
影视概念,20250101,-2.65,55786576.0,8,54
影视概念,20250102,-1.39,54654966.4,13,46
影视概念,20250103,-4.08,52578304.0,7,56
影视概念,20250104,-4.08,52578304.0,7,56
影视概念,20250105,-4.08,52578304.0,7,56
影视概念,20250106,-1.14,51933908.8,17,45
影视概念,20250107,2.0,52506422.4,53,9
影视概念,20250108,0.59,52872696.0,35,24
影视概念,20250109,0.43,52890963.2,33,25
影视概念,20250110,-3.62,51262100.8,4,59
影视概念,20250111,-3.62,51262100.8,4,59
影视概念,20250112,-3.62,51262100.8,4,59
影视概念,20250113,-0.4,51207190.4,27,33
影视概念,20250114,5.22,53597945.6,62,1
影视概念,20250115,0.81,53870339.2,39,21
影视概念,20250116,0.75,54053225.6,46,12
影视概念,20250117,-0.99,53882478.4,17,43
影视概念,20250118,-0.99,53882478.4,17,43
影视概念,20250119,-0.99,53882478.4,17,43
影视概念,20250120,1.33,54546051.2,48,10
影视概念,20250121,-0.37,54576862.4,23,38
影视概念,20250122,-1.85,53799624.0,8,55
影视概念,20250123,0.33,54050416.0,32,27
影视概念,20250124,1.92,55093966.4,49,13
影视概念,20250125,1.92,55093966.4,49,13
影视概念,20250126,1.92,55093966.4,49,13
影视概念,20250127,-0.47,54906680.0,23,36
影视概念,20250128,-0.47,54906680.0,23,36
影视概念,20250129,-0.47,54906680.0,23,36
影视概念,20250130,-0.47,54906680.0,23,36
影视概念,20250131,-0.47,54906680.0,23,36
影视概念,20250201,-0.47,54906680.0,23,36
影视概念,20250202,-0.47,54906680.0,23,36
影视概念,20250203,-0.47,54906680.0,23,36
影视概念,20250204,-0.47,54906680.0,23,36
影视概念,20250205,0.75,55516305.6,44,17
影视概念,20250206,2.48,57250961.6,54,6
影视概念,20250207,1.09,57692340.8,39,20
影视概念,20250208,1.09,57692340.8,39,20
影视概念,20250209,1.09,57692340.8,39,20
影视概念,20250210,3.61,60080955.2,55,4
影视概念,20250211,1.03,61666366.4,35,26
影视概念,20250212,1.42,63664113.6,44,18
影视概念,20250213,2.43,66365894.4,36,26
影视概念,20250214,-0.17,67786436.8,25,34
影视概念,20250215,-0.17,67786436.8,25,34
