name,trade_date,pct_change,total_mv,up_num,down_num
抖音概念(字节概念),20241220,0.63,80281716.8,47,27
抖音概念(字节概念),20241221,0.63,80281716.8,47,27
抖音概念(字节概念),20241222,0.63,80281716.8,47,27
抖音概念(字节概念),20241223,-6.45,76700470.4,6,70
抖音概念(字节概念),20241224,0.27,76809344.0,36,38
抖音概念(字节概念),20241225,-3.0,74942601.6,12,63
抖音概念(字节概念),20241226,1.69,76033507.2,60,13
抖音概念(字节概念),20241227,-0.51,75409278.4,39,36
抖音概念(字节概念),20241228,-0.51,75409278.4,39,36
抖音概念(字节概念),20241229,-0.51,75409278.4,39,36
抖音概念(字节概念),20241230,-1.2,75085208.0,23,52
抖音概念(字节概念),20241231,-3.92,72344867.2,9,66
抖音概念(字节概念),20250101,-3.92,72344867.2,9,66
抖音概念(字节概念),20250102,-0.31,71081822.4,27,46
抖音概念(字节概念),20250103,-6.4,66838004.8,3,73
抖音概念(字节概念),20250104,-6.4,66838004.8,3,73
抖音概念(字节概念),20250105,-6.4,66838004.8,3,73
抖音概念(字节概念),20250106,-1.92,66089467.2,19,57
抖音概念(字节概念),20250107,3.42,68547355.2,71,5
抖音概念(字节概念),20250108,1.16,69003118.4,41,33
抖音概念(字节概念),20250109,1.15,69949283.2,53,20
抖音概念(字节概念),20250110,-4.3,67773739.2,6,71
抖音概念(字节概念),20250111,-4.3,67773739.2,6,71
抖音概念(字节概念),20250112,-4.3,67773739.2,6,71
抖音概念(字节概念),20250113,-0.88,67182340.8,35,42
抖音概念(字节概念),20250114,7.65,72406710.4,76,1
抖音概念(字节概念),20250115,2.06,73496166.4,51,25
抖音概念(字节概念),20250116,1.21,73956337.6,51,24
抖音概念(字节概念),20250117,-1.9,72606401.6,17,58
抖音概念(字节概念),20250118,-1.9,72606401.6,17,58
抖音概念(字节概念),20250119,-1.9,72606401.6,17,58
抖音概念(字节概念),20250120,0.69,73232356.8,42,32
抖音概念(字节概念),20250121,0.35,74336900.8,41,36
抖音概念(字节概念),20250122,-1.95,73365086.4,13,65
抖音概念(字节概念),20250123,0.33,73481577.6,36,38
抖音概念(字节概念),20250124,3.0,75913817.6,69,8
抖音概念(字节概念),20250125,3.0,75913817.6,69,8
抖音概念(字节概念),20250126,3.0,75913817.6,69,8
抖音概念(字节概念),20250127,-1.32,74988283.2,21,56
抖音概念(字节概念),20250128,-1.32,74988283.2,21,56
抖音概念(字节概念),20250129,-1.32,74988283.2,21,56
抖音概念(字节概念),20250130,-1.32,74988283.2,21,56
抖音概念(字节概念),20250131,-1.32,74988283.2,21,56
抖音概念(字节概念),20250201,-1.32,74988283.2,21,56
抖音概念(字节概念),20250202,-1.32,74988283.2,21,56
抖音概念(字节概念),20250203,-1.32,74988283.2,21,56
抖音概念(字节概念),20250204,-1.32,74988283.2,21,56
抖音概念(字节概念),20250205,3.5,78737465.6,67,11
抖音概念(字节概念),20250206,3.09,81017488.0,75,3
抖音概念(字节概念),20250207,1.02,82881112.0,54,24
抖音概念(字节概念),20250208,1.02,82881112.0,54,24
抖音概念(字节概念),20250209,1.02,82881112.0,54,24
抖音概念(字节概念),20250210,3.73,85743664.0,76,4
抖音概念(字节概念),20250211,0.83,86209913.6,36,43
抖音概念(字节概念),20250212,1.48,87770243.2,51,28
抖音概念(字节概念),20250213,0.29,87415374.4,36,41
抖音概念(字节概念),20250214,0.04,88996027.2,43,36
抖音概念(字节概念),20250215,0.04,88996027.2,43,36
