name,trade_date,pct_change,total_mv,up_num,down_num
数字经济,20241220,0.95,174272643.2,108,46
数字经济,20241221,0.95,174272643.2,108,46
数字经济,20241222,0.95,174272643.2,108,46
数字经济,20241223,-5.4,167818176.0,11,149
数字经济,20241224,0.35,169154337.6,86,70
数字经济,20241225,-3.11,166162843.2,17,142
数字经济,20241226,1.81,169128760.0,127,28
数字经济,20241227,0.1,167504961.6,96,60
数字经济,20241228,0.1,167504961.6,96,60
数字经济,20241229,0.1,167504961.6,96,60
数字经济,20241230,-0.66,166762171.2,58,100
数字经济,20241231,-3.35,160649308.8,20,138
数字经济,20250101,-3.35,160649308.8,20,138
数字经济,20250102,-2.53,154671190.4,21,137
数字经济,20250103,-5.61,146568172.8,8,152
数字经济,20250104,-5.61,146568172.8,8,152
数字经济,20250105,-5.61,146568172.8,8,152
数字经济,20250106,-1.77,144760443.2,31,125
数字经济,20250107,3.68,149358308.8,154,5
数字经济,20250108,-0.06,148706555.2,62,90
数字经济,20250109,0.66,150013560.0,110,43
数字经济,20250110,-3.66,144461180.8,10,149
数字经济,20250111,-3.66,144461180.8,10,149
数字经济,20250112,-3.66,144461180.8,10,149
数字经济,20250113,0.14,144417115.2,88,63
数字经济,20250114,6.23,152999712.0,159,1
数字经济,20250115,0.0,152475094.4,60,98
数字经济,20250116,0.86,152531345.6,102,51
数字经济,20250117,-0.62,152075537.6,52,102
数字经济,20250118,-0.62,152075537.6,52,102
数字经济,20250119,-0.62,152075537.6,52,102
数字经济,20250120,0.97,153963740.8,112,42
数字经济,20250121,0.0,154845409.6,69,88
数字经济,20250122,-1.07,153925275.2,38,121
数字经济,20250123,-0.16,153102236.8,65,88
数字经济,20250124,3.01,157354120.0,141,17
数字经济,20250125,3.01,157354120.0,141,17
数字经济,20250126,3.01,157354120.0,141,17
数字经济,20250127,-1.19,154291835.2,46,114
数字经济,20250128,-1.19,154291835.2,46,114
数字经济,20250129,-1.19,154291835.2,46,114
数字经济,20250130,-1.19,154291835.2,46,114
数字经济,20250131,-1.19,154291835.2,46,114
数字经济,20250201,-1.19,154291835.2,46,114
数字经济,20250202,-1.19,154291835.2,46,114
数字经济,20250203,-1.19,154291835.2,46,114
数字经济,20250204,-1.19,154291835.2,46,114
数字经济,20250205,4.48,162041699.2,152,9
数字经济,20250206,3.07,167318718.4,149,9
数字经济,20250207,2.77,173489894.4,132,27
数字经济,20250208,2.77,173489894.4,132,27
数字经济,20250209,2.77,173489894.4,132,27
数字经济,20250210,4.44,180816489.6,151,7
数字经济,20250211,-0.03,179590112.0,57,103
数字经济,20250212,2.11,184056977.6,125,36
数字经济,20250213,0.11,184506675.2,54,105
数字经济,20250214,2.27,189927360.0,114,43
数字经济,20250215,2.27,189927360.0,114,43
