name,trade_date,pct_change,total_mv,up_num,down_num
无人驾驶,20241220,1.36,550465561.6,173,60
无人驾驶,20241221,1.36,550465561.6,173,60
无人驾驶,20241222,1.36,550465561.6,173,60
无人驾驶,20241223,-4.23,541763558.4,24,216
无人驾驶,20241224,1.06,549624243.2,175,60
无人驾驶,20241225,-2.14,546153369.6,41,196
无人驾驶,20241226,2.35,556343910.4,208,31
无人驾驶,20241227,-0.3,554479052.8,112,128
无人驾驶,20241228,-0.3,554479052.8,112,128
无人驾驶,20241229,-0.3,554479052.8,112,128
无人驾驶,20241230,-1.15,553504358.4,61,178
无人驾驶,20241231,-3.18,540035020.8,23,219
无人驾驶,20250101,-3.18,540035020.8,23,219
无人驾驶,20250102,-2.65,520477107.2,21,221
无人驾驶,20250103,-3.8,508011161.6,22,220
无人驾驶,20250104,-3.8,508011161.6,22,220
无人驾驶,20250105,-3.8,508011161.6,22,220
无人驾驶,20250106,-1.04,505410483.2,78,156
无人驾驶,20250107,3.18,515741824.0,224,16
无人驾驶,20250108,0.4,513464448.0,96,145
无人驾驶,20250109,1.23,514863616.0,174,64
无人驾驶,20250110,-2.16,506860032.0,41,201
无人驾驶,20250111,-2.16,506860032.0,41,201
无人驾驶,20250112,-2.16,506860032.0,41,201
无人驾驶,20250113,0.05,504652262.4,127,111
无人驾驶,20250114,5.69,528269081.6,241,0
无人驾驶,20250115,-0.74,522123904.0,54,185
无人驾驶,20250116,0.94,476280601.6,151,81
无人驾驶,20250117,-0.14,477256012.8,109,124
无人驾驶,20250118,-0.14,477256012.8,109,124
无人驾驶,20250119,-0.14,477256012.8,109,124
无人驾驶,20250120,0.93,531692595.2,166,67
无人驾驶,20250121,1.04,536919296.0,142,93
无人驾驶,20250122,-1.09,533716966.4,48,191
无人驾驶,20250123,-0.62,528819865.6,83,154
无人驾驶,20250124,1.98,537578291.2,211,31
无人驾驶,20250125,1.98,537578291.2,211,31
无人驾驶,20250126,1.98,537578291.2,211,31
无人驾驶,20250127,-2.22,529142067.2,49,191
无人驾驶,20250128,-2.22,529142067.2,49,191
无人驾驶,20250129,-2.22,529142067.2,49,191
无人驾驶,20250130,-2.22,529142067.2,49,191
无人驾驶,20250131,-2.22,529142067.2,49,191
无人驾驶,20250201,-2.22,529142067.2,49,191
无人驾驶,20250202,-2.22,529142067.2,49,191
无人驾驶,20250203,-2.22,529142067.2,49,191
无人驾驶,20250204,-2.22,529142067.2,49,191
无人驾驶,20250205,2.32,535806489.6,192,49
无人驾驶,20250206,4.78,559449856.0,232,11
无人驾驶,20250207,2.09,577100160.0,186,54
无人驾驶,20250208,2.09,577100160.0,186,54
无人驾驶,20250209,2.09,577100160.0,186,54
无人驾驶,20250210,2.78,586172748.8,201,39
无人驾驶,20250211,-0.62,582023321.6,70,172
无人驾驶,20250212,1.37,590856012.8,187,52
无人驾驶,20250213,-1.84,581006464.0,33,210
无人驾驶,20250214,0.63,590133990.4,137,100
无人驾驶,20250215,0.63,590133990.4,137,100
