name,trade_date,pct_change,total_mv,up_num,down_num
智慧灯杆,20241220,2.0,13296671.4,20,5
智慧灯杆,20241221,2.0,13296671.4,20,5
智慧灯杆,20241222,2.0,13296671.4,20,5
智慧灯杆,20241223,-5.52,12719361.7,1,24
智慧灯杆,20241224,0.64,12891034.0,16,9
智慧灯杆,20241225,-2.54,12642873.5,3,22
智慧灯杆,20241226,2.6,12908994.3,19,6
智慧灯杆,20241227,0.26,12933926.2,14,10
智慧灯杆,20241228,0.26,12933926.2,14,10
智慧灯杆,20241229,0.26,12933926.2,14,10
智慧灯杆,20241230,-1.62,12829377.8,5,20
智慧灯杆,20241231,-3.18,12348631.2,3,22
智慧灯杆,20250101,-3.18,12348631.2,3,22
智慧灯杆,20250102,-2.16,11952866.7,3,22
智慧灯杆,20250103,-4.55,11404514.0,3,22
智慧灯杆,20250104,-4.55,11404514.0,3,22
智慧灯杆,20250105,-4.55,11404514.0,3,22
智慧灯杆,20250106,-1.25,11248143.2,4,20
智慧灯杆,20250107,3.72,11595384.9,24,1
智慧灯杆,20250108,0.08,11571377.9,9,15
智慧灯杆,20250109,1.06,11665011.7,18,6
智慧灯杆,20250110,-2.54,11400557.6,5,20
智慧灯杆,20250111,-2.54,11400557.6,5,20
智慧灯杆,20250112,-2.54,11400557.6,5,20
智慧灯杆,20250113,-0.78,11291219.1,11,12
智慧灯杆,20250114,5.49,11907697.5,25,0
智慧灯杆,20250115,-1.13,11739907.6,5,19
智慧灯杆,20250116,0.88,11662359.0,18,7
智慧灯杆,20250117,-0.44,11607037.3,10,14
智慧灯杆,20250118,-0.44,11607037.3,10,14
智慧灯杆,20250119,-0.44,11607037.3,10,14
智慧灯杆,20250120,1.94,12018293.8,20,4
智慧灯杆,20250121,-0.08,12071908.2,10,14
智慧灯杆,20250122,-0.33,12003111.0,8,17
智慧灯杆,20250123,-1.12,11880975.3,5,18
智慧灯杆,20250124,1.31,12066292.8,19,5
智慧灯杆,20250125,1.31,12066292.8,19,5
智慧灯杆,20250126,1.31,12066292.8,19,5
智慧灯杆,20250127,-2.03,11766300.6,6,18
智慧灯杆,20250128,-2.03,11766300.6,6,18
智慧灯杆,20250129,-2.03,11766300.6,6,18
智慧灯杆,20250130,-2.03,11766300.6,6,18
智慧灯杆,20250131,-2.03,11766300.6,6,18
智慧灯杆,20250201,-2.03,11766300.6,6,18
智慧灯杆,20250202,-2.03,11766300.6,6,18
智慧灯杆,20250203,-2.03,11766300.6,6,18
智慧灯杆,20250204,-2.03,11766300.6,6,18
智慧灯杆,20250205,3.04,12175354.3,23,2
智慧灯杆,20250206,2.45,12541376.9,22,2
智慧灯杆,20250207,1.45,12746552.1,21,3
智慧灯杆,20250208,1.45,12746552.1,21,3
智慧灯杆,20250209,1.45,12746552.1,21,3
智慧灯杆,20250210,2.27,13020212.7,21,4
智慧灯杆,20250211,0.18,13097959.6,9,14
智慧灯杆,20250212,1.83,13434346.7,22,2
智慧灯杆,20250213,-1.36,13304385.7,4,19
智慧灯杆,20250214,0.46,13516705.5,11,14
智慧灯杆,20250215,0.46,13516705.5,11,14
