name,trade_date,pct_change,total_mv,up_num,down_num
智能家居,20241220,1.29,353076539.2,108,45
智能家居,20241221,1.29,353076539.2,108,45
智能家居,20241222,1.29,353076539.2,108,45
智能家居,20241223,-4.27,347666862.4,15,140
智能家居,20241224,0.9,353054544.0,110,39
智能家居,20241225,-1.81,349542036.8,27,129
智能家居,20241226,2.11,355776681.6,129,24
智能家居,20241227,0.03,352437464.0,78,75
智能家居,20241228,0.03,352437464.0,78,75
智能家居,20241229,0.03,352437464.0,78,75
智能家居,20241230,-0.78,352523864.0,48,106
智能家居,20241231,-2.83,345330024.0,14,140
智能家居,20250101,-2.83,345330024.0,14,140
智能家居,20250102,-1.4,339732320.0,32,121
智能家居,20250103,-3.32,333413177.6,19,137
智能家居,20250104,-3.32,333413177.6,19,137
智能家居,20250105,-3.32,333413177.6,19,137
智能家居,20250106,-1.03,332464496.0,57,96
智能家居,20250107,2.99,340269558.4,145,11
智能家居,20250108,0.47,342959547.2,68,81
智能家居,20250109,0.57,345504180.8,83,66
智能家居,20250110,-3.34,337398436.8,12,142
智能家居,20250111,-3.34,337398436.8,12,142
智能家居,20250112,-3.34,337398436.8,12,142
智能家居,20250113,-0.96,331165729.6,61,92
智能家居,20250114,5.46,344695097.6,156,1
智能家居,20250115,-0.4,341186436.8,54,99
智能家居,20250116,0.86,327099956.8,105,52
智能家居,20250117,-0.13,328115960.0,69,83
智能家居,20250118,-0.13,328115960.0,69,83
智能家居,20250119,-0.13,328115960.0,69,83
智能家居,20250120,1.26,347094587.2,122,35
智能家居,20250121,0.72,351867238.4,89,65
智能家居,20250122,-1.51,346792548.8,23,133
智能家居,20250123,-0.62,344582459.2,48,104
智能家居,20250124,2.27,351057747.2,139,17
智能家居,20250125,2.27,351057747.2,139,17
智能家居,20250126,2.27,351057747.2,139,17
智能家居,20250127,-1.61,348258270.4,49,107
智能家居,20250128,-1.61,348258270.4,49,107
智能家居,20250129,-1.61,348258270.4,49,107
智能家居,20250130,-1.61,348258270.4,49,107
智能家居,20250131,-1.61,348258270.4,49,107
智能家居,20250201,-1.61,348258270.4,49,107
智能家居,20250202,-1.61,348258270.4,49,107
智能家居,20250203,-1.61,348258270.4,49,107
智能家居,20250204,-1.61,348258270.4,49,107
智能家居,20250205,1.18,347829632.0,105,51
智能家居,20250206,3.15,355682531.2,142,14
智能家居,20250207,1.11,360496644.8,109,42
智能家居,20250208,1.11,360496644.8,109,42
智能家居,20250209,1.11,360496644.8,109,42
智能家居,20250210,1.55,361637286.4,124,32
智能家居,20250211,0.0,361667272.0,72,77
智能家居,20250212,1.5,367972510.4,112,40
智能家居,20250213,-1.8,362034259.2,30,123
智能家居,20250214,0.4,364027712.0,78,77
智能家居,20250215,0.4,364027712.0,78,77
