name,trade_date,pct_change,total_mv,up_num,down_num
智能穿戴,20241220,2.6,272633204.8,96,17
智能穿戴,20241221,2.6,272633204.8,96,17
智能穿戴,20241222,2.6,272633204.8,96,17
智能穿戴,20241223,-4.46,266213275.2,9,107
智能穿戴,20241224,0.91,269287787.2,78,34
智能穿戴,20241225,-1.59,267812448.0,25,91
智能穿戴,20241226,2.97,276210868.8,104,8
智能穿戴,20241227,-0.36,273032128.0,46,66
智能穿戴,20241228,-0.36,273032128.0,46,66
智能穿戴,20241229,-0.36,273032128.0,46,66
智能穿戴,20241230,-0.61,274814881.6,49,65
智能穿戴,20241231,-4.56,264300182.4,3,112
智能穿戴,20250101,-4.56,264300182.4,3,112
智能穿戴,20250102,-2.89,255154065.6,10,105
智能穿戴,20250103,-3.14,248165033.6,22,94
智能穿戴,20250104,-3.14,248165033.6,22,94
智能穿戴,20250105,-3.14,248165033.6,22,94
智能穿戴,20250106,-2.05,244426836.8,26,89
智能穿戴,20250107,3.39,252890513.6,112,4
智能穿戴,20250108,-0.16,251246353.6,36,77
智能穿戴,20250109,1.31,255009792.0,78,35
智能穿戴,20250110,-3.02,250139755.2,15,101
智能穿戴,20250111,-3.02,250139755.2,15,101
智能穿戴,20250112,-3.02,250139755.2,15,101
智能穿戴,20250113,-0.59,248509926.4,48,64
智能穿戴,20250114,6.43,263900833.6,116,0
智能穿戴,20250115,-0.79,260173300.8,26,90
智能穿戴,20250116,-0.09,256097404.8,60,54
智能穿戴,20250117,0.82,258830668.8,70,43
智能穿戴,20250118,0.82,258830668.8,70,43
智能穿戴,20250119,0.82,258830668.8,70,43
智能穿戴,20250120,1.28,265625216.0,80,35
智能穿戴,20250121,1.7,272496600.0,71,44
智能穿戴,20250122,-0.92,270235152.0,26,88
智能穿戴,20250123,-1.31,264828361.6,24,90
智能穿戴,20250124,2.48,272968432.0,102,14
智能穿戴,20250125,2.48,272968432.0,102,14
智能穿戴,20250126,2.48,272968432.0,102,14
智能穿戴,20250127,-2.11,267123803.2,18,98
智能穿戴,20250128,-2.11,267123803.2,18,98
智能穿戴,20250129,-2.11,267123803.2,18,98
智能穿戴,20250130,-2.11,267123803.2,18,98
智能穿戴,20250131,-2.11,267123803.2,18,98
智能穿戴,20250201,-2.11,267123803.2,18,98
智能穿戴,20250202,-2.11,267123803.2,18,98
智能穿戴,20250203,-2.11,267123803.2,18,98
智能穿戴,20250204,-2.11,267123803.2,18,98
智能穿戴,20250205,2.63,273806856.0,96,20
智能穿戴,20250206,4.54,285102336.0,112,4
智能穿戴,20250207,1.19,286824038.4,75,37
智能穿戴,20250208,1.19,286824038.4,75,37
智能穿戴,20250209,1.19,286824038.4,75,37
智能穿戴,20250210,1.9,289336507.2,85,29
智能穿戴,20250211,-0.42,287011091.2,37,79
智能穿戴,20250212,2.14,293979476.8,98,16
智能穿戴,20250213,-2.61,285577612.8,12,105
智能穿戴,20250214,0.05,287156625.6,52,62
智能穿戴,20250215,0.05,287156625.6,52,62
