name,trade_date,pct_change,total_mv,up_num,down_num
机器人执行器,20241220,2.75,38757419.2,22,2
机器人执行器,20241221,2.75,38757419.2,22,2
机器人执行器,20241222,2.75,38757419.2,22,2
机器人执行器,20241223,-4.4,37469444.8,1,23
机器人执行器,20241224,2.54,38218396.8,24,0
机器人执行器,20241225,-1.42,38013761.6,7,17
机器人执行器,20241226,3.18,39578811.2,22,2
机器人执行器,20241227,-1.24,39226358.4,6,19
机器人执行器,20241228,-1.24,39226358.4,6,19
机器人执行器,20241229,-1.24,39226358.4,6,19
机器人执行器,20241230,-2.19,38521316.8,2,23
机器人执行器,20241231,-3.71,37270060.8,0,25
机器人执行器,20250101,-3.71,37270060.8,0,25
机器人执行器,20250102,-1.17,36635396.8,6,19
机器人执行器,20250103,-5.14,35092116.8,1,24
机器人执行器,20250104,-5.14,35092116.8,1,24
机器人执行器,20250105,-5.14,35092116.8,1,24
机器人执行器,20250106,-0.69,35175908.8,8,17
机器人执行器,20250107,2.79,36000560.0,25,0
机器人执行器,20250108,1.7,36556886.4,17,7
机器人执行器,20250109,3.8,38781356.8,23,2
机器人执行器,20250110,0.95,39876545.6,13,12
机器人执行器,20250111,0.95,39876545.6,13,12
机器人执行器,20250112,0.95,39876545.6,13,12
机器人执行器,20250113,1.07,39848072.0,17,8
机器人执行器,20250114,8.24,43404801.6,25,0
机器人执行器,20250115,1.06,43640627.2,13,12
机器人执行器,20250116,-0.44,43042643.2,5,19
机器人执行器,20250117,0.94,43202040.0,17,8
机器人执行器,20250118,0.94,43202040.0,17,8
机器人执行器,20250119,0.94,43202040.0,17,8
机器人执行器,20250120,-0.12,43354420.8,13,12
机器人执行器,20250121,3.26,45870710.4,21,3
机器人执行器,20250122,0.02,45984062.4,8,17
机器人执行器,20250123,2.05,46125848.0,16,9
机器人执行器,20250124,3.86,49985766.4,23,3
机器人执行器,20250125,3.86,49985766.4,23,3
机器人执行器,20250126,3.86,49985766.4,23,3
机器人执行器,20250127,-4.25,48341334.4,3,23
机器人执行器,20250128,-4.25,48341334.4,3,23
机器人执行器,20250129,-4.25,48341334.4,3,23
机器人执行器,20250130,-4.25,48341334.4,3,23
机器人执行器,20250131,-4.25,48341334.4,3,23
机器人执行器,20250201,-4.25,48341334.4,3,23
机器人执行器,20250202,-4.25,48341334.4,3,23
机器人执行器,20250203,-4.25,48341334.4,3,23
机器人执行器,20250204,-4.25,48341334.4,3,23
机器人执行器,20250205,2.62,50239611.2,20,6
机器人执行器,20250206,6.25,54017672.0,26,0
机器人执行器,20250207,-0.1,53759451.2,11,15
机器人执行器,20250208,-0.1,53759451.2,11,15
机器人执行器,20250209,-0.1,53759451.2,11,15
机器人执行器,20250210,-0.58,52502900.8,8,17
机器人执行器,20250211,0.62,52512091.2,13,13
机器人执行器,20250212,1.13,52685724.8,17,9
机器人执行器,20250213,-3.48,51235656.0,0,26
机器人执行器,20250214,-1.8,50509443.2,4,22
机器人执行器,20250215,-1.8,50509443.2,4,22
