name,trade_date,pct_change,total_mv,up_num,down_num
机构重仓,20241220,0.84,4308995993.6,568,372
机构重仓,20241221,0.84,4308995993.6,568,372
机构重仓,20241222,0.84,4308995993.6,568,372
机构重仓,20241223,-3.76,4319093452.8,142,822
机构重仓,20241224,0.86,4374247296.0,710,236
机构重仓,20241225,-1.73,4383911654.4,201,746
机构重仓,20241226,1.02,4376712934.4,612,316
机构重仓,20241227,0.79,4380857113.6,674,268
机构重仓,20241228,0.79,4380857113.6,674,268
机构重仓,20241229,0.79,4380857113.6,674,268
机构重仓,20241230,-0.93,4396000793.6,271,674
机构重仓,20241231,-2.5,4337524377.6,109,848
机构重仓,20250101,-2.5,4337524377.6,109,848
机构重仓,20250102,-2.0,4223845376.0,144,807
机构重仓,20250103,-3.5,4169997926.4,83,876
机构重仓,20250104,-3.5,4169997926.4,83,876
机构重仓,20250105,-3.5,4169997926.4,83,876
机构重仓,20250106,-0.65,4161870003.2,400,539
机构重仓,20250107,1.97,4186348160.0,773,173
机构重仓,20250108,-0.1,4194166784.0,343,595
机构重仓,20250109,0.02,4162250675.2,430,501
机构重仓,20250110,-2.54,4102898304.0,94,863
机构重仓,20250111,-2.54,4102898304.0,94,863
机构重仓,20250112,-2.54,4102898304.0,94,863
机构重仓,20250113,0.23,4084421171.2,554,371
机构重仓,20250114,4.39,4174623104.0,959,7
机构重仓,20250115,-0.45,4159993292.8,279,649
机构重仓,20250116,0.76,3504163123.2,650,285
机构重仓,20250117,0.03,3502674380.8,484,434
机构重仓,20250118,0.03,3502674380.8,484,434
机构重仓,20250119,0.03,3502674380.8,484,434
机构重仓,20250120,0.73,4171164928.0,616,309
机构重仓,20250121,-0.19,4164564633.6,333,598
机构重仓,20250122,-1.08,4107798528.0,168,786
机构重仓,20250123,-0.06,4149373849.6,429,488
机构重仓,20250124,0.96,4165349657.6,700,227
机构重仓,20250125,0.96,4165349657.6,700,227
机构重仓,20250126,0.96,4165349657.6,700,227
机构重仓,20250127,-0.93,4181625830.4,335,594
机构重仓,20250128,-0.93,4181625830.4,335,594
机构重仓,20250129,-0.93,4181625830.4,335,594
机构重仓,20250130,-0.93,4181625830.4,335,594
机构重仓,20250131,-0.93,4181625830.4,335,594
机构重仓,20250201,-0.93,4181625830.4,335,594
机构重仓,20250202,-0.93,4181625830.4,335,594
机构重仓,20250203,-0.93,4181625830.4,335,594
机构重仓,20250204,-0.93,4181625830.4,335,594
机构重仓,20250205,0.72,4129346508.8,586,358
机构重仓,20250206,2.16,4162597939.2,853,91
机构重仓,20250207,1.35,4196380134.4,765,174
机构重仓,20250208,1.35,4196380134.4,765,174
机构重仓,20250209,1.35,4196380134.4,765,174
机构重仓,20250210,1.63,4208356812.8,714,212
机构重仓,20250211,-0.35,4214181094.4,303,627
机构重仓,20250212,1.05,4248730624.0,665,251
机构重仓,20250213,-0.71,4249676953.6,266,678
机构重仓,20250214,0.05,4263240294.4,402,516
机构重仓,20250215,0.05,4263240294.4,402,516
