name,trade_date,pct_change,total_mv,up_num,down_num
柔性屏(折叠屏),20241220,2.26,98177875.2,60,13
柔性屏(折叠屏),20241221,2.26,98177875.2,60,13
柔性屏(折叠屏),20241222,2.26,98177875.2,60,13
柔性屏(折叠屏),20241223,-4.48,95789185.6,5,69
柔性屏(折叠屏),20241224,0.22,96197131.2,50,23
柔性屏(折叠屏),20241225,-2.4,94539928.0,12,62
柔性屏(折叠屏),20241226,2.25,96709044.8,62,10
柔性屏(折叠屏),20241227,0.5,96629409.6,41,31
柔性屏(折叠屏),20241228,0.5,96629409.6,41,31
柔性屏(折叠屏),20241229,0.5,96629409.6,41,31
柔性屏(折叠屏),20241230,-0.2,97259187.2,24,46
柔性屏(折叠屏),20241231,-4.08,93756060.8,4,70
柔性屏(折叠屏),20250101,-4.08,93756060.8,4,70
柔性屏(折叠屏),20250102,-2.87,91724265.6,3,71
柔性屏(折叠屏),20250103,-3.32,89374198.4,8,66
柔性屏(折叠屏),20250104,-3.32,89374198.4,8,66
柔性屏(折叠屏),20250105,-3.32,89374198.4,8,66
柔性屏(折叠屏),20250106,-1.29,88334268.8,21,51
柔性屏(折叠屏),20250107,2.99,91716596.8,68,6
柔性屏(折叠屏),20250108,-0.71,90904809.6,18,56
柔性屏(折叠屏),20250109,1.21,91448646.4,55,18
柔性屏(折叠屏),20250110,-3.15,89091811.2,8,66
柔性屏(折叠屏),20250111,-3.15,89091811.2,8,66
柔性屏(折叠屏),20250112,-3.15,89091811.2,8,66
柔性屏(折叠屏),20250113,-0.1,88888686.4,38,32
柔性屏(折叠屏),20250114,6.0,93671030.4,74,0
柔性屏(折叠屏),20250115,-1.39,92178932.8,10,64
柔性屏(折叠屏),20250116,0.7,92491403.2,48,24
柔性屏(折叠屏),20250117,0.38,92866116.8,43,28
柔性屏(折叠屏),20250118,0.38,92866116.8,43,28
柔性屏(折叠屏),20250119,0.38,92866116.8,43,28
柔性屏(折叠屏),20250120,0.99,94365376.0,52,20
柔性屏(折叠屏),20250121,0.72,96015361.6,41,33
柔性屏(折叠屏),20250122,-0.67,95515148.8,17,56
柔性屏(折叠屏),20250123,-1.12,93999006.4,14,59
柔性屏(折叠屏),20250124,1.24,95483032.0,59,14
柔性屏(折叠屏),20250125,1.24,95483032.0,59,14
柔性屏(折叠屏),20250126,1.24,95483032.0,59,14
柔性屏(折叠屏),20250127,-2.39,93139204.8,6,67
柔性屏(折叠屏),20250128,-2.39,93139204.8,6,67
柔性屏(折叠屏),20250129,-2.39,93139204.8,6,67
柔性屏(折叠屏),20250130,-2.39,93139204.8,6,67
柔性屏(折叠屏),20250131,-2.39,93139204.8,6,67
柔性屏(折叠屏),20250201,-2.39,93139204.8,6,67
柔性屏(折叠屏),20250202,-2.39,93139204.8,6,67
柔性屏(折叠屏),20250203,-2.39,93139204.8,6,67
柔性屏(折叠屏),20250204,-2.39,93139204.8,6,67
柔性屏(折叠屏),20250205,2.17,94554571.2,63,10
柔性屏(折叠屏),20250206,4.18,98267051.2,71,3
柔性屏(折叠屏),20250207,1.87,99773552.0,58,12
柔性屏(折叠屏),20250208,1.87,99773552.0,58,12
柔性屏(折叠屏),20250209,1.87,99773552.0,58,12
柔性屏(折叠屏),20250210,1.62,100598604.8,56,15
柔性屏(折叠屏),20250211,-0.5,100124201.6,24,50
柔性屏(折叠屏),20250212,1.55,101670313.6,65,4
柔性屏(折叠屏),20250213,-1.87,99628596.8,8,63
柔性屏(折叠屏),20250214,-0.04,100229462.4,30,43
柔性屏(折叠屏),20250215,-0.04,100229462.4,30,43
