name,trade_date,pct_change,total_mv,up_num,down_num
核污染防治,20241220,1.27,39547956.8,22,8
核污染防治,20241221,1.27,39547956.8,22,8
核污染防治,20241222,1.27,39547956.8,22,8
核污染防治,20241223,-4.01,39458792.0,3,28
核污染防治,20241224,0.27,39598024.0,19,10
核污染防治,20241225,-2.03,39349840.0,5,26
核污染防治,20241226,1.01,39038824.0,22,7
核污染防治,20241227,0.66,39383681.6,18,12
核污染防治,20241228,0.66,39383681.6,18,12
核污染防治,20241229,0.66,39383681.6,18,12
核污染防治,20241230,-1.28,39090169.6,3,28
核污染防治,20241231,-2.79,39133585.6,2,28
核污染防治,20250101,-2.79,39133585.6,2,28
核污染防治,20250102,-2.6,37724876.8,1,30
核污染防治,20250103,-3.92,36731363.2,2,29
核污染防治,20250104,-3.92,36731363.2,2,29
核污染防治,20250105,-3.92,36731363.2,2,29
核污染防治,20250106,-0.47,36117401.6,14,17
核污染防治,20250107,2.67,36452147.2,28,1
核污染防治,20250108,-0.42,36584446.4,10,21
核污染防治,20250109,0.34,36065174.4,16,12
核污染防治,20250110,-2.32,35244968.0,4,27
核污染防治,20250111,-2.32,35244968.0,4,27
核污染防治,20250112,-2.32,35244968.0,4,27
核污染防治,20250113,1.0,35324414.4,24,6
核污染防治,20250114,5.05,36638777.6,31,0
核污染防治,20250115,-0.63,36462700.8,7,24
核污染防治,20250116,0.04,32370822.4,13,17
核污染防治,20250117,0.42,32362900.8,18,13
核污染防治,20250118,0.42,32362900.8,18,13
核污染防治,20250119,0.42,32362900.8,18,13
核污染防治,20250120,0.91,36413939.2,23,8
核污染防治,20250121,0.0,36424593.6,12,18
核污染防治,20250122,-1.09,36315099.2,5,26
核污染防治,20250123,0.11,36380396.8,15,16
核污染防治,20250124,0.82,36548672.0,25,6
核污染防治,20250125,0.82,36548672.0,25,6
核污染防治,20250126,0.82,36548672.0,25,6
核污染防治,20250127,-2.01,36418915.2,4,26
核污染防治,20250128,-2.01,36418915.2,4,26
核污染防治,20250129,-2.01,36418915.2,4,26
核污染防治,20250130,-2.01,36418915.2,4,26
核污染防治,20250131,-2.01,36418915.2,4,26
核污染防治,20250201,-2.01,36418915.2,4,26
核污染防治,20250202,-2.01,36418915.2,4,26
核污染防治,20250203,-2.01,36418915.2,4,26
核污染防治,20250204,-2.01,36418915.2,4,26
核污染防治,20250205,1.36,36547345.6,24,7
核污染防治,20250206,2.44,37244361.6,30,0
核污染防治,20250207,1.19,37508683.2,23,8
核污染防治,20250208,1.19,37508683.2,23,8
核污染防治,20250209,1.19,37508683.2,23,8
核污染防治,20250210,1.19,37543785.6,25,6
核污染防治,20250211,-0.68,37371779.2,6,23
核污染防治,20250212,0.62,37560430.4,24,6
核污染防治,20250213,-1.24,37392059.2,4,27
核污染防治,20250214,0.1,37346187.2,15,15
核污染防治,20250215,0.1,37346187.2,15,15
