name,trade_date,pct_change,total_mv,up_num,down_num
毫米波概念,20241220,1.36,47000945.6,29,8
毫米波概念,20241221,1.36,47000945.6,29,8
毫米波概念,20241222,1.36,47000945.6,29,8
毫米波概念,20241223,-4.41,45489200.0,3,36
毫米波概念,20241224,1.26,45994763.2,29,8
毫米波概念,20241225,-1.96,45474315.2,8,31
毫米波概念,20241226,3.26,47266836.8,36,2
毫米波概念,20241227,-0.21,46846388.8,15,24
毫米波概念,20241228,-0.21,46846388.8,15,24
毫米波概念,20241229,-0.21,46846388.8,15,24
毫米波概念,20241230,-0.87,46854091.2,12,27
毫米波概念,20241231,-3.97,44866067.2,2,37
毫米波概念,20250101,-3.97,44866067.2,2,37
毫米波概念,20250102,-3.07,43303939.2,3,36
毫米波概念,20250103,-4.34,41701475.2,3,36
毫米波概念,20250104,-4.34,41701475.2,3,36
毫米波概念,20250105,-4.34,41701475.2,3,36
毫米波概念,20250106,-1.07,41271856.0,15,23
毫米波概念,20250107,3.18,42264803.2,38,1
毫米波概念,20250108,0.09,42228985.6,13,25
毫米波概念,20250109,1.75,42521697.6,29,9
毫米波概念,20250110,-2.77,41545756.8,5,34
毫米波概念,20250111,-2.77,41545756.8,5,34
毫米波概念,20250112,-2.77,41545756.8,5,34
毫米波概念,20250113,-0.7,41018422.4,21,18
毫米波概念,20250114,5.71,43049521.6,39,0
毫米波概念,20250115,-1.27,42498467.2,5,34
毫米波概念,20250116,0.94,42376868.8,30,9
毫米波概念,20250117,0.61,46042440.0,24,15
毫米波概念,20250118,0.61,46042440.0,24,15
毫米波概念,20250119,0.61,46042440.0,24,15
毫米波概念,20250120,0.53,46326872.0,30,10
毫米波概念,20250121,0.71,46691174.4,21,17
毫米波概念,20250122,-0.58,46566905.6,12,27
毫米波概念,20250123,-0.54,46011763.2,13,27
毫米波概念,20250124,1.64,46911497.6,37,3
毫米波概念,20250125,1.64,46911497.6,37,3
毫米波概念,20250126,1.64,46911497.6,37,3
毫米波概念,20250127,-3.07,45877916.8,6,34
毫米波概念,20250128,-3.07,45877916.8,6,34
毫米波概念,20250129,-3.07,45877916.8,6,34
毫米波概念,20250130,-3.07,45877916.8,6,34
毫米波概念,20250131,-3.07,45877916.8,6,34
毫米波概念,20250201,-3.07,45877916.8,6,34
毫米波概念,20250202,-3.07,45877916.8,6,34
毫米波概念,20250203,-3.07,45877916.8,6,34
毫米波概念,20250204,-3.07,45877916.8,6,34
毫米波概念,20250205,0.94,45716073.6,31,9
毫米波概念,20250206,4.52,47447646.4,39,1
毫米波概念,20250207,1.79,48277772.8,31,8
毫米波概念,20250208,1.79,48277772.8,31,8
毫米波概念,20250209,1.79,48277772.8,31,8
毫米波概念,20250210,2.17,49398793.6,30,9
毫米波概念,20250211,0.33,49129400.0,15,24
毫米波概念,20250212,1.34,49757104.0,32,6
毫米波概念,20250213,-2.06,48680678.4,4,35
毫米波概念,20250214,0.44,49016353.6,22,18
毫米波概念,20250215,0.44,49016353.6,22,18
