name,trade_date,pct_change,total_mv,up_num,down_num
氟化工,20241220,0.68,57702057.6,21,9
氟化工,20241221,0.68,57702057.6,21,9
氟化工,20241222,0.68,57702057.6,21,9
氟化工,20241223,-2.1,57500675.2,8,24
氟化工,20241224,1.63,58356924.8,24,5
氟化工,20241225,-2.01,57563905.6,1,30
氟化工,20241226,0.94,58018867.2,21,8
氟化工,20241227,1.12,58215726.4,26,6
氟化工,20241228,1.12,58215726.4,26,6
氟化工,20241229,1.12,58215726.4,26,6
氟化工,20241230,-0.57,58389616.0,12,20
氟化工,20241231,-2.17,57096606.4,2,30
氟化工,20250101,-2.17,57096606.4,2,30
氟化工,20250102,-2.12,55719449.6,3,28
氟化工,20250103,-3.37,54517150.4,3,29
氟化工,20250104,-3.37,54517150.4,3,29
氟化工,20250105,-3.37,54517150.4,3,29
氟化工,20250106,1.02,55653316.8,20,11
氟化工,20250107,1.82,56552532.8,25,5
氟化工,20250108,-1.31,55795803.2,4,28
氟化工,20250109,0.79,56266518.4,22,9
氟化工,20250110,-1.95,55725899.2,4,28
氟化工,20250111,-1.95,55725899.2,4,28
氟化工,20250112,-1.95,55725899.2,4,28
氟化工,20250113,0.71,55912673.6,24,8
氟化工,20250114,3.39,57908857.6,32,0
氟化工,20250115,-1.38,56922196.8,3,27
氟化工,20250116,0.4,56881318.4,19,12
氟化工,20250117,0.91,57501323.2,23,8
氟化工,20250118,0.91,57501323.2,23,8
氟化工,20250119,0.91,57501323.2,23,8
氟化工,20250120,1.29,57975131.2,24,8
氟化工,20250121,-0.41,57850747.2,12,20
氟化工,20250122,-0.74,57743596.8,8,24
氟化工,20250123,-0.32,57214067.2,9,20
氟化工,20250124,1.43,57926737.6,25,7
氟化工,20250125,1.43,57926737.6,25,7
氟化工,20250126,1.43,57926737.6,25,7
氟化工,20250127,-0.5,57558932.8,12,20
氟化工,20250128,-0.5,57558932.8,12,20
氟化工,20250129,-0.5,57558932.8,12,20
氟化工,20250130,-0.5,57558932.8,12,20
氟化工,20250131,-0.5,57558932.8,12,20
氟化工,20250201,-0.5,57558932.8,12,20
氟化工,20250202,-0.5,57558932.8,12,20
氟化工,20250203,-0.5,57558932.8,12,20
氟化工,20250204,-0.5,57558932.8,12,20
氟化工,20250205,-0.11,56995542.4,14,17
氟化工,20250206,1.61,57795547.2,26,4
氟化工,20250207,0.73,58241947.2,22,10
氟化工,20250208,0.73,58241947.2,22,10
氟化工,20250209,0.73,58241947.2,22,10
氟化工,20250210,0.2,57972217.6,14,17
氟化工,20250211,-0.31,57808286.4,13,19
氟化工,20250212,1.13,58352203.2,28,4
氟化工,20250213,-0.85,57760220.8,5,25
氟化工,20250214,0.26,57829520.0,13,18
氟化工,20250215,0.26,57829520.0,13,18
