name,trade_date,pct_change,total_mv,up_num,down_num
氢能源,20241220,0.42,467071846.4,132,105
氢能源,20241221,0.42,467071846.4,132,105
氢能源,20241222,0.42,467071846.4,132,105
氢能源,20241223,-3.55,464331110.4,32,211
氢能源,20241224,1.03,471110937.6,189,51
氢能源,20241225,-1.94,469673139.2,34,203
氢能源,20241226,1.38,469845529.6,160,70
氢能源,20241227,1.35,471407923.2,181,64
氢能源,20241228,1.35,471407923.2,181,64
氢能源,20241229,1.35,471407923.2,181,64
氢能源,20241230,-0.93,471690880.0,70,171
氢能源,20241231,-2.04,464545280.0,35,209
氢能源,20250101,-2.04,464545280.0,35,209
氢能源,20250102,-2.32,451040793.6,25,219
氢能源,20250103,-3.11,443614387.2,28,214
氢能源,20250104,-3.11,443614387.2,28,214
氢能源,20250105,-3.11,443614387.2,28,214
氢能源,20250106,0.7,444819174.4,145,92
氢能源,20250107,2.55,447578060.8,191,47
氢能源,20250108,-0.12,447673139.2,80,159
氢能源,20250109,0.07,444874905.6,99,137
氢能源,20250110,-2.7,436600166.4,21,221
氢能源,20250111,-2.7,436600166.4,21,221
氢能源,20250112,-2.7,436600166.4,21,221
氢能源,20250113,0.02,435621196.8,131,103
氢能源,20250114,4.58,449937203.2,244,2
氢能源,20250115,-0.98,446306048.0,48,192
氢能源,20250116,0.94,407040558.4,182,57
氢能源,20250117,-0.18,406764827.2,114,120
氢能源,20250118,-0.18,406764827.2,114,120
氢能源,20250119,-0.18,406764827.2,114,120
氢能源,20250120,0.73,448747699.2,148,87
氢能源,20250121,-0.39,446062310.4,72,167
氢能源,20250122,-0.87,442034867.2,55,182
氢能源,20250123,-0.37,442814131.2,91,145
氢能源,20250124,0.72,445463500.8,181,51
氢能源,20250125,0.72,445463500.8,181,51
氢能源,20250126,0.72,445463500.8,181,51
氢能源,20250127,-1.05,443891942.4,81,155
氢能源,20250128,-1.05,443891942.4,81,155
氢能源,20250129,-1.05,443891942.4,81,155
氢能源,20250130,-1.05,443891942.4,81,155
氢能源,20250131,-1.05,443891942.4,81,155
氢能源,20250201,-1.05,443891942.4,81,155
氢能源,20250202,-1.05,443891942.4,81,155
氢能源,20250203,-1.05,443891942.4,81,155
氢能源,20250204,-1.05,443891942.4,81,155
氢能源,20250205,0.42,441304832.0,136,105
氢能源,20250206,2.16,448425804.8,223,19
氢能源,20250207,1.42,455379865.6,201,37
氢能源,20250208,1.42,455379865.6,201,37
氢能源,20250209,1.42,455379865.6,201,37
氢能源,20250210,1.1,456586905.6,169,69
氢能源,20250211,-0.05,454710092.8,84,152
氢能源,20250212,1.19,459558220.8,181,50
氢能源,20250213,-0.87,456197888.0,42,200
氢能源,20250214,-0.22,457621324.8,84,148
氢能源,20250215,-0.22,457621324.8,84,148
