name,trade_date,pct_change,total_mv,up_num,down_num
氦气概念,20241220,1.26,9594873.4,8,3
氦气概念,20241221,1.26,9594873.4,8,3
氦气概念,20241222,1.26,9594873.4,8,3
氦气概念,20241223,-2.64,9434721.8,2,9
氦气概念,20241224,0.34,9495411.1,6,4
氦气概念,20241225,-2.13,9371181.4,2,9
氦气概念,20241226,1.46,9473368.5,8,2
氦气概念,20241227,0.44,9494785.7,7,4
氦气概念,20241228,0.44,9494785.7,7,4
氦气概念,20241229,0.44,9494785.7,7,4
氦气概念,20241230,-1.59,9354958.7,1,10
氦气概念,20241231,-0.42,9328548.3,5,6
氦气概念,20250101,-0.42,9328548.3,5,6
氦气概念,20250102,-3.37,9013094.6,0,11
氦气概念,20250103,-2.28,8843085.6,3,8
氦气概念,20250104,-2.28,8843085.6,3,8
氦气概念,20250105,-2.28,8843085.6,3,8
氦气概念,20250106,0.7,8898768.3,6,5
氦气概念,20250107,1.61,8945562.6,9,2
氦气概念,20250108,-0.22,8922752.7,4,7
氦气概念,20250109,-0.47,8868016.7,4,6
氦气概念,20250110,-2.48,8699361.4,2,9
氦气概念,20250111,-2.48,8699361.4,2,9
氦气概念,20250112,-2.48,8699361.4,2,9
氦气概念,20250113,1.01,8781606.6,10,1
氦气概念,20250114,3.16,9001112.7,10,1
氦气概念,20250115,-1.28,8860125.7,1,10
氦气概念,20250116,0.56,8875991.7,9,2
氦气概念,20250117,0.57,8964057.2,8,3
氦气概念,20250118,0.57,8964057.2,8,3
氦气概念,20250119,0.57,8964057.2,8,3
氦气概念,20250120,1.09,9094683.1,7,4
氦气概念,20250121,-1.03,9039976.7,3,7
氦气概念,20250122,-0.72,8979814.9,2,8
氦气概念,20250123,-0.66,8900448.9,2,9
氦气概念,20250124,0.67,8942616.4,8,3
氦气概念,20250125,0.67,8942616.4,8,3
氦气概念,20250126,0.67,8942616.4,8,3
氦气概念,20250127,0.62,8943097.3,3,7
氦气概念,20250128,0.62,8943097.3,3,7
氦气概念,20250129,0.62,8943097.3,3,7
氦气概念,20250130,0.62,8943097.3,3,7
氦气概念,20250131,0.62,8943097.3,3,7
氦气概念,20250201,0.62,8943097.3,3,7
氦气概念,20250202,0.62,8943097.3,3,7
氦气概念,20250203,0.62,8943097.3,3,7
氦气概念,20250204,0.62,8943097.3,3,7
氦气概念,20250205,-0.37,8883596.6,5,6
氦气概念,20250206,1.52,8971654.3,10,1
氦气概念,20250207,0.49,9042662.5,6,4
氦气概念,20250208,0.49,9042662.5,6,4
氦气概念,20250209,0.49,9042662.5,6,4
氦气概念,20250210,1.43,9127209.7,9,2
氦气概念,20250211,-0.2,9102187.4,3,7
氦气概念,20250212,1.7,9236519.6,9,1
氦气概念,20250213,-1.97,9066359.0,0,11
氦气概念,20250214,-0.17,9091701.7,3,7
氦气概念,20250215,-0.17,9091701.7,3,7
