name,trade_date,pct_change,total_mv,up_num,down_num
氮化镓,20241220,2.5,96481254.4,38,9
氮化镓,20241221,2.5,96481254.4,38,9
氮化镓,20241222,2.5,96481254.4,38,9
氮化镓,20241223,-2.71,94317100.8,9,39
氮化镓,20241224,1.48,95427576.0,38,10
氮化镓,20241225,-1.52,94193380.8,11,37
氮化镓,20241226,2.37,95559720.0,44,4
氮化镓,20241227,0.52,96015227.2,23,25
氮化镓,20241228,0.52,96015227.2,23,25
氮化镓,20241229,0.52,96015227.2,23,25
氮化镓,20241230,-0.86,95252318.4,16,30
氮化镓,20241231,-4.03,92143915.2,5,42
氮化镓,20250101,-4.03,92143915.2,5,42
氮化镓,20250102,-2.05,89193832.0,9,38
氮化镓,20250103,-3.06,87175776.0,7,40
氮化镓,20250104,-3.06,87175776.0,7,40
氮化镓,20250105,-3.06,87175776.0,7,40
氮化镓,20250106,-0.85,86687313.6,18,28
氮化镓,20250107,3.89,89644480.0,44,3
氮化镓,20250108,0.25,89467777.6,17,29
氮化镓,20250109,-0.03,89450243.2,24,22
氮化镓,20250110,-3.32,87398899.2,3,44
氮化镓,20250111,-3.32,87398899.2,3,44
氮化镓,20250112,-3.32,87398899.2,3,44
氮化镓,20250113,-0.95,87096865.6,28,19
氮化镓,20250114,5.38,90809681.6,48,0
氮化镓,20250115,-1.31,89645713.6,8,40
氮化镓,20250116,0.67,89947532.8,23,23
氮化镓,20250117,0.9,90502313.6,32,16
氮化镓,20250118,0.9,90502313.6,32,16
氮化镓,20250119,0.9,90502313.6,32,16
氮化镓,20250120,0.48,91112185.6,29,17
氮化镓,20250121,0.45,91820692.8,31,17
氮化镓,20250122,-0.8,91018046.4,13,34
氮化镓,20250123,-1.03,90472851.2,11,37
氮化镓,20250124,1.53,91075625.6,42,6
氮化镓,20250125,1.53,91075625.6,42,6
氮化镓,20250126,1.53,91075625.6,42,6
氮化镓,20250127,-3.07,89156369.6,5,43
氮化镓,20250128,-3.07,89156369.6,5,43
氮化镓,20250129,-3.07,89156369.6,5,43
氮化镓,20250130,-3.07,89156369.6,5,43
氮化镓,20250131,-3.07,89156369.6,5,43
氮化镓,20250201,-3.07,89156369.6,5,43
氮化镓,20250202,-3.07,89156369.6,5,43
氮化镓,20250203,-3.07,89156369.6,5,43
氮化镓,20250204,-3.07,89156369.6,5,43
氮化镓,20250205,1.33,90156712.0,41,5
氮化镓,20250206,3.54,94035376.0,46,1
氮化镓,20250207,0.88,94435697.6,36,12
氮化镓,20250208,0.88,94435697.6,36,12
氮化镓,20250209,0.88,94435697.6,36,12
氮化镓,20250210,0.91,94538382.4,31,15
氮化镓,20250211,-0.39,93912648.0,11,35
氮化镓,20250212,2.68,96771976.0,45,3
氮化镓,20250213,-1.8,95162808.0,3,44
氮化镓,20250214,-0.69,95379830.4,17,29
氮化镓,20250215,-0.69,95379830.4,17,29
