name,trade_date,pct_change,total_mv,up_num,down_num
汽车拆解,20241220,0.58,26074177.2,6,12
汽车拆解,20241221,0.58,26074177.2,6,12
汽车拆解,20241222,0.58,26074177.2,6,12
汽车拆解,20241223,-4.83,25382628.4,1,17
汽车拆解,20241224,1.81,25833073.8,16,2
汽车拆解,20241225,-2.84,25690576.4,3,14
汽车拆解,20241226,1.34,25819726.4,11,7
汽车拆解,20241227,0.84,26023669.6,15,1
汽车拆解,20241228,0.84,26023669.6,15,1
汽车拆解,20241229,0.84,26023669.6,15,1
汽车拆解,20241230,-1.17,26356535.9,4,13
汽车拆解,20241231,-2.64,26211228.2,2,16
汽车拆解,20250101,-2.64,26211228.2,2,16
汽车拆解,20250102,-1.75,25488727.9,3,14
汽车拆解,20250103,-4.05,24496947.2,1,17
汽车拆解,20250104,-4.05,24496947.2,1,17
汽车拆解,20250105,-4.05,24496947.2,1,17
汽车拆解,20250106,-0.78,24365044.4,9,7
汽车拆解,20250107,2.18,24651334.0,16,2
汽车拆解,20250108,0.13,24478277.0,7,11
汽车拆解,20250109,0.52,24555452.2,9,8
汽车拆解,20250110,-2.6,24189856.0,1,17
汽车拆解,20250111,-2.6,24189856.0,1,17
汽车拆解,20250112,-2.6,24189856.0,1,17
汽车拆解,20250113,0.44,24336588.1,12,5
汽车拆解,20250114,4.15,25242757.3,18,0
汽车拆解,20250115,-0.58,24924617.9,6,12
汽车拆解,20250116,0.64,21479309.8,13,4
汽车拆解,20250117,-1.35,21263139.4,2,15
汽车拆解,20250118,-1.35,21263139.4,2,15
汽车拆解,20250119,-1.35,21263139.4,2,15
汽车拆解,20250120,0.47,24854692.7,14,3
汽车拆解,20250121,-0.87,24744556.0,3,15
汽车拆解,20250122,-1.14,24630259.5,1,17
汽车拆解,20250123,0.22,24535096.3,8,8
汽车拆解,20250124,0.47,24757760.6,12,6
汽车拆解,20250125,0.47,24757760.6,12,6
汽车拆解,20250126,0.47,24757760.6,12,6
汽车拆解,20250127,-0.95,24659049.9,5,11
汽车拆解,20250128,-0.95,24659049.9,5,11
汽车拆解,20250129,-0.95,24659049.9,5,11
汽车拆解,20250130,-0.95,24659049.9,5,11
汽车拆解,20250131,-0.95,24659049.9,5,11
汽车拆解,20250201,-0.95,24659049.9,5,11
汽车拆解,20250202,-0.95,24659049.9,5,11
汽车拆解,20250203,-0.95,24659049.9,5,11
汽车拆解,20250204,-0.95,24659049.9,5,11
汽车拆解,20250205,1.75,25087270.9,15,3
汽车拆解,20250206,2.94,25803233.2,17,1
汽车拆解,20250207,1.48,26192731.1,14,4
汽车拆解,20250208,1.48,26192731.1,14,4
汽车拆解,20250209,1.48,26192731.1,14,4
汽车拆解,20250210,1.56,26620125.0,14,4
汽车拆解,20250211,0.81,26667075.8,9,9
汽车拆解,20250212,1.46,27102555.2,12,4
汽车拆解,20250213,-0.5,27131412.8,4,14
汽车拆解,20250214,0.15,27580672.0,7,10
汽车拆解,20250215,0.15,27580672.0,7,10
