name,trade_date,pct_change,total_mv,up_num,down_num
汽车热管理,20241220,0.95,70354366.4,55,21
汽车热管理,20241221,0.95,70354366.4,55,21
汽车热管理,20241222,0.95,70354366.4,55,21
汽车热管理,20241223,-4.5,67976483.2,6,72
汽车热管理,20241224,1.25,69242512.0,64,14
汽车热管理,20241225,-2.05,68434395.2,12,66
汽车热管理,20241226,2.45,70411812.8,70,5
汽车热管理,20241227,0.35,69859072.0,43,34
汽车热管理,20241228,0.35,69859072.0,43,34
汽车热管理,20241229,0.35,69859072.0,43,34
汽车热管理,20241230,-1.35,68774155.2,10,67
汽车热管理,20241231,-2.5,66870886.4,8,70
汽车热管理,20250101,-2.5,66870886.4,8,70
汽车热管理,20250102,-1.93,65557268.8,13,65
汽车热管理,20250103,-4.96,62810542.4,4,73
汽车热管理,20250104,-4.96,62810542.4,4,73
汽车热管理,20250105,-4.96,62810542.4,4,73
汽车热管理,20250106,-0.53,62806766.4,34,43
汽车热管理,20250107,3.13,64362473.6,75,3
汽车热管理,20250108,0.34,64912651.2,30,45
汽车热管理,20250109,1.88,67238091.2,61,15
汽车热管理,20250110,-1.6,67311110.4,19,59
汽车热管理,20250111,-1.6,67311110.4,19,59
汽车热管理,20250112,-1.6,67311110.4,19,59
汽车热管理,20250113,0.03,66884587.2,33,41
汽车热管理,20250114,6.28,71680633.6,78,0
汽车热管理,20250115,-0.75,71119374.4,19,58
汽车热管理,20250116,0.59,69129465.6,47,29
汽车热管理,20250117,-0.02,69122108.8,35,41
汽车热管理,20250118,-0.02,69122108.8,35,41
汽车热管理,20250119,-0.02,69122108.8,35,41
汽车热管理,20250120,1.55,72009292.8,62,16
汽车热管理,20250121,1.39,74468054.4,53,23
汽车热管理,20250122,-0.96,74226214.4,16,63
汽车热管理,20250123,0.32,74076875.2,37,41
汽车热管理,20250124,2.26,76287294.4,67,12
汽车热管理,20250125,2.26,76287294.4,67,12
汽车热管理,20250126,2.26,76287294.4,67,12
汽车热管理,20250127,-2.65,74349460.8,11,67
汽车热管理,20250128,-2.65,74349460.8,11,67
汽车热管理,20250129,-2.65,74349460.8,11,67
汽车热管理,20250130,-2.65,74349460.8,11,67
汽车热管理,20250131,-2.65,74349460.8,11,67
汽车热管理,20250201,-2.65,74349460.8,11,67
汽车热管理,20250202,-2.65,74349460.8,11,67
汽车热管理,20250203,-2.65,74349460.8,11,67
汽车热管理,20250204,-2.65,74349460.8,11,67
汽车热管理,20250205,1.09,76024417.6,56,23
汽车热管理,20250206,4.18,80446865.6,77,2
汽车热管理,20250207,1.33,81191872.0,54,23
汽车热管理,20250208,1.33,81191872.0,54,23
汽车热管理,20250209,1.33,81191872.0,54,23
汽车热管理,20250210,0.6,80637030.4,47,31
汽车热管理,20250211,-0.17,80313931.2,28,49
汽车热管理,20250212,1.56,81398003.2,54,22
汽车热管理,20250213,-1.47,80680931.2,14,64
汽车热管理,20250214,-0.22,80175497.6,26,51
汽车热管理,20250215,-0.22,80175497.6,26,51
