name,trade_date,pct_change,total_mv,up_num,down_num
沪股通,20241220,0.62,6075460633.6,734,578
沪股通,20241221,0.62,6075460633.6,734,578
沪股通,20241222,0.62,6075460633.6,734,578
沪股通,20241223,-2.32,6068324838.4,232,1048
沪股通,20241224,1.27,6147497676.8,1095,174
沪股通,20241225,-0.87,6163257088.0,367,894
沪股通,20241226,0.66,6158572544.0,681,540
沪股通,20241227,0.29,6159718630.4,792,470
沪股通,20241228,0.29,6159718630.4,792,470
沪股通,20241229,0.29,6159718630.4,792,470
沪股通,20241230,-0.41,6187709593.6,437,821
沪股通,20241231,-2.31,6101679846.4,136,1142
沪股通,20250101,-2.31,6101679846.4,136,1142
沪股通,20250102,-2.46,5933557683.2,124,1154
沪股通,20250103,-2.41,5857902540.8,168,1113
沪股通,20250104,-2.41,5857902540.8,168,1113
沪股通,20250105,-2.41,5857902540.8,168,1113
沪股通,20250106,-0.14,5844428979.2,628,617
沪股通,20250107,1.09,5883797990.4,852,409
沪股通,20250108,-0.25,5891802086.4,403,857
沪股通,20250109,-0.15,5850716288.0,446,807
沪股通,20250110,-1.89,5777856051.2,151,1129
沪股通,20250111,-1.89,5777856051.2,151,1129
沪股通,20250112,-1.89,5777856051.2,151,1129
沪股通,20250113,0.15,5686052710.4,714,531
沪股通,20250114,3.61,5887954176.0,1280,10
沪股通,20250115,-0.61,5864780211.2,336,924
沪股通,20250116,0.48,4719925657.6,799,438
沪股通,20250117,0.56,4729184153.6,759,458
沪股通,20250118,0.56,4729184153.6,759,458
沪股通,20250119,0.56,4729184153.6,759,458
沪股通,20250120,0.43,5890204339.2,753,483
沪股通,20250121,0.08,5880345830.4,496,755
沪股通,20250122,-0.78,5830111180.8,283,977
沪股通,20250123,-0.01,5794215782.4,616,606
沪股通,20250124,1.13,5901620659.2,989,257
沪股通,20250125,1.13,5901620659.2,989,257
沪股通,20250126,1.13,5901620659.2,989,257
沪股通,20250127,-0.67,5912072499.2,533,721
沪股通,20250128,-0.67,5912072499.2,533,721
沪股通,20250129,-0.67,5912072499.2,533,721
沪股通,20250130,-0.67,5912072499.2,533,721
沪股通,20250131,-0.67,5912072499.2,533,721
沪股通,20250201,-0.67,5912072499.2,533,721
沪股通,20250202,-0.67,5912072499.2,533,721
沪股通,20250203,-0.67,5912072499.2,533,721
沪股通,20250204,-0.67,5912072499.2,533,721
沪股通,20250205,0.22,5861162905.6,624,639
沪股通,20250206,2.02,5922424883.2,1096,159
沪股通,20250207,1.3,5969838003.2,1020,255
沪股通,20250208,1.3,5969838003.2,1020,255
沪股通,20250209,1.3,5969838003.2,1020,255
沪股通,20250210,1.01,5996283468.8,810,431
沪股通,20250211,-0.4,5999146982.4,412,850
沪股通,20250212,1.08,6047756390.4,847,369
沪股通,20250213,-0.79,6027281305.6,315,934
沪股通,20250214,0.28,6054982758.4,600,626
沪股通,20250215,0.28,6054982758.4,600,626
