name,trade_date,pct_change,total_mv,up_num,down_num
流感,20241220,1.1,132295979.2,79,26
流感,20241221,1.1,132295979.2,79,26
流感,20241222,1.1,132295979.2,79,26
流感,20241223,-3.36,129830049.6,12,96
流感,20241224,0.76,131149865.6,80,25
流感,20241225,-1.36,130393889.6,21,85
流感,20241226,0.19,129505254.4,52,51
流感,20241227,1.27,130456336.0,90,17
流感,20241228,1.27,130456336.0,90,17
流感,20241229,1.27,130456336.0,90,17
流感,20241230,-1.04,130039257.6,28,79
流感,20241231,-2.24,128163315.2,7,102
流感,20250101,-2.24,128163315.2,7,102
流感,20250102,-1.92,124986232.0,11,97
流感,20250103,-0.71,124500126.4,34,74
流感,20250104,-0.71,124500126.4,34,74
流感,20250105,-0.71,124500126.4,34,74
流感,20250106,4.14,128236339.2,99,9
流感,20250107,-1.78,129306288.0,20,90
流感,20250108,-0.22,129305958.4,43,68
流感,20250109,-1.29,127704132.8,22,88
流感,20250110,-3.68,124255446.4,2,111
流感,20250111,-3.68,124255446.4,2,111
流感,20250112,-3.68,124255446.4,2,111
流感,20250113,-0.15,124548299.2,59,52
流感,20250114,3.25,127716676.8,115,0
流感,20250115,-0.8,126676958.4,16,96
流感,20250116,0.07,121392660.8,54,54
流感,20250117,0.11,121501465.6,65,50
流感,20250118,0.11,121501465.6,65,50
流感,20250119,0.11,121501465.6,65,50
流感,20250120,0.67,127258564.8,76,35
流感,20250121,-0.91,126581713.6,16,95
流感,20250122,-0.75,125774096.0,22,90
流感,20250123,-0.19,125631865.6,50,55
流感,20250124,0.25,125831768.0,80,29
流感,20250127,-0.38,125812897.6,59,52
流感,20250128,-0.38,125812897.6,59,52
流感,20250129,-0.38,125812897.6,59,52
流感,20250130,-0.38,125812897.6,59,52
流感,20250131,-0.38,125812897.6,59,52
流感,20250201,-0.38,125812897.6,59,52
流感,20250202,-0.38,125812897.6,59,52
流感,20250203,-0.38,125812897.6,59,52
流感,20250204,-0.38,125812897.6,59,52
流感,20250205,1.3,126816206.4,90,25
流感,20250206,0.85,127472491.2,94,17
流感,20250207,1.39,128989097.6,104,8
流感,20250208,1.39,128989097.6,104,8
流感,20250209,1.39,128989097.6,104,8
流感,20250210,2.23,130801243.2,103,11
流感,20250211,-1.34,129554273.6,10,104
流感,20250212,-0.1,129337001.6,35,70
流感,20250213,-0.48,128955724.8,27,85
流感,20250214,1.73,131021137.6,98,13
流感,20250215,1.73,131021137.6,98,13
