name,trade_date,pct_change,total_mv,up_num,down_num
海工装备,20241220,0.07,118959812.8,17,26
海工装备,20241221,0.07,118959812.8,17,26
海工装备,20241222,0.07,118959812.8,17,26
海工装备,20241223,-1.61,119128043.2,14,28
海工装备,20241224,0.93,120019628.8,30,12
海工装备,20241225,-1.77,118961667.2,8,33
海工装备,20241226,1.16,118986963.2,30,12
海工装备,20241227,1.21,119877252.8,33,9
海工装备,20241228,1.21,119877252.8,33,9
海工装备,20241229,1.21,119877252.8,33,9
海工装备,20241230,-0.64,119987520.0,13,29
海工装备,20241231,-1.97,117903113.6,5,38
海工装备,20250101,-1.97,117903113.6,5,38
海工装备,20250102,-2.57,113864660.8,4,38
海工装备,20250103,-2.51,112181236.8,8,35
海工装备,20250104,-2.51,112181236.8,8,35
海工装备,20250105,-2.51,112181236.8,8,35
海工装备,20250106,-0.87,111400529.6,14,28
海工装备,20250107,2.44,112574798.4,40,3
海工装备,20250108,0.17,112745371.2,19,24
海工装备,20250109,-0.74,111126566.4,12,31
海工装备,20250110,-2.36,109102075.2,5,38
海工装备,20250111,-2.36,109102075.2,5,38
海工装备,20250112,-2.36,109102075.2,5,38
海工装备,20250113,-0.47,108659416.0,24,19
海工装备,20250114,4.52,112469398.4,43,0
海工装备,20250115,-0.88,111148542.4,7,35
海工装备,20250116,0.92,96089648.0,34,8
海工装备,20250117,0.26,96246073.6,22,20
海工装备,20250118,0.26,96246073.6,22,20
海工装备,20250119,0.26,96246073.6,22,20
海工装备,20250120,0.62,112956483.2,27,13
海工装备,20250121,-0.52,112231777.6,12,30
海工装备,20250122,0.24,111786180.8,16,27
海工装备,20250123,0.47,112124296.0,21,20
海工装备,20250124,0.93,113802704.0,35,7
海工装备,20250125,0.93,113802704.0,35,7
海工装备,20250126,0.93,113802704.0,35,7
海工装备,20250127,-0.6,113876454.4,13,27
海工装备,20250128,-0.6,113876454.4,13,27
海工装备,20250129,-0.6,113876454.4,13,27
海工装备,20250130,-0.6,113876454.4,13,27
海工装备,20250131,-0.6,113876454.4,13,27
海工装备,20250201,-0.6,113876454.4,13,27
海工装备,20250202,-0.6,113876454.4,13,27
海工装备,20250203,-0.6,113876454.4,13,27
海工装备,20250204,-0.6,113876454.4,13,27
海工装备,20250205,-0.08,112500684.8,23,20
海工装备,20250206,2.01,113795425.6,40,2
海工装备,20250207,0.95,114796734.4,32,9
海工装备,20250208,0.95,114796734.4,32,9
海工装备,20250209,0.95,114796734.4,32,9
海工装备,20250210,0.95,114903665.6,25,16
海工装备,20250211,-0.64,113852760.0,10,33
海工装备,20250212,0.84,114275670.4,34,8
海工装备,20250213,-1.31,113564377.6,4,39
海工装备,20250214,0.3,114142097.6,18,24
海工装备,20250215,0.3,114142097.6,18,24
