name,trade_date,pct_change,total_mv,up_num,down_num
消毒剂,20241220,0.89,54101704.0,37,19
消毒剂,20241221,0.89,54101704.0,37,19
消毒剂,20241222,0.89,54101704.0,37,19
消毒剂,20241223,-3.57,53143905.6,7,52
消毒剂,20241224,0.2,53577782.4,37,22
消毒剂,20241225,-1.63,53155307.2,10,49
消毒剂,20241226,0.92,53676089.6,36,17
消毒剂,20241227,1.46,54144115.2,53,7
消毒剂,20241228,1.46,54144115.2,53,7
消毒剂,20241229,1.46,54144115.2,53,7
消毒剂,20241230,-0.74,54226291.2,16,42
消毒剂,20241231,-1.87,53140081.6,7,52
消毒剂,20250101,-1.87,53140081.6,7,52
消毒剂,20250102,-1.56,52221289.6,10,49
消毒剂,20250103,-2.18,51253476.8,10,49
消毒剂,20250104,-2.18,51253476.8,10,49
消毒剂,20250105,-2.18,51253476.8,10,49
消毒剂,20250106,0.84,52198665.6,35,24
消毒剂,20250107,0.9,52700564.8,35,22
消毒剂,20250108,-0.65,52255484.8,20,39
消毒剂,20250109,-0.24,52139112.0,22,36
消毒剂,20250110,-2.28,51313908.8,7,53
消毒剂,20250111,-2.28,51313908.8,7,53
消毒剂,20250112,-2.28,51313908.8,7,53
消毒剂,20250113,-0.04,51124760.0,28,30
消毒剂,20250114,3.83,52645104.0,59,0
消毒剂,20250115,-0.25,52160206.4,19,39
消毒剂,20250116,1.17,52068323.2,45,12
消毒剂,20250117,0.51,52648683.2,37,20
消毒剂,20250118,0.51,52648683.2,37,20
消毒剂,20250119,0.51,52648683.2,37,20
消毒剂,20250120,0.73,53568144.0,35,23
消毒剂,20250121,-0.42,53462376.0,20,38
消毒剂,20250122,-1.17,53115624.0,10,50
消毒剂,20250123,-0.78,52725598.4,20,35
消毒剂,20250124,0.36,53027411.2,41,17
消毒剂,20250125,0.36,53027411.2,41,17
消毒剂,20250126,0.36,53027411.2,41,17
消毒剂,20250127,0.07,53115457.6,27,29
消毒剂,20250128,0.07,53115457.6,27,29
消毒剂,20250129,0.07,53115457.6,27,29
消毒剂,20250130,0.07,53115457.6,27,29
消毒剂,20250131,0.07,53115457.6,27,29
消毒剂,20250201,0.07,53115457.6,27,29
消毒剂,20250202,0.07,53115457.6,27,29
消毒剂,20250203,0.07,53115457.6,27,29
消毒剂,20250204,0.07,53115457.6,27,29
消毒剂,20250205,0.66,52970606.4,34,21
消毒剂,20250206,1.03,53334467.2,47,10
消毒剂,20250207,1.1,53815606.4,47,12
消毒剂,20250208,1.1,53815606.4,47,12
消毒剂,20250209,1.1,53815606.4,47,12
消毒剂,20250210,1.61,54201614.4,46,13
消毒剂,20250211,0.06,54414518.4,24,35
消毒剂,20250212,0.48,54796377.6,34,23
消毒剂,20250213,-0.83,54395203.2,14,45
消毒剂,20250214,-0.04,54737252.8,24,34
消毒剂,20250215,-0.04,54737252.8,24,34
