name,trade_date,pct_change,total_mv,up_num,down_num
激光雷达,20241220,3.18,45182920.0,31,3
激光雷达,20241221,3.18,45182920.0,31,3
激光雷达,20241222,3.18,45182920.0,31,3
激光雷达,20241223,-4.44,43636912.0,2,32
激光雷达,20241224,0.54,43965963.2,21,10
激光雷达,20241225,-2.59,43111600.0,3,30
激光雷达,20241226,2.65,44196027.2,31,3
激光雷达,20241227,-0.71,43805651.2,9,24
激光雷达,20241228,-0.71,43805651.2,9,24
激光雷达,20241229,-0.71,43805651.2,9,24
激光雷达,20241230,0.13,43955552.0,17,16
激光雷达,20241231,-3.58,42354691.2,4,30
激光雷达,20250101,-3.58,42354691.2,4,30
激光雷达,20250102,-2.42,41216313.6,3,31
激光雷达,20250103,-3.83,39903758.4,4,30
激光雷达,20250104,-3.83,39903758.4,4,30
激光雷达,20250105,-3.83,39903758.4,4,30
激光雷达,20250106,-1.96,39267177.6,5,27
激光雷达,20250107,4.37,40517201.6,33,1
激光雷达,20250108,-0.17,40316704.0,13,21
激光雷达,20250109,1.03,40468833.6,23,11
激光雷达,20250110,-2.93,39345044.8,5,29
激光雷达,20250111,-2.93,39345044.8,5,29
激光雷达,20250112,-2.93,39345044.8,5,29
激光雷达,20250113,0.33,39472168.0,16,16
激光雷达,20250114,5.63,41579462.4,34,0
激光雷达,20250115,-1.24,41088467.2,4,30
激光雷达,20250116,1.7,41900798.4,29,5
激光雷达,20250117,-0.16,41902992.0,16,18
激光雷达,20250118,-0.16,41902992.0,16,18
激光雷达,20250119,-0.16,41902992.0,16,18
激光雷达,20250120,1.14,42280718.4,24,8
激光雷达,20250121,1.28,42989302.4,25,8
激光雷达,20250122,-0.99,42787292.8,8,26
激光雷达,20250123,-0.68,42176560.0,10,24
激光雷达,20250124,2.65,43261836.8,32,2
激光雷达,20250125,2.65,43261836.8,32,2
激光雷达,20250126,2.65,43261836.8,32,2
激光雷达,20250127,-3.23,41903398.4,4,30
激光雷达,20250128,-3.23,41903398.4,4,30
激光雷达,20250129,-3.23,41903398.4,4,30
激光雷达,20250130,-3.23,41903398.4,4,30
激光雷达,20250131,-3.23,41903398.4,4,30
激光雷达,20250201,-3.23,41903398.4,4,30
激光雷达,20250202,-3.23,41903398.4,4,30
激光雷达,20250203,-3.23,41903398.4,4,30
激光雷达,20250204,-3.23,41903398.4,4,30
激光雷达,20250205,1.46,42425755.2,25,9
激光雷达,20250206,6.55,44787224.0,33,1
激光雷达,20250207,2.48,45874395.2,28,6
激光雷达,20250208,2.48,45874395.2,28,6
激光雷达,20250209,2.48,45874395.2,28,6
激光雷达,20250210,2.55,46921036.8,27,6
激光雷达,20250211,-0.5,46643024.0,12,23
激光雷达,20250212,1.27,47271096.0,25,9
激光雷达,20250213,-2.2,46607156.8,6,30
激光雷达,20250214,0.16,46718129.6,19,15
激光雷达,20250215,0.16,46718129.6,19,15
