name,trade_date,pct_change,total_mv,up_num,down_num
玻璃基板,20241220,2.48,53543964.8,30,4
玻璃基板,20241221,2.48,53543964.8,30,4
玻璃基板,20241222,2.48,53543964.8,30,4
玻璃基板,20241223,-3.16,52657580.8,5,29
玻璃基板,20241224,0.72,53004083.2,21,11
玻璃基板,20241225,-1.93,52289236.8,5,29
玻璃基板,20241226,1.77,53368924.8,23,9
玻璃基板,20241227,0.49,53599924.8,18,15
玻璃基板,20241228,0.49,53599924.8,18,15
玻璃基板,20241229,0.49,53599924.8,18,15
玻璃基板,20241230,-0.54,54366224.0,11,22
玻璃基板,20241231,-3.5,52626120.0,2,32
玻璃基板,20250101,-3.5,52626120.0,2,32
玻璃基板,20250102,-2.61,50824452.8,4,30
玻璃基板,20250103,-3.41,49321057.6,4,30
玻璃基板,20250104,-3.41,49321057.6,4,30
玻璃基板,20250105,-3.41,49321057.6,4,30
玻璃基板,20250106,-2.37,48247955.2,8,26
玻璃基板,20250107,3.3,50419620.8,33,1
玻璃基板,20250108,-0.48,50306612.8,8,25
玻璃基板,20250109,0.64,50314641.6,22,12
玻璃基板,20250110,-3.34,48840873.6,3,31
玻璃基板,20250111,-3.34,48840873.6,3,31
玻璃基板,20250112,-3.34,48840873.6,3,31
玻璃基板,20250113,0.18,48563939.2,21,13
玻璃基板,20250114,5.49,50921923.2,34,0
玻璃基板,20250115,-0.44,50302699.2,8,25
玻璃基板,20250116,1.63,50629945.6,21,13
玻璃基板,20250117,0.31,50790907.2,19,14
玻璃基板,20250118,0.31,50790907.2,19,14
玻璃基板,20250119,0.31,50790907.2,19,14
玻璃基板,20250120,1.06,52010662.4,26,8
玻璃基板,20250121,0.65,52958824.0,22,12
玻璃基板,20250122,-0.72,52828833.6,8,26
玻璃基板,20250123,-1.47,51979259.2,6,28
玻璃基板,20250124,1.54,52621758.4,28,4
玻璃基板,20250125,1.54,52621758.4,28,4
玻璃基板,20250126,1.54,52621758.4,28,4
玻璃基板,20250127,-3.06,51009433.6,2,31
玻璃基板,20250128,-3.06,51009433.6,2,31
玻璃基板,20250129,-3.06,51009433.6,2,31
玻璃基板,20250130,-3.06,51009433.6,2,31
玻璃基板,20250131,-3.06,51009433.6,2,31
玻璃基板,20250201,-3.06,51009433.6,2,31
玻璃基板,20250202,-3.06,51009433.6,2,31
玻璃基板,20250203,-3.06,51009433.6,2,31
玻璃基板,20250204,-3.06,51009433.6,2,31
玻璃基板,20250205,0.92,50995601.6,28,6
玻璃基板,20250206,3.47,52154972.8,32,2
玻璃基板,20250207,1.8,52967502.4,28,5
玻璃基板,20250208,1.8,52967502.4,28,5
玻璃基板,20250209,1.8,52967502.4,28,5
玻璃基板,20250210,1.38,53237123.2,26,7
玻璃基板,20250211,-0.25,53093748.8,11,23
玻璃基板,20250212,1.77,54062387.2,30,2
玻璃基板,20250213,-2.22,52858926.4,3,31
玻璃基板,20250214,-0.22,53350816.0,16,18
玻璃基板,20250215,-0.22,53350816.0,16,18
