name,trade_date,pct_change,total_mv,up_num,down_num
疫苗冷链,20241220,0.6,50085505.6,18,11
疫苗冷链,20241221,0.6,50085505.6,18,11
疫苗冷链,20241222,0.6,50085505.6,18,11
疫苗冷链,20241223,-3.31,49413572.8,4,23
疫苗冷链,20241224,0.26,49668452.8,19,8
疫苗冷链,20241225,-2.26,49284870.4,3,24
疫苗冷链,20241226,0.54,49022097.6,16,11
疫苗冷链,20241227,1.07,49371448.0,22,6
疫苗冷链,20241228,1.07,49371448.0,22,6
疫苗冷链,20241229,1.07,49371448.0,22,6
疫苗冷链,20241230,-1.87,48802715.2,2,26
疫苗冷链,20241231,-1.61,47833193.6,4,24
疫苗冷链,20250101,-1.61,47833193.6,4,24
疫苗冷链,20250102,-2.34,46460438.4,2,26
疫苗冷链,20250103,-2.91,45761737.6,1,27
疫苗冷链,20250104,-2.91,45761737.6,1,27
疫苗冷链,20250105,-2.91,45761737.6,1,27
疫苗冷链,20250106,0.41,46236848.0,18,9
疫苗冷链,20250107,0.32,45769593.6,14,15
疫苗冷链,20250108,0.11,45678267.2,7,19
疫苗冷链,20250109,-0.14,45548120.0,12,17
疫苗冷链,20250110,-2.17,44906150.4,3,26
疫苗冷链,20250111,-2.17,44906150.4,3,26
疫苗冷链,20250112,-2.17,44906150.4,3,26
疫苗冷链,20250113,0.51,44869596.8,15,12
疫苗冷链,20250114,3.57,46043091.2,29,0
疫苗冷链,20250115,-0.78,45619371.2,6,23
疫苗冷链,20250116,0.4,41099585.6,21,8
疫苗冷链,20250117,-0.52,40994731.2,9,18
疫苗冷链,20250118,-0.52,40994731.2,9,18
疫苗冷链,20250119,-0.52,40994731.2,9,18
疫苗冷链,20250120,1.12,46033305.6,21,6
疫苗冷链,20250121,-0.25,45961363.2,10,17
疫苗冷链,20250122,-0.97,45601417.6,3,24
疫苗冷链,20250123,-0.29,45587043.2,13,12
疫苗冷链,20250124,0.46,45697270.4,19,7
疫苗冷链,20250125,0.46,45697270.4,19,7
疫苗冷链,20250126,0.46,45697270.4,19,7
疫苗冷链,20250127,-0.3,46089516.8,14,15
疫苗冷链,20250128,-0.3,46089516.8,14,15
疫苗冷链,20250129,-0.3,46089516.8,14,15
疫苗冷链,20250130,-0.3,46089516.8,14,15
疫苗冷链,20250131,-0.3,46089516.8,14,15
疫苗冷链,20250201,-0.3,46089516.8,14,15
疫苗冷链,20250202,-0.3,46089516.8,14,15
疫苗冷链,20250203,-0.3,46089516.8,14,15
疫苗冷链,20250204,-0.3,46089516.8,14,15
疫苗冷链,20250205,0.01,46170177.6,15,13
疫苗冷链,20250206,1.54,46335574.4,24,5
疫苗冷链,20250207,0.92,46703816.0,24,5
疫苗冷链,20250208,0.92,46703816.0,24,5
疫苗冷链,20250209,0.92,46703816.0,24,5
疫苗冷链,20250210,1.22,47011408.0,23,5
疫苗冷链,20250211,-0.08,46827489.6,8,18
疫苗冷链,20250212,0.72,46957198.4,18,9
疫苗冷链,20250213,-1.22,46618769.6,3,25
疫苗冷链,20250214,0.93,46987292.8,20,9
疫苗冷链,20250215,0.93,46987292.8,20,9
