name,trade_date,pct_change,total_mv,up_num,down_num
盲盒经济,20241220,1.64,12273422.4,8,3
盲盒经济,20241221,1.64,12273422.4,8,3
盲盒经济,20241222,1.64,12273422.4,8,3
盲盒经济,20241223,-5.8,11610415.8,1,10
盲盒经济,20241224,2.02,11823087.1,9,2
盲盒经济,20241225,-3.65,11522767.1,2,9
盲盒经济,20241226,0.98,11540372.3,9,2
盲盒经济,20241227,-0.16,11617735.3,7,4
盲盒经济,20241228,-0.16,11617735.3,7,4
盲盒经济,20241229,-0.16,11617735.3,7,4
盲盒经济,20241230,-2.17,11435758.8,1,10
盲盒经济,20241231,-2.33,11125932.6,2,9
盲盒经济,20250101,-2.33,11125932.6,2,9
盲盒经济,20250102,-0.09,10878257.9,6,5
盲盒经济,20250103,-7.42,10284952.0,0,11
盲盒经济,20250104,-7.42,10284952.0,0,11
盲盒经济,20250105,-7.42,10284952.0,0,11
盲盒经济,20250106,-3.29,10066967.2,1,10
盲盒经济,20250107,3.79,10286558.3,10,1
盲盒经济,20250108,1.51,10484242.9,7,3
盲盒经济,20250109,1.7,10583252.3,8,3
盲盒经济,20250110,-2.08,10300310.6,3,8
盲盒经济,20250111,-2.08,10300310.6,3,8
盲盒经济,20250112,-2.08,10300310.6,3,8
盲盒经济,20250113,-2.07,10250001.3,3,8
盲盒经济,20250114,7.88,10907403.0,11,0
盲盒经济,20250115,3.63,11170395.7,9,2
盲盒经济,20250116,3.3,11353827.5,6,5
盲盒经济,20250117,-3.26,11146286.3,1,10
盲盒经济,20250118,-3.26,11146286.3,1,10
盲盒经济,20250119,-3.26,11146286.3,1,10
盲盒经济,20250120,-0.01,11155797.2,6,4
盲盒经济,20250121,0.41,11311673.0,4,6
盲盒经济,20250122,-3.53,10970021.3,1,10
盲盒经济,20250123,-1.01,11002457.1,3,8
盲盒经济,20250124,2.93,11378409.3,10,1
盲盒经济,20250125,2.93,11378409.3,10,1
盲盒经济,20250126,2.93,11378409.3,10,1
盲盒经济,20250127,-1.68,11202489.0,0,9
盲盒经济,20250128,-1.68,11202489.0,0,9
盲盒经济,20250129,-1.68,11202489.0,0,9
盲盒经济,20250130,-1.68,11202489.0,0,9
盲盒经济,20250131,-1.68,11202489.0,0,9
盲盒经济,20250201,-1.68,11202489.0,0,9
盲盒经济,20250202,-1.68,11202489.0,0,9
盲盒经济,20250203,-1.68,11202489.0,0,9
盲盒经济,20250204,-1.68,11202489.0,0,9
盲盒经济,20250205,2.57,11468753.5,10,0
盲盒经济,20250206,2.53,11744556.0,10,1
盲盒经济,20250207,1.25,11843354.2,8,3
盲盒经济,20250208,1.25,11843354.2,8,3
盲盒经济,20250209,1.25,11843354.2,8,3
盲盒经济,20250210,1.61,11975743.2,10,1
盲盒经济,20250211,6.03,12314117.4,9,2
盲盒经济,20250212,1.95,12462706.5,5,6
盲盒经济,20250213,-1.79,12371058.5,3,8
盲盒经济,20250214,0.31,12329797.5,5,6
盲盒经济,20250215,0.31,12329797.5,5,6
