name,trade_date,pct_change,total_mv,up_num,down_num
知识产权,20241220,0.9,40022364.8,26,13
知识产权,20241221,0.9,40022364.8,26,13
知识产权,20241222,0.9,40022364.8,26,13
知识产权,20241223,-6.31,37624912.0,0,40
知识产权,20241224,0.05,37522745.6,21,19
知识产权,20241225,-2.93,36498908.8,4,36
知识产权,20241226,0.59,36676260.8,25,11
知识产权,20241227,0.1,36669475.2,24,15
知识产权,20241228,0.1,36669475.2,24,15
知识产权,20241229,0.1,36669475.2,24,15
知识产权,20241230,-0.84,36486139.2,14,25
知识产权,20241231,-3.39,35177472.0,3,36
知识产权,20250101,-3.39,35177472.0,3,36
知识产权,20250102,-1.96,34687974.4,7,33
知识产权,20250103,-5.04,33000617.6,3,38
知识产权,20250104,-5.04,33000617.6,3,38
知识产权,20250105,-5.04,33000617.6,3,38
知识产权,20250106,-1.33,32541139.2,16,24
知识产权,20250107,2.52,33133430.4,37,4
知识产权,20250108,-0.38,33174851.2,16,23
知识产权,20250109,0.6,33332865.6,29,11
知识产权,20250110,-4.05,32167033.6,0,41
知识产权,20250111,-4.05,32167033.6,0,41
知识产权,20250112,-4.05,32167033.6,0,41
知识产权,20250113,0.29,32208563.2,22,19
知识产权,20250114,6.52,34250830.4,41,0
知识产权,20250115,1.07,34582344.0,26,15
知识产权,20250116,0.85,34612342.4,25,15
知识产权,20250117,-1.26,34311484.8,7,32
知识产权,20250118,-1.26,34311484.8,7,32
知识产权,20250119,-1.26,34311484.8,7,32
知识产权,20250120,0.51,34469468.8,27,12
知识产权,20250121,-0.02,34676542.4,22,19
知识产权,20250122,-1.68,34049020.8,4,37
知识产权,20250123,0.06,34123568.0,26,13
知识产权,20250124,2.78,35290977.6,38,3
知识产权,20250125,2.78,35290977.6,38,3
知识产权,20250126,2.78,35290977.6,38,3
知识产权,20250127,-0.13,35580561.6,15,24
知识产权,20250128,-0.13,35580561.6,15,24
知识产权,20250129,-0.13,35580561.6,15,24
知识产权,20250130,-0.13,35580561.6,15,24
知识产权,20250131,-0.13,35580561.6,15,24
知识产权,20250201,-0.13,35580561.6,15,24
知识产权,20250202,-0.13,35580561.6,15,24
知识产权,20250203,-0.13,35580561.6,15,24
知识产权,20250204,-0.13,35580561.6,15,24
知识产权,20250205,3.07,36872456.0,37,4
知识产权,20250206,2.31,37647673.6,40,1
知识产权,20250207,1.03,37909243.2,27,13
知识产权,20250208,1.03,37909243.2,27,13
知识产权,20250209,1.03,37909243.2,27,13
知识产权,20250210,3.13,38939116.8,38,2
知识产权,20250211,0.22,38785312.0,19,21
知识产权,20250212,1.18,39373601.6,34,7
知识产权,20250213,-0.25,39516804.8,12,29
知识产权,20250214,0.67,39791881.6,22,17
知识产权,20250215,0.67,39791881.6,22,17
