name,trade_date,pct_change,total_mv,up_num,down_num
短剧互动游戏,20241220,0.82,39174094.4,17,8
短剧互动游戏,20241221,0.82,39174094.4,17,8
短剧互动游戏,20241222,0.82,39174094.4,17,8
短剧互动游戏,20241223,-7.31,36709627.2,0,27
短剧互动游戏,20241224,-0.42,36715380.8,15,11
短剧互动游戏,20241225,-2.84,36079182.4,6,21
短剧互动游戏,20241226,0.74,36085579.2,15,11
短剧互动游戏,20241227,-0.21,36041889.6,16,11
短剧互动游戏,20241228,-0.21,36041889.6,16,11
短剧互动游戏,20241229,-0.21,36041889.6,16,11
短剧互动游戏,20241230,-1.32,35860897.6,9,17
短剧互动游戏,20241231,-4.34,34312910.4,0,27
短剧互动游戏,20250101,-4.34,34312910.4,0,27
短剧互动游戏,20250102,-2.17,33271454.4,5,22
短剧互动游戏,20250103,-5.25,31785113.6,1,26
短剧互动游戏,20250104,-5.25,31785113.6,1,26
短剧互动游戏,20250105,-5.25,31785113.6,1,26
短剧互动游戏,20250106,-1.75,31222136.0,5,22
短剧互动游戏,20250107,2.94,31958502.4,27,0
短剧互动游戏,20250108,0.95,32124009.6,17,10
短剧互动游戏,20250109,0.9,32357209.6,21,4
短剧互动游戏,20250110,-3.5,31507190.4,2,25
短剧互动游戏,20250111,-3.5,31507190.4,2,25
短剧互动游戏,20250112,-3.5,31507190.4,2,25
短剧互动游戏,20250113,-0.45,31389616.0,8,19
短剧互动游戏,20250114,7.5,33619921.6,27,0
短剧互动游戏,20250115,1.83,34030145.6,21,6
短剧互动游戏,20250116,0.3,33930212.8,13,14
短剧互动游戏,20250117,-1.15,33557009.6,8,19
短剧互动游戏,20250118,-1.15,33557009.6,8,19
短剧互动游戏,20250119,-1.15,33557009.6,8,19
短剧互动游戏,20250120,0.81,33820803.2,17,8
短剧互动游戏,20250121,0.39,34133968.0,17,9
短剧互动游戏,20250122,-2.51,33490238.4,2,25
短剧互动游戏,20250123,0.78,33816099.2,17,8
短剧互动游戏,20250124,2.55,34547843.2,25,2
短剧互动游戏,20250125,2.55,34547843.2,25,2
短剧互动游戏,20250126,2.55,34547843.2,25,2
短剧互动游戏,20250127,-0.44,34366726.4,7,20
短剧互动游戏,20250128,-0.44,34366726.4,7,20
短剧互动游戏,20250129,-0.44,34366726.4,7,20
短剧互动游戏,20250130,-0.44,34366726.4,7,20
短剧互动游戏,20250131,-0.44,34366726.4,7,20
短剧互动游戏,20250201,-0.44,34366726.4,7,20
短剧互动游戏,20250202,-0.44,34366726.4,7,20
短剧互动游戏,20250203,-0.44,34366726.4,7,20
短剧互动游戏,20250204,-0.44,34366726.4,7,20
短剧互动游戏,20250205,3.12,35695803.2,24,3
短剧互动游戏,20250206,3.18,36841630.4,26,1
短剧互动游戏,20250207,0.5,37016454.4,14,11
短剧互动游戏,20250208,0.5,37016454.4,14,11
短剧互动游戏,20250209,0.5,37016454.4,14,11
短剧互动游戏,20250210,3.61,38118176.0,26,1
短剧互动游戏,20250211,-0.07,38087440.0,11,16
短剧互动游戏,20250212,1.59,38688744.0,20,7
短剧互动游戏,20250213,2.47,39184812.8,16,11
短剧互动游戏,20250214,-0.02,39298849.6,13,14
短剧互动游戏,20250215,-0.02,39298849.6,13,14
