name,trade_date,pct_change,total_mv,up_num,down_num
石墨烯,20241220,0.62,84260044.8,45,24
石墨烯,20241221,0.62,84260044.8,45,24
石墨烯,20241222,0.62,84260044.8,45,24
石墨烯,20241223,-4.28,82102473.6,3,67
石墨烯,20241224,0.55,82918796.8,48,19
石墨烯,20241225,-2.18,82023412.8,10,61
石墨烯,20241226,1.08,82653019.2,51,14
石墨烯,20241227,1.21,82998595.2,49,21
石墨烯,20241228,1.21,82998595.2,49,21
石墨烯,20241229,1.21,82998595.2,49,21
石墨烯,20241230,-0.63,83089216.0,22,49
石墨烯,20241231,-2.19,80773739.2,9,62
石墨烯,20250101,-2.19,80773739.2,9,62
石墨烯,20250102,-1.99,78374512.0,12,58
石墨烯,20250103,-3.51,76101176.0,4,67
石墨烯,20250104,-3.51,76101176.0,4,67
石墨烯,20250105,-3.51,76101176.0,4,67
石墨烯,20250106,-0.06,76153470.4,35,34
石墨烯,20250107,2.64,77564816.0,60,10
石墨烯,20250108,-0.16,77018561.6,26,45
石墨烯,20250109,0.89,77277718.4,39,30
石墨烯,20250110,-2.56,75809468.8,8,63
石墨烯,20250111,-2.56,75809468.8,8,63
石墨烯,20250112,-2.56,75809468.8,8,63
石墨烯,20250113,0.0,75927120.0,37,32
石墨烯,20250114,4.85,79120696.0,71,0
石墨烯,20250115,-1.15,78099880.0,16,52
石墨烯,20250116,1.32,76325222.4,59,12
石墨烯,20250117,-0.08,76455942.4,37,29
石墨烯,20250118,-0.08,76455942.4,37,29
石墨烯,20250119,-0.08,76455942.4,37,29
石墨烯,20250120,1.5,80173942.4,55,11
石墨烯,20250121,-0.51,79979828.8,25,45
石墨烯,20250122,-0.79,79588830.4,17,52
石墨烯,20250123,-0.59,79092774.4,22,48
石墨烯,20250124,0.62,79947828.8,48,20
石墨烯,20250125,0.62,79947828.8,48,20
石墨烯,20250126,0.62,79947828.8,48,20
石墨烯,20250127,-1.7,78548624.0,21,47
石墨烯,20250128,-1.7,78548624.0,21,47
石墨烯,20250129,-1.7,78548624.0,21,47
石墨烯,20250130,-1.7,78548624.0,21,47
石墨烯,20250131,-1.7,78548624.0,21,47
石墨烯,20250201,-1.7,78548624.0,21,47
石墨烯,20250202,-1.7,78548624.0,21,47
石墨烯,20250203,-1.7,78548624.0,21,47
石墨烯,20250204,-1.7,78548624.0,21,47
石墨烯,20250205,0.88,78852737.6,54,16
石墨烯,20250206,2.55,80799337.6,66,3
石墨烯,20250207,1.87,81833092.8,58,12
石墨烯,20250208,1.87,81833092.8,58,12
石墨烯,20250209,1.87,81833092.8,58,12
石墨烯,20250210,1.16,82210892.8,51,19
石墨烯,20250211,-0.47,81630201.6,19,51
石墨烯,20250212,2.26,83397105.6,53,12
石墨烯,20250213,-0.7,82796537.6,16,53
石墨烯,20250214,0.17,83239443.2,29,39
石墨烯,20250215,0.17,83239443.2,29,39
