name,trade_date,pct_change,total_mv,up_num,down_num
碳交易,20241220,0.28,261093481.6,65,65
碳交易,20241221,0.28,261093481.6,65,65
碳交易,20241222,0.28,261093481.6,65,65
碳交易,20241223,-3.63,260329675.2,15,120
碳交易,20241224,0.88,263186396.8,89,42
碳交易,20241225,-2.06,263036377.6,15,115
碳交易,20241226,0.66,261321395.2,81,49
碳交易,20241227,1.39,262596190.4,111,20
碳交易,20241228,1.39,262596190.4,111,20
碳交易,20241229,1.39,262596190.4,111,20
碳交易,20241230,-1.16,262761785.6,35,96
碳交易,20241231,-2.23,258507860.8,17,118
碳交易,20250101,-2.23,258507860.8,17,118
碳交易,20250102,-2.08,252065974.4,13,119
碳交易,20250103,-3.68,248663688.0,11,123
碳交易,20250104,-3.68,248663688.0,11,123
碳交易,20250105,-3.68,248663688.0,11,123
碳交易,20250106,-0.22,249145872.0,61,68
碳交易,20250107,1.86,249485974.4,100,34
碳交易,20250108,-0.57,248925780.8,29,101
碳交易,20250109,-0.06,246189568.0,52,77
碳交易,20250110,-2.63,241972542.4,11,123
碳交易,20250111,-2.63,241972542.4,11,123
碳交易,20250112,-2.63,241972542.4,11,123
碳交易,20250113,0.51,241449252.8,87,41
碳交易,20250114,4.42,248093785.6,133,0
碳交易,20250115,-0.55,246927332.8,30,99
碳交易,20250116,1.0,224126052.8,94,31
碳交易,20250117,-0.18,223889299.2,59,67
碳交易,20250118,-0.18,223889299.2,59,67
碳交易,20250119,-0.18,223889299.2,59,67
碳交易,20250120,0.92,247654676.8,91,35
碳交易,20250121,-0.59,245667860.8,34,96
碳交易,20250122,-0.95,243965236.8,31,101
碳交易,20250123,-0.13,244166721.6,66,62
碳交易,20250124,0.5,245297964.8,94,30
碳交易,20250125,0.5,245297964.8,94,30
碳交易,20250126,0.5,245297964.8,94,30
碳交易,20250127,-0.37,245699352.0,69,62
碳交易,20250128,-0.37,245699352.0,69,62
碳交易,20250129,-0.37,245699352.0,69,62
碳交易,20250130,-0.37,245699352.0,69,62
碳交易,20250131,-0.37,245699352.0,69,62
碳交易,20250201,-0.37,245699352.0,69,62
碳交易,20250202,-0.37,245699352.0,69,62
碳交易,20250203,-0.37,245699352.0,69,62
碳交易,20250204,-0.37,245699352.0,69,62
碳交易,20250205,0.86,245006275.2,86,44
碳交易,20250206,1.41,248339168.0,118,13
碳交易,20250207,1.26,250571228.8,108,23
碳交易,20250208,1.26,250571228.8,108,23
碳交易,20250209,1.26,250571228.8,108,23
碳交易,20250210,1.47,251286752.0,100,28
碳交易,20250211,-0.28,250961236.8,35,94
碳交易,20250212,1.19,252248848.0,95,29
碳交易,20250213,-0.76,250794860.8,30,103
碳交易,20250214,0.03,251614830.4,54,71
碳交易,20250215,0.03,251614830.4,54,71
