name,trade_date,pct_change,total_mv,up_num,down_num
社保重仓,20241220,0.59,43024060.8,13,17
社保重仓,20241221,0.59,43024060.8,13,17
社保重仓,20241222,0.59,43024060.8,13,17
社保重仓,20241223,-1.38,42820864.0,10,19
社保重仓,20241224,1.88,43477561.6,26,4
社保重仓,20241225,-0.45,43192496.0,10,19
社保重仓,20241226,1.04,43475080.0,15,15
社保重仓,20241227,0.12,43478180.8,16,11
社保重仓,20241228,0.12,43478180.8,16,11
社保重仓,20241229,0.12,43478180.8,16,11
社保重仓,20241230,-0.35,43467454.4,10,19
社保重仓,20241231,-1.55,42980276.8,6,24
社保重仓,20250101,-1.55,42980276.8,6,24
社保重仓,20250102,-2.07,42051075.2,3,27
社保重仓,20250103,-2.61,41311129.6,3,26
社保重仓,20250104,-2.61,41311129.6,3,26
社保重仓,20250105,-2.61,41311129.6,3,26
社保重仓,20250106,0.02,41296484.8,18,12
社保重仓,20250107,1.53,41542758.4,19,11
社保重仓,20250108,0.09,41530779.2,15,14
社保重仓,20250109,-0.15,41419137.6,12,17
社保重仓,20250110,-1.92,40721313.6,5,25
社保重仓,20250111,-1.92,40721313.6,5,25
社保重仓,20250112,-1.92,40721313.6,5,25
社保重仓,20250113,0.31,40944446.4,15,14
社保重仓,20250114,3.5,42088985.6,29,1
社保重仓,20250115,-0.55,41804249.6,10,20
社保重仓,20250116,1.23,42299224.0,21,9
社保重仓,20250117,0.49,42445643.2,19,9
社保重仓,20250118,0.49,42445643.2,19,9
社保重仓,20250119,0.49,42445643.2,19,9
社保重仓,20250120,0.72,42446342.4,16,13
社保重仓,20250121,0.2,42526873.6,13,16
社保重仓,20250122,-0.08,41383348.8,7,22
社保重仓,20250123,-0.15,41253904.0,12,17
社保重仓,20250124,1.01,41680593.6,23,6
社保重仓,20250125,1.01,41680593.6,23,6
社保重仓,20250126,1.01,41680593.6,23,6
社保重仓,20250127,-0.55,41665462.4,12,17
社保重仓,20250128,-0.55,41665462.4,12,17
社保重仓,20250129,-0.55,41665462.4,12,17
社保重仓,20250130,-0.55,41665462.4,12,17
社保重仓,20250131,-0.55,41665462.4,12,17
社保重仓,20250201,-0.55,41665462.4,12,17
社保重仓,20250202,-0.55,41665462.4,12,17
社保重仓,20250203,-0.55,41665462.4,12,17
社保重仓,20250204,-0.55,41665462.4,12,17
社保重仓,20250205,-1.6,41024596.8,7,22
社保重仓,20250206,1.81,41572987.2,21,8
社保重仓,20250207,1.11,42162107.2,22,6
社保重仓,20250208,1.11,42162107.2,22,6
社保重仓,20250209,1.11,42162107.2,22,6
社保重仓,20250210,0.11,42152864.0,16,13
社保重仓,20250211,0.32,41552692.8,14,14
社保重仓,20250212,1.02,41740667.2,16,12
社保重仓,20250213,-1.51,41301081.6,5,22
社保重仓,20250214,1.19,41511099.2,15,13
社保重仓,20250215,1.19,41511099.2,15,13
