name,trade_date,pct_change,total_mv,up_num,down_num
科创板做市商,20241220,0.39,188510388.8,10,3
科创板做市商,20241221,0.39,188510388.8,10,3
科创板做市商,20241222,0.39,188510388.8,10,3
科创板做市商,20241223,-1.13,186433616.0,2,12
科创板做市商,20241224,2.19,190343163.2,14,0
科创板做市商,20241225,-0.23,189682500.8,3,10
科创板做市商,20241226,-0.12,189334984.0,8,6
科创板做市商,20241227,0.6,190138851.2,12,1
科创板做市商,20241228,0.6,190138851.2,12,1
科创板做市商,20241229,0.6,190138851.2,12,1
科创板做市商,20241230,1.08,192124555.2,14,0
科创板做市商,20241231,-4.35,184054955.2,0,14
科创板做市商,20250101,-4.35,184054955.2,0,14
科创板做市商,20250102,-5.11,174187324.8,0,14
科创板做市商,20250103,-1.95,170765937.6,0,14
科创板做市商,20250104,-1.95,170765937.6,0,14
科创板做市商,20250105,-1.95,170765937.6,0,14
科创板做市商,20250106,0.0,170812145.6,8,6
科创板做市商,20250107,0.68,172063657.6,14,0
科创板做市商,20250108,-0.74,170710440.0,0,14
科创板做市商,20250109,-0.68,169707724.8,1,13
科创板做市商,20250110,-1.37,167453881.6,0,14
科创板做市商,20250111,-1.37,167453881.6,0,14
科创板做市商,20250112,-1.37,167453881.6,0,14
科创板做市商,20250113,0.45,168014289.6,11,3
科创板做市商,20250114,3.16,173692577.6,14,0
科创板做市商,20250115,-0.47,172569504.0,3,11
科创板做市商,20250116,-0.23,146858502.4,3,9
科创板做市商,20250117,0.25,147334528.0,9,2
科创板做市商,20250118,0.25,147334528.0,9,2
科创板做市商,20250119,0.25,147334528.0,9,2
科创板做市商,20250120,0.53,173342692.8,11,2
科创板做市商,20250121,0.01,173464254.4,7,5
科创板做市商,20250122,-0.39,172575940.8,1,13
科创板做市商,20250123,0.61,173566238.4,12,2
科创板做市商,20250124,1.06,175465188.8,13,1
科创板做市商,20250125,1.06,175465188.8,13,1
科创板做市商,20250126,1.06,175465188.8,13,1
科创板做市商,20250127,-2.02,171890425.6,0,14
科创板做市商,20250128,-2.02,171890425.6,0,14
科创板做市商,20250129,-2.02,171890425.6,0,14
科创板做市商,20250130,-2.02,171890425.6,0,14
科创板做市商,20250131,-2.02,171890425.6,0,14
科创板做市商,20250201,-2.02,171890425.6,0,14
科创板做市商,20250202,-2.02,171890425.6,0,14
科创板做市商,20250203,-2.02,171890425.6,0,14
科创板做市商,20250204,-2.02,171890425.6,0,14
科创板做市商,20250205,0.22,172146281.6,8,4
科创板做市商,20250206,1.18,174152510.4,13,0
科创板做市商,20250207,2.3,177663145.6,13,0
科创板做市商,20250208,2.3,177663145.6,13,0
科创板做市商,20250209,2.3,177663145.6,13,0
科创板做市商,20250210,0.14,177811275.2,7,3
科创板做市商,20250211,-0.65,176552476.8,2,12
科创板做市商,20250212,1.28,178595132.8,14,0
科创板做市商,20250213,-0.42,178042414.4,3,11
科创板做市商,20250214,0.57,178795390.4,10,2
科创板做市商,20250215,0.57,178795390.4,10,2
