name,trade_date,pct_change,total_mv,up_num,down_num
租售同权,20241220,0.73,45194860.8,8,9
租售同权,20241221,0.73,45194860.8,8,9
租售同权,20241222,0.73,45194860.8,8,9
租售同权,20241223,-5.21,43975315.2,1,17
租售同权,20241224,-0.37,44184406.4,10,8
租售同权,20241225,-2.39,43455377.6,1,17
租售同权,20241226,0.07,43283670.4,8,8
租售同权,20241227,1.19,43730472.0,15,2
租售同权,20241228,1.19,43730472.0,15,2
租售同权,20241229,1.19,43730472.0,15,2
租售同权,20241230,-1.94,43073993.6,1,17
租售同权,20241231,-2.28,42505254.4,2,16
租售同权,20250101,-2.28,42505254.4,2,16
租售同权,20250102,-0.02,41614638.4,5,13
租售同权,20250103,-3.77,40688294.4,1,17
租售同权,20250104,-3.77,40688294.4,1,17
租售同权,20250105,-3.77,40688294.4,1,17
租售同权,20250106,-1.16,40614044.8,5,10
租售同权,20250107,2.05,41052214.4,15,3
租售同权,20250108,-0.2,40720352.0,7,10
租售同权,20250109,0.05,40945560.0,9,9
租售同权,20250110,-3.84,39995865.6,0,18
租售同权,20250111,-3.84,39995865.6,0,18
租售同权,20250112,-3.84,39995865.6,0,18
租售同权,20250113,0.67,40690700.8,12,5
租售同权,20250114,3.68,41556947.2,18,0
租售同权,20250115,-0.1,41249988.8,5,13
租售同权,20250116,0.11,39250548.8,9,8
租售同权,20250117,0.06,39250844.8,7,10
租售同权,20250118,0.06,39250844.8,7,10
租售同权,20250119,0.06,39250844.8,7,10
租售同权,20250120,0.94,41220267.2,11,6
租售同权,20250121,0.92,42059137.6,10,6
租售同权,20250122,-3.34,40418998.4,0,18
租售同权,20250123,0.55,41055833.6,12,4
租售同权,20250124,0.33,41231598.4,11,6
租售同权,20250125,0.33,41231598.4,11,6
租售同权,20250126,0.33,41231598.4,11,6
租售同权,20250127,-1.41,40632118.4,2,15
租售同权,20250128,-1.41,40632118.4,2,15
租售同权,20250129,-1.41,40632118.4,2,15
租售同权,20250130,-1.41,40632118.4,2,15
租售同权,20250131,-1.41,40632118.4,2,15
租售同权,20250201,-1.41,40632118.4,2,15
租售同权,20250202,-1.41,40632118.4,2,15
租售同权,20250203,-1.41,40632118.4,2,15
租售同权,20250204,-1.41,40632118.4,2,15
租售同权,20250205,0.44,40182299.2,12,6
租售同权,20250206,1.06,40576764.8,16,2
租售同权,20250207,2.24,41634609.6,18,0
租售同权,20250208,2.24,41634609.6,18,0
租售同权,20250209,2.24,41634609.6,18,0
租售同权,20250210,2.33,42035454.4,17,0
租售同权,20250211,-0.86,41276232.0,2,16
租售同权,20250212,2.72,43013219.2,15,3
租售同权,20250213,-0.47,43021960.0,7,9
租售同权,20250214,-1.21,42512326.4,4,14
租售同权,20250215,-1.21,42512326.4,4,14
