name,trade_date,pct_change,total_mv,up_num,down_num
稀土永磁,20241220,1.03,93201473.6,39,18
稀土永磁,20241221,1.03,93201473.6,39,18
稀土永磁,20241222,1.03,93201473.6,39,18
稀土永磁,20241223,-3.27,91438881.6,3,58
稀土永磁,20241224,1.08,92636171.2,52,6
稀土永磁,20241225,-2.25,91146822.4,4,56
稀土永磁,20241226,1.59,92119865.6,48,11
稀土永磁,20241227,0.64,92213324.8,39,20
稀土永磁,20241228,0.64,92213324.8,39,20
稀土永磁,20241229,0.64,92213324.8,39,20
稀土永磁,20241230,-1.19,92148636.8,15,43
稀土永磁,20241231,-2.85,89682880.0,5,55
稀土永磁,20250101,-2.85,89682880.0,5,55
稀土永磁,20250102,-1.88,87619830.4,8,53
稀土永磁,20250103,-2.11,87575208.0,11,51
稀土永磁,20250104,-2.11,87575208.0,11,51
稀土永磁,20250105,-2.11,87575208.0,11,51
稀土永磁,20250106,1.21,88158720.0,45,16
稀土永磁,20250107,2.26,89631278.4,58,3
稀土永磁,20250108,-1.19,88215713.6,7,52
稀土永磁,20250109,1.43,89062368.0,43,17
稀土永磁,20250110,-0.92,88626380.8,18,43
稀土永磁,20250111,-0.92,88626380.8,18,43
稀土永磁,20250112,-0.92,88626380.8,18,43
稀土永磁,20250113,0.48,89720172.8,42,18
稀土永磁,20250114,4.19,92448420.8,61,1
稀土永磁,20250115,0.02,91917219.2,20,39
稀土永磁,20250116,-0.06,88302108.8,31,28
稀土永磁,20250117,-0.05,88546654.4,27,34
稀土永磁,20250118,-0.05,88546654.4,27,34
稀土永磁,20250119,-0.05,88546654.4,27,34
稀土永磁,20250120,-0.23,92249496.0,29,32
稀土永磁,20250121,-0.91,91465640.0,13,47
稀土永磁,20250122,-0.62,91219713.6,16,45
稀土永磁,20250123,0.56,91211288.0,35,24
稀土永磁,20250124,0.86,92450596.8,47,13
稀土永磁,20250125,0.86,92450596.8,47,13
稀土永磁,20250126,0.86,92450596.8,47,13
稀土永磁,20250127,-2.18,90729150.4,10,50
稀土永磁,20250128,-2.18,90729150.4,10,50
稀土永磁,20250129,-2.18,90729150.4,10,50
稀土永磁,20250130,-2.18,90729150.4,10,50
稀土永磁,20250131,-2.18,90729150.4,10,50
稀土永磁,20250201,-2.18,90729150.4,10,50
稀土永磁,20250202,-2.18,90729150.4,10,50
稀土永磁,20250203,-2.18,90729150.4,10,50
稀土永磁,20250204,-2.18,90729150.4,10,50
稀土永磁,20250205,2.08,92057441.6,52,9
稀土永磁,20250206,3.53,94676748.8,61,1
稀土永磁,20250207,0.29,95135942.4,35,27
稀土永磁,20250208,0.29,95135942.4,35,27
稀土永磁,20250209,0.29,95135942.4,35,27
稀土永磁,20250210,0.64,95343844.8,40,21
稀土永磁,20250211,-0.33,94725852.8,13,45
稀土永磁,20250212,0.85,94927152.0,43,17
稀土永磁,20250213,-1.29,93777168.0,10,51
稀土永磁,20250214,-0.48,93736873.6,23,37
稀土永磁,20250215,-0.48,93736873.6,23,37
