name,trade_date,pct_change,total_mv,up_num,down_num
空间计算,20241220,1.12,13653662.2,16,5
空间计算,20241221,1.12,13653662.2,16,5
空间计算,20241222,1.12,13653662.2,16,5
空间计算,20241223,-6.58,12768264.4,0,23
空间计算,20241224,0.14,12800448.5,13,8
空间计算,20241225,-2.42,12537724.9,1,22
空间计算,20241226,1.4,12669756.7,21,2
空间计算,20241227,1.19,12823893.8,16,7
空间计算,20241228,1.19,12823893.8,16,7
空间计算,20241229,1.19,12823893.8,16,7
空间计算,20241230,-0.14,12807192.4,14,9
空间计算,20241231,-3.08,12223369.2,4,19
空间计算,20250101,-3.08,12223369.2,4,19
空间计算,20250102,0.37,12175351.7,5,17
空间计算,20250103,-5.34,11555825.1,1,22
空间计算,20250104,-5.34,11555825.1,1,22
空间计算,20250105,-5.34,11555825.1,1,22
空间计算,20250106,0.02,11492619.8,10,13
空间计算,20250107,3.59,11820503.6,23,0
空间计算,20250108,-0.48,11750872.3,8,15
空间计算,20250109,1.02,11831615.2,15,6
空间计算,20250110,-4.3,11339503.9,1,22
空间计算,20250111,-4.3,11339503.9,1,22
空间计算,20250112,-4.3,11339503.9,1,22
空间计算,20250113,-0.4,11333067.1,11,11
空间计算,20250114,6.21,12066021.5,23,0
空间计算,20250115,-0.8,11959116.9,7,16
空间计算,20250116,0.37,11992862.9,12,11
空间计算,20250117,-1.17,11844917.8,5,18
空间计算,20250118,-1.17,11844917.8,5,18
空间计算,20250119,-1.17,11844917.8,5,18
空间计算,20250120,1.48,12003922.2,19,4
空间计算,20250121,0.14,12164425.0,7,16
空间计算,20250122,-0.97,12095425.8,6,17
空间计算,20250123,-0.3,12061552.5,10,13
空间计算,20250124,1.99,12243192.5,19,4
空间计算,20250125,1.99,12243192.5,19,4
空间计算,20250126,1.99,12243192.5,19,4
空间计算,20250127,0.05,12232708.0,6,16
空间计算,20250128,0.05,12232708.0,6,16
空间计算,20250129,0.05,12232708.0,6,16
空间计算,20250130,0.05,12232708.0,6,16
空间计算,20250131,0.05,12232708.0,6,16
空间计算,20250201,0.05,12232708.0,6,16
空间计算,20250202,0.05,12232708.0,6,16
空间计算,20250203,0.05,12232708.0,6,16
空间计算,20250204,0.05,12232708.0,6,16
空间计算,20250205,3.87,12830127.7,21,2
空间计算,20250206,2.91,13398838.7,22,1
空间计算,20250207,2.08,13770705.1,20,3
空间计算,20250208,2.08,13770705.1,20,3
空间计算,20250209,2.08,13770705.1,20,3
空间计算,20250210,4.04,14434880.1,23,0
空间计算,20250211,0.84,14661405.7,9,14
空间计算,20250212,1.28,14912460.6,17,6
空间计算,20250213,0.25,14948162.1,8,15
空间计算,20250214,2.0,15043423.2,17,6
空间计算,20250215,2.0,15043423.2,17,6
