name,trade_date,pct_change,total_mv,up_num,down_num
第四代半导体,20241220,1.42,11631592.2,3,1
第四代半导体,20241221,1.42,11631592.2,3,1
第四代半导体,20241222,1.42,11631592.2,3,1
第四代半导体,20241223,-1.77,11454182.8,1,3
第四代半导体,20241224,1.56,11646556.3,3,1
第四代半导体,20241225,-1.86,11444185.1,0,4
第四代半导体,20241226,-0.02,11413489.4,2,2
第四代半导体,20241227,0.62,11494224.7,3,1
第四代半导体,20241228,0.62,11494224.7,3,1
第四代半导体,20241229,0.62,11494224.7,3,1
第四代半导体,20241230,-0.83,11379115.5,1,3
第四代半导体,20241231,-3.01,11060480.2,0,4
第四代半导体,20250101,-3.01,11060480.2,0,4
第四代半导体,20250102,-3.43,10653605.9,0,4
第四代半导体,20250103,-2.09,10432052.8,0,4
第四代半导体,20250104,-2.09,10432052.8,0,4
第四代半导体,20250105,-2.09,10432052.8,0,4
第四代半导体,20250106,0.57,10509717.3,2,2
第四代半导体,20250107,1.04,10590659.1,3,1
第四代半导体,20250108,-0.84,10528280.5,1,3
第四代半导体,20250109,0.02,10518939.3,2,2
第四代半导体,20250110,-0.59,10441269.8,1,3
第四代半导体,20250111,-0.59,10441269.8,1,3
第四代半导体,20250112,-0.59,10441269.8,1,3
第四代半导体,20250113,0.42,10455020.2,2,2
第四代半导体,20250114,3.87,10874756.3,4,0
第四代半导体,20250115,-2.12,10649894.7,0,4
第四代半导体,20250116,0.5,10704649.9,2,1
第四代半导体,20250117,0.35,10750342.4,3,1
第四代半导体,20250118,0.35,10750342.4,3,1
第四代半导体,20250119,0.35,10750342.4,3,1
第四代半导体,20250120,0.59,10820723.9,3,1
第四代半导体,20250121,0.59,10865021.5,2,2
第四代半导体,20250122,-0.58,10821820.3,1,3
第四代半导体,20250123,-0.29,10778952.4,2,2
第四代半导体,20250124,1.54,10941494.3,4,0
第四代半导体,20250125,1.54,10941494.3,4,0
第四代半导体,20250126,1.54,10941494.3,4,0
第四代半导体,20250127,-1.38,10793718.9,0,4
第四代半导体,20250128,-1.38,10793718.9,0,4
第四代半导体,20250129,-1.38,10793718.9,0,4
第四代半导体,20250130,-1.38,10793718.9,0,4
第四代半导体,20250131,-1.38,10793718.9,0,4
第四代半导体,20250201,-1.38,10793718.9,0,4
第四代半导体,20250202,-1.38,10793718.9,0,4
第四代半导体,20250203,-1.38,10793718.9,0,4
第四代半导体,20250204,-1.38,10793718.9,0,4
第四代半导体,20250205,0.12,10782153.3,2,2
第四代半导体,20250206,1.51,10917440.6,2,2
第四代半导体,20250207,1.27,11054212.4,4,0
第四代半导体,20250208,1.27,11054212.4,4,0
第四代半导体,20250209,1.27,11054212.4,4,0
第四代半导体,20250210,-0.58,10982233.3,1,3
第四代半导体,20250211,-1.72,10809547.2,0,4
第四代半导体,20250212,1.91,11007817.7,4,0
第四代半导体,20250213,-2.65,10700935.4,0,4
第四代半导体,20250214,-0.35,10677007.3,2,2
第四代半导体,20250215,-0.35,10677007.3,2,2
