name,trade_date,pct_change,total_mv,up_num,down_num
粤港自贸,20241220,-0.2,108128700.8,26,40
粤港自贸,20241221,-0.2,108128700.8,26,40
粤港自贸,20241222,-0.2,108128700.8,26,40
粤港自贸,20241223,-4.37,106389216.0,6,60
粤港自贸,20241224,-0.02,107404078.4,45,25
粤港自贸,20241225,-2.29,106357412.8,12,57
粤港自贸,20241226,0.74,106125150.4,35,33
粤港自贸,20241227,1.27,107034796.8,56,13
粤港自贸,20241228,1.27,107034796.8,56,13
粤港自贸,20241229,1.27,107034796.8,56,13
粤港自贸,20241230,-0.89,106893225.6,18,51
粤港自贸,20241231,-1.93,105464222.4,10,59
粤港自贸,20250101,-1.93,105464222.4,10,59
粤港自贸,20250102,-1.45,104027488.0,11,56
粤港自贸,20250103,-4.4,101142987.2,1,68
粤港自贸,20250104,-4.4,101142987.2,1,68
粤港自贸,20250105,-4.4,101142987.2,1,68
粤港自贸,20250106,-0.48,101036569.6,32,35
粤港自贸,20250107,2.05,101482438.4,52,16
粤港自贸,20250108,0.4,102483112.0,34,32
粤港自贸,20250109,-0.6,102195828.8,20,47
粤港自贸,20250110,-2.74,100316174.4,7,61
粤港自贸,20250111,-2.74,100316174.4,7,61
粤港自贸,20250112,-2.74,100316174.4,7,61
粤港自贸,20250113,-0.1,99755478.4,36,29
粤港自贸,20250114,4.19,102681256.0,69,0
粤港自贸,20250115,-0.04,102626657.6,25,41
粤港自贸,20250116,0.62,97445616.0,45,23
粤港自贸,20250117,-0.67,97214148.8,24,41
粤港自贸,20250118,-0.67,97214148.8,24,41
粤港自贸,20250119,-0.67,97214148.8,24,41
粤港自贸,20250120,1.01,102942352.0,45,18
粤港自贸,20250121,-0.38,102682400.0,20,48
粤港自贸,20250122,-2.09,101222104.0,9,62
粤港自贸,20250123,-0.09,101675216.0,39,26
粤港自贸,20250124,0.26,101878516.8,41,27
粤港自贸,20250127,-0.53,101966539.2,30,36
粤港自贸,20250128,-0.53,101966539.2,30,36
粤港自贸,20250129,-0.53,101966539.2,30,36
粤港自贸,20250130,-0.53,101966539.2,30,36
粤港自贸,20250131,-0.53,101966539.2,30,36
粤港自贸,20250201,-0.53,101966539.2,30,36
粤港自贸,20250202,-0.53,101966539.2,30,36
粤港自贸,20250203,-0.53,101966539.2,30,36
粤港自贸,20250204,-0.53,101966539.2,30,36
粤港自贸,20250205,0.48,101053755.2,41,29
粤港自贸,20250206,1.47,101669582.4,56,15
粤港自贸,20250207,1.61,103192584.0,63,9
粤港自贸,20250208,1.61,103192584.0,63,9
粤港自贸,20250209,1.61,103192584.0,63,9
粤港自贸,20250210,2.29,104047868.8,60,10
粤港自贸,20250211,-0.28,103632254.4,24,46
粤港自贸,20250212,1.11,104609043.2,50,18
粤港自贸,20250213,-0.03,104436980.8,22,45
粤港自贸,20250214,-0.33,104363976.0,22,47
粤港自贸,20250215,-0.33,104363976.0,22,47
