name,trade_date,pct_change,total_mv,up_num,down_num
粮食概念,20241220,-0.46,21608851.6,8,19
粮食概念,20241221,-0.46,21608851.6,8,19
粮食概念,20241222,-0.46,21608851.6,8,19
粮食概念,20241223,-5.09,20781281.4,0,29
粮食概念,20241224,0.57,20896718.1,20,6
粮食概念,20241225,-2.43,20544225.1,3,25
粮食概念,20241226,0.91,20672802.3,22,5
粮食概念,20241227,5.27,21652318.7,27,2
粮食概念,20241228,5.27,21652318.7,27,2
粮食概念,20241229,5.27,21652318.7,27,2
粮食概念,20241230,-3.05,21140417.8,0,28
粮食概念,20241231,-0.59,20889422.6,7,21
粮食概念,20250101,-0.59,20889422.6,7,21
粮食概念,20250102,0.18,20701362.2,9,19
粮食概念,20250103,-4.72,19868634.6,1,28
粮食概念,20250104,-4.72,19868634.6,1,28
粮食概念,20250105,-4.72,19868634.6,1,28
粮食概念,20250106,-1.56,19590540.4,10,17
粮食概念,20250107,2.57,19950676.4,28,1
粮食概念,20250108,-1.1,19621019.0,6,22
粮食概念,20250109,0.6,19660793.4,16,12
粮食概念,20250110,-3.02,19173973.2,2,27
粮食概念,20250111,-3.02,19173973.2,2,27
粮食概念,20250112,-3.02,19173973.2,2,27
粮食概念,20250113,0.71,19251275.0,19,8
粮食概念,20250114,3.89,19855988.3,29,0
粮食概念,20250115,-0.11,19765733.4,11,18
粮食概念,20250116,1.57,20007648.4,24,4
粮食概念,20250117,-0.15,20024066.0,18,8
粮食概念,20250118,-0.15,20024066.0,18,8
粮食概念,20250119,-0.15,20024066.0,18,8
粮食概念,20250120,-0.37,19943992.6,10,16
粮食概念,20250121,-1.22,19749250.6,2,26
粮食概念,20250122,-1.52,19508583.4,4,25
粮食概念,20250123,0.77,19665447.0,19,7
粮食概念,20250124,-0.08,19687490.8,15,11
粮食概念,20250127,1.34,19868514.7,24,5
粮食概念,20250128,1.34,19868514.7,24,5
粮食概念,20250129,1.34,19868514.7,24,5
粮食概念,20250130,1.34,19868514.7,24,5
粮食概念,20250131,1.34,19868514.7,24,5
粮食概念,20250201,1.34,19868514.7,24,5
粮食概念,20250202,1.34,19868514.7,24,5
粮食概念,20250203,1.34,19868514.7,24,5
粮食概念,20250204,1.34,19868514.7,24,5
粮食概念,20250205,0.89,20032774.5,20,7
粮食概念,20250206,1.16,20232034.9,24,3
粮食概念,20250207,1.09,20397709.6,26,2
粮食概念,20250208,1.09,20397709.6,26,2
粮食概念,20250209,1.09,20397709.6,26,2
粮食概念,20250210,1.69,20625499.0,25,3
粮食概念,20250211,-0.67,20482640.4,10,19
粮食概念,20250212,0.67,20579858.3,16,8
粮食概念,20250213,0.2,20714792.3,10,14
粮食概念,20250214,-0.42,20603213.2,8,19
粮食概念,20250215,-0.42,20603213.2,8,19
