name,trade_date,pct_change,total_mv,up_num,down_num
精准医疗,20241220,0.19,61079830.4,24,18
精准医疗,20241221,0.19,61079830.4,24,18
精准医疗,20241222,0.19,61079830.4,24,18
精准医疗,20241223,-4.31,59669902.4,3,42
精准医疗,20241224,0.47,60477990.4,28,15
精准医疗,20241225,-1.24,60110308.8,11,33
精准医疗,20241226,0.17,59822556.8,20,24
精准医疗,20241227,1.04,60049033.6,37,8
精准医疗,20241228,1.04,60049033.6,37,8
精准医疗,20241229,1.04,60049033.6,37,8
精准医疗,20241230,-1.19,59858352.0,11,34
精准医疗,20241231,-2.63,58473078.4,2,42
精准医疗,20250101,-2.63,58473078.4,2,42
精准医疗,20250102,-2.43,56743017.6,5,40
精准医疗,20250103,-2.3,56032260.8,5,39
精准医疗,20250104,-2.3,56032260.8,5,39
精准医疗,20250105,-2.3,56032260.8,5,39
精准医疗,20250106,1.32,56768948.8,35,10
精准医疗,20250107,-0.28,56041627.2,17,28
精准医疗,20250108,-0.65,55584129.6,12,32
精准医疗,20250109,-0.02,55176718.4,16,27
精准医疗,20250110,-2.59,54189076.8,5,40
精准医疗,20250111,-2.59,54189076.8,5,40
精准医疗,20250112,-2.59,54189076.8,5,40
精准医疗,20250113,0.45,54349595.2,27,15
精准医疗,20250114,3.43,55757158.4,45,0
精准医疗,20250115,-0.71,55174796.8,9,34
精准医疗,20250116,0.24,51661974.4,26,16
精准医疗,20250117,0.46,51893524.8,22,21
精准医疗,20250118,0.46,51893524.8,22,21
精准医疗,20250119,0.46,51893524.8,22,21
精准医疗,20250120,0.84,55733252.8,34,9
精准医疗,20250121,-0.51,55633230.4,11,33
精准医疗,20250122,-1.25,55190716.8,8,37
精准医疗,20250123,-0.48,55098235.2,18,23
精准医疗,20250124,0.65,55300665.6,30,13
精准医疗,20250125,0.65,55300665.6,30,13
精准医疗,20250126,0.65,55300665.6,30,13
精准医疗,20250127,-0.19,55169836.8,21,22
精准医疗,20250128,-0.19,55169836.8,21,22
精准医疗,20250129,-0.19,55169836.8,21,22
精准医疗,20250130,-0.19,55169836.8,21,22
精准医疗,20250131,-0.19,55169836.8,21,22
精准医疗,20250201,-0.19,55169836.8,21,22
精准医疗,20250202,-0.19,55169836.8,21,22
精准医疗,20250203,-0.19,55169836.8,21,22
精准医疗,20250204,-0.19,55169836.8,21,22
精准医疗,20250205,1.41,55749408.0,39,5
精准医疗,20250206,1.77,56457128.0,36,5
精准医疗,20250207,2.54,57719268.8,41,4
精准医疗,20250208,2.54,57719268.8,41,4
精准医疗,20250209,2.54,57719268.8,41,4
精准医疗,20250210,3.31,59045441.6,38,7
精准医疗,20250211,-1.28,58113192.0,9,36
精准医疗,20250212,0.33,58367289.6,23,17
精准医疗,20250213,-0.7,57976753.6,8,36
精准医疗,20250214,3.91,59964342.4,40,5
精准医疗,20250215,3.91,59964342.4,40,5
