name,trade_date,pct_change,total_mv,up_num,down_num
肝素概念,20241220,-0.09,20809204.6,7,5
肝素概念,20241221,-0.09,20809204.6,7,5
肝素概念,20241222,-0.09,20809204.6,7,5
肝素概念,20241223,-0.72,20635390.5,3,10
肝素概念,20241224,1.09,20815384.9,12,1
肝素概念,20241225,-1.64,20531462.0,0,13
肝素概念,20241226,-0.38,20356815.5,4,8
肝素概念,20241227,1.83,20690141.6,13,0
肝素概念,20241228,1.83,20690141.6,13,0
肝素概念,20241229,1.83,20690141.6,13,0
肝素概念,20241230,-0.29,20618663.0,4,9
肝素概念,20241231,-2.31,20201034.7,0,13
肝素概念,20250101,-2.31,20201034.7,0,13
肝素概念,20250102,-1.94,19804733.9,1,12
肝素概念,20250103,-0.46,19603878.8,6,7
肝素概念,20250104,-0.46,19603878.8,6,7
肝素概念,20250105,-0.46,19603878.8,6,7
肝素概念,20250106,4.03,20170102.5,12,1
肝素概念,20250107,-3.15,19594082.2,0,13
肝素概念,20250108,-0.01,19555107.8,4,8
肝素概念,20250109,-1.59,19339363.2,2,11
肝素概念,20250110,-2.64,18969314.1,1,12
肝素概念,20250111,-2.64,18969314.1,1,12
肝素概念,20250112,-2.64,18969314.1,1,12
肝素概念,20250113,-0.07,18900463.7,7,5
肝素概念,20250114,3.13,19494051.6,13,0
肝素概念,20250115,-0.71,19351657.1,2,11
肝素概念,20250116,0.28,17826641.3,6,7
肝素概念,20250117,0.63,17893466.0,9,3
肝素概念,20250118,0.63,17893466.0,9,3
肝素概念,20250119,0.63,17893466.0,9,3
肝素概念,20250120,1.07,19624407.7,11,2
肝素概念,20250121,-0.25,19602869.3,4,9
肝素概念,20250122,-1.09,19420978.8,3,10
肝素概念,20250123,-0.02,19430106.7,6,5
肝素概念,20250124,0.17,19554457.2,10,3
肝素概念,20250127,0.02,19527607.8,8,5
肝素概念,20250128,0.02,19527607.8,8,5
肝素概念,20250129,0.02,19527607.8,8,5
肝素概念,20250130,0.02,19527607.8,8,5
肝素概念,20250131,0.02,19527607.8,8,5
肝素概念,20250201,0.02,19527607.8,8,5
肝素概念,20250202,0.02,19527607.8,8,5
肝素概念,20250203,0.02,19527607.8,8,5
肝素概念,20250204,0.02,19527607.8,8,5
肝素概念,20250205,0.76,19650726.9,9,4
肝素概念,20250206,0.51,19794541.9,9,3
肝素概念,20250207,1.09,20028773.6,11,2
肝素概念,20250208,1.09,20028773.6,11,2
肝素概念,20250209,1.09,20028773.6,11,2
肝素概念,20250210,2.3,20566461.3,12,1
肝素概念,20250211,-1.09,20379707.6,2,11
肝素概念,20250212,-0.28,20293387.5,2,11
肝素概念,20250213,-0.11,20265573.1,3,8
肝素概念,20250214,0.9,20494968.3,12,1
肝素概念,20250215,0.9,20494968.3,12,1
