name,trade_date,pct_change,total_mv,up_num,down_num
股权激励,20241220,1.29,447063372.8,146,55
股权激励,20241221,1.29,447063372.8,146,55
股权激励,20241222,1.29,447063372.8,146,55
股权激励,20241223,-4.01,441786444.8,20,186
股权激励,20241224,1.05,447657830.4,149,51
股权激励,20241225,-1.69,443771724.8,45,160
股权激励,20241226,1.34,447621606.4,155,45
股权激励,20241227,0.23,447159168.0,114,91
股权激励,20241228,0.23,447159168.0,114,91
股权激励,20241229,0.23,447159168.0,114,91
股权激励,20241230,-0.77,446449587.2,66,139
股权激励,20241231,-2.59,438485222.4,22,184
股权激励,20250101,-2.59,438485222.4,22,184
股权激励,20250102,-2.12,427377185.6,37,168
股权激励,20250103,-4.0,417583648.0,21,185
股权激励,20250104,-4.0,417583648.0,21,185
股权激励,20250105,-4.0,417583648.0,21,185
股权激励,20250106,-0.62,416698992.0,93,108
股权激励,20250107,2.41,421456608.0,175,29
股权激励,20250108,0.1,422381163.2,75,129
股权激励,20250109,0.51,423933556.8,118,84
股权激励,20250110,-2.61,415830798.4,26,180
股权激励,20250111,-2.61,415830798.4,26,180
股权激励,20250112,-2.61,415830798.4,26,180
股权激励,20250113,0.27,413937798.4,120,79
股权激励,20250114,5.18,429958937.6,205,1
股权激励,20250115,-0.41,427928796.8,52,153
股权激励,20250116,0.57,403967009.6,122,79
股权激励,20250117,0.08,406548953.6,106,95
股权激励,20250118,0.08,406548953.6,106,95
股权激励,20250119,0.08,406548953.6,106,95
股权激励,20250120,0.84,434156620.8,143,61
股权激励,20250121,0.26,435733478.4,103,101
股权激励,20250122,-1.22,430561792.0,42,164
股权激励,20250123,-0.44,427851769.6,88,114
股权激励,20250124,1.96,435198566.4,162,41
股权激励,20250125,1.96,435198566.4,162,41
股权激励,20250126,1.96,435198566.4,162,41
股权激励,20250127,-1.21,432585651.2,71,132
股权激励,20250128,-1.21,432585651.2,71,132
股权激励,20250129,-1.21,432585651.2,71,132
股权激励,20250130,-1.21,432585651.2,71,132
股权激励,20250131,-1.21,432585651.2,71,132
股权激励,20250201,-1.21,432585651.2,71,132
股权激励,20250202,-1.21,432585651.2,71,132
股权激励,20250203,-1.21,432585651.2,71,132
股权激励,20250204,-1.21,432585651.2,71,132
股权激励,20250205,1.69,436201753.6,140,63
股权激励,20250206,2.83,446201241.6,188,14
股权激励,20250207,1.7,453720192.0,151,49
股权激励,20250208,1.7,453720192.0,151,49
股权激励,20250209,1.7,453720192.0,151,49
股权激励,20250210,1.68,456488320.0,150,53
股权激励,20250211,-0.53,452614246.4,63,137
股权激励,20250212,1.25,458421401.6,147,53
股权激励,20250213,-1.19,452629657.6,44,161
股权激励,20250214,0.71,458375577.6,114,89
股权激励,20250215,0.71,458375577.6,114,89
