name,trade_date,pct_change,total_mv,up_num,down_num
股权转让,20241220,0.5,19259221.2,25,12
股权转让,20241221,0.5,19259221.2,25,12
股权转让,20241222,0.5,19259221.2,25,12
股权转让,20241223,-5.07,18481688.8,4,33
股权转让,20241224,-0.42,18311103.4,19,17
股权转让,20241225,-3.09,17695950.1,1,35
股权转让,20241226,0.35,17774450.3,22,13
股权转让,20241227,1.96,18245538.3,29,7
股权转让,20241228,1.96,18245538.3,29,7
股权转让,20241229,1.96,18245538.3,29,7
股权转让,20241230,-0.61,18335769.8,8,29
股权转让,20241231,-1.79,17916458.2,7,29
股权转让,20250101,-1.79,17916458.2,7,29
股权转让,20250102,-1.29,17731369.7,9,27
股权转让,20250103,-4.62,16935255.4,3,34
股权转让,20250104,-4.62,16935255.4,3,34
股权转让,20250105,-4.62,16935255.4,3,34
股权转让,20250106,-1.02,16485009.1,11,25
股权转让,20250107,2.9,17135562.6,34,3
股权转让,20250108,0.28,17235558.6,17,19
股权转让,20250109,0.21,17228296.7,18,19
股权转让,20250110,-2.55,16889756.6,6,30
股权转让,20250111,-2.55,16889756.6,6,30
股权转让,20250112,-2.55,16889756.6,6,30
股权转让,20250113,0.42,17141019.7,22,16
股权转让,20250114,4.91,17961814.0,38,0
股权转让,20250115,-0.55,17733308.1,15,21
股权转让,20250116,1.21,17753890.7,31,7
股权转让,20250117,-0.51,17670466.3,15,22
股权转让,20250118,-0.51,17670466.3,15,22
股权转让,20250119,-0.51,17670466.3,15,22
股权转让,20250120,1.17,17945961.1,25,12
股权转让,20250121,-0.7,17866425.8,9,28
股权转让,20250122,-0.87,17775368.5,8,30
股权转让,20250123,-0.31,17637185.3,15,19
股权转让,20250124,1.12,17776302.3,28,10
股权转让,20250125,1.12,17776302.3,28,10
股权转让,20250126,1.12,17776302.3,28,10
股权转让,20250127,-0.68,17461367.4,12,25
股权转让,20250128,-0.68,17461367.4,12,25
股权转让,20250129,-0.68,17461367.4,12,25
股权转让,20250130,-0.68,17461367.4,12,25
股权转让,20250131,-0.68,17461367.4,12,25
股权转让,20250201,-0.68,17461367.4,12,25
股权转让,20250202,-0.68,17461367.4,12,25
股权转让,20250203,-0.68,17461367.4,12,25
股权转让,20250204,-0.68,17461367.4,12,25
股权转让,20250205,0.95,17671735.1,27,10
股权转让,20250206,2.07,18044929.1,36,2
股权转让,20250207,1.14,18307559.5,29,9
股权转让,20250208,1.14,18307559.5,29,9
股权转让,20250209,1.14,18307559.5,29,9
股权转让,20250210,2.38,18681394.2,31,5
股权转让,20250211,-0.51,18538233.6,10,28
股权转让,20250212,0.93,18693698.6,25,12
股权转让,20250213,-0.8,18497117.8,7,28
股权转让,20250214,1.05,18887800.7,20,16
股权转让,20250215,1.05,18887800.7,20,16
