name,trade_date,pct_change,total_mv,up_num,down_num
胎压监测,20241220,1.32,31047120.0,22,5
胎压监测,20241221,1.32,31047120.0,22,5
胎压监测,20241222,1.32,31047120.0,22,5
胎压监测,20241223,-5.04,29942494.4,0,28
胎压监测,20241224,1.25,30271472.0,24,4
胎压监测,20241225,-1.41,29816182.4,5,21
胎压监测,20241226,2.52,30827457.6,25,2
胎压监测,20241227,-0.34,30617604.8,14,14
胎压监测,20241228,-0.34,30617604.8,14,14
胎压监测,20241229,-0.34,30617604.8,14,14
胎压监测,20241230,-0.95,30794569.6,6,22
胎压监测,20241231,-2.78,29824646.4,3,25
胎压监测,20250101,-2.78,29824646.4,3,25
胎压监测,20250102,-2.49,28844777.6,2,26
胎压监测,20250103,-3.65,27909126.4,1,27
胎压监测,20250104,-3.65,27909126.4,1,27
胎压监测,20250105,-3.65,27909126.4,1,27
胎压监测,20250106,-0.28,28009224.0,14,12
胎压监测,20250107,2.57,28534241.6,22,5
胎压监测,20250108,-0.24,28379144.0,13,15
胎压监测,20250109,0.31,28261364.8,20,8
胎压监测,20250110,-1.69,27836430.4,5,23
胎压监测,20250111,-1.69,27836430.4,5,23
胎压监测,20250112,-1.69,27836430.4,5,23
胎压监测,20250113,0.21,27924609.6,16,12
胎压监测,20250114,5.91,29227059.2,28,0
胎压监测,20250115,-0.29,28902409.6,9,18
胎压监测,20250116,1.35,29192403.2,16,11
胎压监测,20250117,0.42,29338160.0,16,10
胎压监测,20250118,0.42,29338160.0,16,10
胎压监测,20250119,0.42,29338160.0,16,10
胎压监测,20250120,1.56,29671032.0,21,5
胎压监测,20250121,0.02,29553361.6,15,12
胎压监测,20250122,-1.81,28877337.6,4,24
胎压监测,20250123,-0.28,28726347.2,10,17
胎压监测,20250124,1.73,29203542.4,25,3
胎压监测,20250125,1.73,29203542.4,25,3
胎压监测,20250126,1.73,29203542.4,25,3
胎压监测,20250127,-2.05,28764988.8,3,25
胎压监测,20250128,-2.05,28764988.8,3,25
胎压监测,20250129,-2.05,28764988.8,3,25
胎压监测,20250130,-2.05,28764988.8,3,25
胎压监测,20250131,-2.05,28764988.8,3,25
胎压监测,20250201,-2.05,28764988.8,3,25
胎压监测,20250202,-2.05,28764988.8,3,25
胎压监测,20250203,-2.05,28764988.8,3,25
胎压监测,20250204,-2.05,28764988.8,3,25
胎压监测,20250205,2.12,29163915.2,23,5
胎压监测,20250206,4.81,30602483.2,28,0
胎压监测,20250207,1.76,31285940.8,19,8
胎压监测,20250208,1.76,31285940.8,19,8
胎压监测,20250209,1.76,31285940.8,19,8
胎压监测,20250210,0.91,31098174.4,16,11
胎压监测,20250211,-0.72,30809560.0,8,19
胎压监测,20250212,1.66,31405923.2,22,6
胎压监测,20250213,-1.92,30839569.6,3,25
胎压监测,20250214,0.49,31139768.0,14,13
胎压监测,20250215,0.49,31139768.0,14,13
