name,trade_date,pct_change,total_mv,up_num,down_num
航母概念,20241220,0.96,118541347.2,23,14
航母概念,20241221,0.96,118541347.2,23,14
航母概念,20241222,0.96,118541347.2,23,14
航母概念,20241223,-1.99,118235921.6,10,27
航母概念,20241224,0.12,118532864.0,25,9
航母概念,20241225,-1.36,118066512.0,6,31
航母概念,20241226,2.02,118604617.6,31,6
航母概念,20241227,1.59,120236244.8,32,5
航母概念,20241228,1.59,120236244.8,32,5
航母概念,20241229,1.59,120236244.8,32,5
航母概念,20241230,-0.29,120286230.4,11,24
航母概念,20241231,-3.03,118600782.4,4,33
航母概念,20250101,-3.03,118600782.4,4,33
航母概念,20250102,-3.82,114311936.0,1,36
航母概念,20250103,-3.78,111331932.8,2,35
航母概念,20250104,-3.78,111331932.8,2,35
航母概念,20250105,-3.78,111331932.8,2,35
航母概念,20250106,-1.27,110084948.8,8,28
航母概念,20250107,2.3,111049712.0,35,2
航母概念,20250108,-0.74,110597110.4,11,25
航母概念,20250109,1.5,111331835.2,23,13
航母概念,20250110,-1.66,109915976.0,5,32
航母概念,20250111,-1.66,109915976.0,5,32
航母概念,20250112,-1.66,109915976.0,5,32
航母概念,20250113,-0.17,109620976.0,20,17
航母概念,20250114,3.97,113222595.2,37,0
航母概念,20250115,-1.39,111716601.6,3,34
航母概念,20250116,0.12,110668915.2,20,15
航母概念,20250117,0.4,110831030.4,20,16
航母概念,20250118,0.4,110831030.4,20,16
航母概念,20250119,0.4,110831030.4,20,16
航母概念,20250120,0.86,112852619.2,24,12
航母概念,20250121,-0.51,111843259.2,8,29
航母概念,20250122,-0.58,111508686.4,9,27
航母概念,20250123,-0.02,111507110.4,14,23
航母概念,20250124,0.43,112819556.8,26,9
航母概念,20250125,0.43,112819556.8,26,9
航母概念,20250126,0.43,112819556.8,26,9
航母概念,20250127,-1.41,112518811.2,7,27
航母概念,20250128,-1.41,112518811.2,7,27
航母概念,20250129,-1.41,112518811.2,7,27
航母概念,20250130,-1.41,112518811.2,7,27
航母概念,20250131,-1.41,112518811.2,7,27
航母概念,20250201,-1.41,112518811.2,7,27
航母概念,20250202,-1.41,112518811.2,7,27
航母概念,20250203,-1.41,112518811.2,7,27
航母概念,20250204,-1.41,112518811.2,7,27
航母概念,20250205,0.82,112411292.8,24,11
航母概念,20250206,2.77,114463076.8,33,2
航母概念,20250207,0.76,115137110.4,22,12
航母概念,20250208,0.76,115137110.4,22,12
航母概念,20250209,0.76,115137110.4,22,12
航母概念,20250210,1.15,115205516.8,23,12
航母概念,20250211,-0.58,114302134.4,6,30
航母概念,20250212,1.24,114820747.2,28,8
航母概念,20250213,-0.49,114561550.4,10,25
航母概念,20250214,-0.47,114034646.4,11,22
航母概念,20250215,-0.47,114034646.4,11,22
