name,trade_date,pct_change,total_mv,up_num,down_num
英伟达概念,20241220,1.49,127208902.4,33,13
英伟达概念,20241221,1.49,127208902.4,33,13
英伟达概念,20241222,1.49,127208902.4,33,13
英伟达概念,20241223,-3.09,125716625.6,6,41
英伟达概念,20241224,1.01,128535448.0,33,13
英伟达概念,20241225,-1.94,127749251.2,11,36
英伟达概念,20241226,3.28,132455777.6,45,2
英伟达概念,20241227,-0.85,130394612.8,18,28
英伟达概念,20241228,-0.85,130394612.8,18,28
英伟达概念,20241229,-0.85,130394612.8,18,28
英伟达概念,20241230,0.31,130532952.0,20,27
英伟达概念,20241231,-4.08,125349936.0,2,45
英伟达概念,20250101,-4.08,125349936.0,2,45
英伟达概念,20250102,-2.85,120943086.4,6,41
英伟达概念,20250103,-4.62,116999720.0,2,45
英伟达概念,20250104,-4.62,116999720.0,2,45
英伟达概念,20250105,-4.62,116999720.0,2,45
英伟达概念,20250106,-1.26,116988323.2,17,29
英伟达概念,20250107,3.95,121327276.8,46,1
英伟达概念,20250108,-0.6,119827446.4,12,35
英伟达概念,20250109,0.94,120802180.8,33,13
英伟达概念,20250110,-2.37,117845273.6,9,39
英伟达概念,20250111,-2.37,117845273.6,9,39
英伟达概念,20250112,-2.37,117845273.6,9,39
英伟达概念,20250113,-0.28,117235977.6,25,23
英伟达概念,20250114,5.66,123301358.4,48,0
英伟达概念,20250115,-0.75,121484019.2,9,38
英伟达概念,20250116,0.38,122966515.2,29,19
英伟达概念,20250117,0.47,123323630.4,26,22
英伟达概念,20250118,0.47,123323630.4,26,22
英伟达概念,20250119,0.47,123323630.4,26,22
英伟达概念,20250120,1.69,124979648.0,37,9
英伟达概念,20250121,1.59,128090940.8,36,12
英伟达概念,20250122,-0.02,133219705.6,16,32
英伟达概念,20250123,-0.86,131313928.0,15,31
英伟达概念,20250124,2.76,134026470.4,42,6
英伟达概念,20250125,2.76,134026470.4,42,6
英伟达概念,20250126,2.76,134026470.4,42,6
英伟达概念,20250127,-3.31,127013179.2,3,45
英伟达概念,20250128,-3.31,127013179.2,3,45
英伟达概念,20250129,-3.31,127013179.2,3,45
英伟达概念,20250130,-3.31,127013179.2,3,45
英伟达概念,20250131,-3.31,127013179.2,3,45
英伟达概念,20250201,-3.31,127013179.2,3,45
英伟达概念,20250202,-3.31,127013179.2,3,45
英伟达概念,20250203,-3.31,127013179.2,3,45
英伟达概念,20250204,-3.31,127013179.2,3,45
英伟达概念,20250205,2.52,125347470.4,40,8
英伟达概念,20250206,4.53,129433355.2,47,1
英伟达概念,20250207,2.51,133891211.2,38,10
英伟达概念,20250208,2.51,133891211.2,38,10
英伟达概念,20250209,2.51,133891211.2,38,10
英伟达概念,20250210,3.68,136110185.6,37,11
英伟达概念,20250211,0.45,137082987.2,17,30
英伟达概念,20250212,2.43,140392609.6,43,5
英伟达概念,20250213,-1.62,137762118.4,11,37
英伟达概念,20250214,1.77,140891414.4,32,16
英伟达概念,20250215,1.77,140891414.4,32,16
