name,trade_date,pct_change,total_mv,up_num,down_num
蓝宝石,20241220,2.51,53455803.2,15,4
蓝宝石,20241221,2.51,53455803.2,15,4
蓝宝石,20241222,2.51,53455803.2,15,4
蓝宝石,20241223,-2.24,52639264.0,3,17
蓝宝石,20241224,0.36,53096683.2,15,5
蓝宝石,20241225,-2.08,52137364.8,3,17
蓝宝石,20241226,1.84,53018051.2,17,3
蓝宝石,20241227,0.59,52888395.2,9,11
蓝宝石,20241228,0.59,52888395.2,9,11
蓝宝石,20241229,0.59,52888395.2,9,11
蓝宝石,20241230,-0.53,53127574.4,7,13
蓝宝石,20241231,-3.79,51171414.4,2,18
蓝宝石,20250101,-3.79,51171414.4,2,18
蓝宝石,20250102,-2.67,49290932.8,2,18
蓝宝石,20250103,-2.58,48232428.8,1,19
蓝宝石,20250104,-2.58,48232428.8,1,19
蓝宝石,20250105,-2.58,48232428.8,1,19
蓝宝石,20250106,-1.91,47497385.6,6,14
蓝宝石,20250107,3.04,49118412.8,19,1
蓝宝石,20250108,-0.67,48763198.4,4,16
蓝宝石,20250109,0.28,48984502.4,10,9
蓝宝石,20250110,-3.24,48039910.4,1,19
蓝宝石,20250111,-3.24,48039910.4,1,19
蓝宝石,20250112,-3.24,48039910.4,1,19
蓝宝石,20250113,-0.47,47564299.2,13,7
蓝宝石,20250114,5.86,51432452.8,20,0
蓝宝石,20250115,-1.58,49577880.0,3,16
蓝宝石,20250116,0.87,50021601.6,17,3
蓝宝石,20250117,0.82,50467284.8,10,10
蓝宝石,20250118,0.82,50467284.8,10,10
蓝宝石,20250119,0.82,50467284.8,10,10
蓝宝石,20250120,1.38,51186708.8,15,5
蓝宝石,20250121,0.48,51903628.8,13,7
蓝宝石,20250122,-0.78,51483740.8,6,13
蓝宝石,20250123,-1.05,50705382.4,5,15
蓝宝石,20250124,1.75,52290176.0,17,3
蓝宝石,20250125,1.75,52290176.0,17,3
蓝宝石,20250126,1.75,52290176.0,17,3
蓝宝石,20250127,-3.26,50933808.0,0,20
蓝宝石,20250128,-3.26,50933808.0,0,20
蓝宝石,20250129,-3.26,50933808.0,0,20
蓝宝石,20250130,-3.26,50933808.0,0,20
蓝宝石,20250131,-3.26,50933808.0,0,20
蓝宝石,20250201,-3.26,50933808.0,0,20
蓝宝石,20250202,-3.26,50933808.0,0,20
蓝宝石,20250203,-3.26,50933808.0,0,20
蓝宝石,20250204,-3.26,50933808.0,0,20
蓝宝石,20250205,0.96,51129180.8,15,5
蓝宝石,20250206,3.52,53171454.4,20,0
蓝宝石,20250207,2.15,54099937.6,18,1
蓝宝石,20250208,2.15,54099937.6,18,1
蓝宝石,20250209,2.15,54099937.6,18,1
蓝宝石,20250210,1.35,54376195.2,12,7
蓝宝石,20250211,0.34,54571646.4,8,12
蓝宝石,20250212,1.38,55811571.2,16,4
蓝宝石,20250213,-1.9,54540291.2,2,18
蓝宝石,20250214,0.08,54708400.0,9,10
蓝宝石,20250215,0.08,54708400.0,9,10
