name,trade_date,pct_change,total_mv,up_num,down_num
虚拟数字人,20241220,0.84,346322603.2,54,25
虚拟数字人,20241221,0.84,346322603.2,54,25
虚拟数字人,20241222,0.84,346322603.2,54,25
虚拟数字人,20241223,-7.15,345467246.4,1,81
虚拟数字人,20241224,-0.35,347379822.4,36,42
虚拟数字人,20241225,-3.11,347092454.4,9,72
虚拟数字人,20241226,1.38,345699361.6,62,17
虚拟数字人,20241227,0.23,345952137.6,46,34
虚拟数字人,20241228,0.23,345952137.6,46,34
虚拟数字人,20241229,0.23,345952137.6,46,34
虚拟数字人,20241230,-0.61,349621128.0,33,46
虚拟数字人,20241231,-3.57,349569603.2,10,71
虚拟数字人,20250101,-3.57,349569603.2,10,71
虚拟数字人,20250102,-1.61,339884177.6,25,57
虚拟数字人,20250103,-6.23,332825659.2,3,79
虚拟数字人,20250104,-6.23,332825659.2,3,79
虚拟数字人,20250105,-6.23,332825659.2,3,79
虚拟数字人,20250106,-1.66,325603500.8,19,61
虚拟数字人,20250107,3.18,328080809.6,78,4
虚拟数字人,20250108,0.43,329635222.4,40,41
虚拟数字人,20250109,0.84,326756995.2,58,20
虚拟数字人,20250110,-4.14,322285846.4,4,78
虚拟数字人,20250111,-4.14,322285846.4,4,78
虚拟数字人,20250112,-4.14,322285846.4,4,78
虚拟数字人,20250113,-0.25,320166248.0,40,38
虚拟数字人,20250114,7.23,325936609.6,81,1
虚拟数字人,20250115,1.65,326867032.0,47,33
虚拟数字人,20250116,1.38,104799240.0,53,28
虚拟数字人,20250117,-1.82,103528928.0,18,62
虚拟数字人,20250118,-1.82,103528928.0,18,62
虚拟数字人,20250119,-1.82,103528928.0,18,62
虚拟数字人,20250120,0.38,327161400.0,43,35
虚拟数字人,20250121,-0.03,324976684.8,42,39
虚拟数字人,20250122,-2.0,326094308.8,7,75
虚拟数字人,20250123,0.74,329075971.2,45,32
虚拟数字人,20250124,4.85,332660313.6,74,8
虚拟数字人,20250125,4.85,332660313.6,74,8
虚拟数字人,20250126,4.85,332660313.6,74,8
虚拟数字人,20250127,-0.9,336645961.6,24,56
虚拟数字人,20250128,-0.9,336645961.6,24,56
虚拟数字人,20250129,-0.9,336645961.6,24,56
虚拟数字人,20250130,-0.9,336645961.6,24,56
虚拟数字人,20250131,-0.9,336645961.6,24,56
虚拟数字人,20250201,-0.9,336645961.6,24,56
虚拟数字人,20250202,-0.9,336645961.6,24,56
虚拟数字人,20250203,-0.9,336645961.6,24,56
虚拟数字人,20250204,-0.9,336645961.6,24,56
虚拟数字人,20250205,4.84,337002083.2,73,8
虚拟数字人,20250206,3.04,340808430.4,76,5
虚拟数字人,20250207,1.68,342005184.0,60,21
虚拟数字人,20250208,1.68,342005184.0,60,21
虚拟数字人,20250209,1.68,342005184.0,60,21
虚拟数字人,20250210,4.26,350421390.4,78,4
虚拟数字人,20250211,-0.06,348620531.2,36,46
虚拟数字人,20250212,1.11,352190260.8,56,24
虚拟数字人,20250213,0.65,351456916.8,40,41
虚拟数字人,20250214,0.58,356724916.8,51,28
虚拟数字人,20250215,0.58,356724916.8,51,28
