name,trade_date,pct_change,total_mv,up_num,down_num
血氧仪,20241220,1.23,13718832.9,10,2
血氧仪,20241221,1.23,13718832.9,10,2
血氧仪,20241222,1.23,13718832.9,10,2
血氧仪,20241223,-3.02,13466122.5,2,12
血氧仪,20241224,-0.54,13417416.1,7,7
血氧仪,20241225,-0.18,13389071.6,4,10
血氧仪,20241226,-0.42,13290918.8,5,7
血氧仪,20241227,1.85,13578780.8,13,1
血氧仪,20241228,1.85,13578780.8,13,1
血氧仪,20241229,1.85,13578780.8,13,1
血氧仪,20241230,-1.66,13473830.6,3,11
血氧仪,20241231,-1.83,13243722.8,1,13
血氧仪,20250101,-1.83,13243722.8,1,13
血氧仪,20250102,-2.08,12946285.6,3,11
血氧仪,20250103,-1.97,12805522.7,1,13
血氧仪,20250104,-1.97,12805522.7,1,13
血氧仪,20250105,-1.97,12805522.7,1,13
血氧仪,20250106,1.15,12916032.0,10,4
血氧仪,20250107,-0.34,12714332.8,7,7
血氧仪,20250108,1.43,12829796.6,10,3
血氧仪,20250109,-0.06,12753073.7,5,9
血氧仪,20250110,-3.93,12452266.1,1,13
血氧仪,20250111,-3.93,12452266.1,1,13
血氧仪,20250112,-3.93,12452266.1,1,13
血氧仪,20250113,-0.14,12375752.0,6,8
血氧仪,20250114,4.51,12801494.7,14,0
血氧仪,20250115,-0.72,12718433.6,1,13
血氧仪,20250116,0.12,12761731.3,6,6
血氧仪,20250117,-0.59,12739125.3,8,6
血氧仪,20250118,-0.59,12739125.3,8,6
血氧仪,20250119,-0.59,12739125.3,8,6
血氧仪,20250120,0.77,12723546.7,9,4
血氧仪,20250121,-0.65,12692246.5,3,10
血氧仪,20250122,-1.0,12575682.0,3,11
血氧仪,20250123,-0.26,12544999.5,8,6
血氧仪,20250124,0.55,12598136.5,11,3
血氧仪,20250125,0.55,12598136.5,11,3
血氧仪,20250126,0.55,12598136.5,11,3
血氧仪,20250127,-1.38,12522373.2,4,10
血氧仪,20250128,-1.38,12522373.2,4,10
血氧仪,20250129,-1.38,12522373.2,4,10
血氧仪,20250130,-1.38,12522373.2,4,10
血氧仪,20250131,-1.38,12522373.2,4,10
血氧仪,20250201,-1.38,12522373.2,4,10
血氧仪,20250202,-1.38,12522373.2,4,10
血氧仪,20250203,-1.38,12522373.2,4,10
血氧仪,20250204,-1.38,12522373.2,4,10
血氧仪,20250205,1.55,12671873.5,12,2
血氧仪,20250206,1.86,12824871.1,11,3
血氧仪,20250207,1.88,13048259.6,12,2
血氧仪,20250208,1.88,13048259.6,12,2
血氧仪,20250209,1.88,13048259.6,12,2
血氧仪,20250210,3.19,13379739.4,12,1
血氧仪,20250211,-0.82,13262701.2,3,10
血氧仪,20250212,0.11,13280052.6,7,6
血氧仪,20250213,-1.14,13260551.8,2,11
血氧仪,20250214,3.66,13738308.7,12,1
血氧仪,20250215,3.66,13738308.7,12,1
