name,trade_date,pct_change,total_mv,up_num,down_num
西部大开发,20241220,0.52,1104439628.8,352,235
西部大开发,20241221,0.52,1104439628.8,352,235
西部大开发,20241222,0.52,1104439628.8,352,235
西部大开发,20241223,-3.71,1089304576.0,67,530
西部大开发,20241224,1.0,1100625254.4,450,139
西部大开发,20241225,-1.89,1092792422.4,115,467
西部大开发,20241226,0.84,1093666201.6,357,213
西部大开发,20241227,0.98,1097685299.2,439,154
西部大开发,20241228,0.98,1097685299.2,439,154
西部大开发,20241229,0.98,1097685299.2,439,154
西部大开发,20241230,-1.35,1092635033.6,131,454
西部大开发,20241231,-1.89,1075600256.0,101,491
西部大开发,20250101,-1.89,1075600256.0,101,491
西部大开发,20250102,-1.77,1050300441.6,102,486
西部大开发,20250103,-3.32,1031222963.2,71,524
西部大开发,20250104,-3.32,1031222963.2,71,524
西部大开发,20250105,-3.32,1031222963.2,71,524
西部大开发,20250106,-0.24,1024164659.2,282,297
西部大开发,20250107,1.85,1031317145.6,462,129
西部大开发,20250108,-0.28,1026228454.4,199,386
西部大开发,20250109,0.23,1026232550.4,295,283
西部大开发,20250110,-2.8,1009117260.8,44,552
西部大开发,20250111,-2.8,1009117260.8,44,552
西部大开发,20250112,-2.8,1009117260.8,44,552
西部大开发,20250113,0.3,1013693977.6,360,216
西部大开发,20250114,4.3,1043710080.0,592,5
西部大开发,20250115,-0.48,1038878771.2,156,416
西部大开发,20250116,0.83,1029367449.6,420,160
西部大开发,20250117,0.09,1032655462.4,299,266
西部大开发,20250118,0.09,1032655462.4,299,266
西部大开发,20250119,0.09,1032655462.4,299,266
西部大开发,20250120,0.49,1047273062.4,363,207
西部大开发,20250121,-0.56,1042116684.8,172,413
西部大开发,20250122,-1.32,1029808742.4,99,494
西部大开发,20250123,-0.18,1042902784.0,240,321
西部大开发,20250124,0.73,1047230822.4,415,155
西部大开发,20250125,0.73,1047230822.4,415,155
西部大开发,20250126,0.73,1047230822.4,415,155
西部大开发,20250127,-0.8,1042752204.8,225,356
西部大开发,20250128,-0.8,1042752204.8,225,356
西部大开发,20250129,-0.8,1042752204.8,225,356
西部大开发,20250130,-0.8,1042752204.8,225,356
西部大开发,20250131,-0.8,1042752204.8,225,356
西部大开发,20250201,-0.8,1042752204.8,225,356
西部大开发,20250202,-0.8,1042752204.8,225,356
西部大开发,20250203,-0.8,1042752204.8,225,356
西部大开发,20250204,-0.8,1042752204.8,225,356
西部大开发,20250205,0.75,1034683238.4,373,212
西部大开发,20250206,1.94,1049905075.2,539,50
西部大开发,20250207,1.51,1065442022.4,479,106
西部大开发,20250208,1.51,1065442022.4,479,106
西部大开发,20250209,1.51,1065442022.4,479,106
西部大开发,20250210,1.92,1072034560.0,471,114
西部大开发,20250211,-0.48,1063230284.8,176,409
西部大开发,20250212,0.81,1073765657.6,374,187
西部大开发,20250213,-0.7,1074717516.8,145,440
西部大开发,20250214,0.07,1077177651.2,248,330
西部大开发,20250215,0.07,1077177651.2,248,330
