name,trade_date,pct_change,total_mv,up_num,down_num
超导概念,20241220,2.25,24024497.3,9,4
超导概念,20241221,2.25,24024497.3,9,4
超导概念,20241222,2.25,24024497.3,9,4
超导概念,20241223,-2.86,23655690.4,3,12
超导概念,20241224,1.7,24003859.3,11,4
超导概念,20241225,-2.44,23470647.1,2,13
超导概念,20241226,2.93,24161902.4,14,1
超导概念,20241227,1.52,24505622.5,12,3
超导概念,20241228,1.52,24505622.5,12,3
超导概念,20241229,1.52,24505622.5,12,3
超导概念,20241230,-1.46,24189392.3,5,10
超导概念,20241231,-3.43,23265131.4,1,14
超导概念,20250101,-3.43,23265131.4,1,14
超导概念,20250102,-2.54,22626159.2,1,14
超导概念,20250103,-2.94,22140355.3,3,12
超导概念,20250104,-2.94,22140355.3,3,12
超导概念,20250105,-2.94,22140355.3,3,12
超导概念,20250106,-0.48,22005505.5,10,5
超导概念,20250107,4.81,22776977.0,15,0
超导概念,20250108,-1.19,22437277.9,3,12
超导概念,20250109,-0.05,22422713.4,6,9
超导概念,20250110,-3.17,21862269.1,2,13
超导概念,20250111,-3.17,21862269.1,2,13
超导概念,20250112,-3.17,21862269.1,2,13
超导概念,20250113,-0.62,21694680.3,6,9
超导概念,20250114,5.27,22667822.8,15,0
超导概念,20250115,-1.37,22395736.1,1,14
超导概念,20250116,1.27,22668250.6,13,2
超导概念,20250117,-0.27,22739299.9,5,9
超导概念,20250118,-0.27,22739299.9,5,9
超导概念,20250119,-0.27,22739299.9,5,9
超导概念,20250120,1.48,23192375.1,9,6
超导概念,20250121,-0.02,23293197.8,7,8
超导概念,20250122,-0.13,23309725.4,6,8
超导概念,20250123,-0.57,23189479.1,5,10
超导概念,20250124,1.07,23576579.1,12,3
超导概念,20250125,1.07,23576579.1,12,3
超导概念,20250126,1.07,23576579.1,12,3
超导概念,20250127,-4.33,22661264.4,0,15
超导概念,20250128,-4.33,22661264.4,0,15
超导概念,20250129,-4.33,22661264.4,0,15
超导概念,20250130,-4.33,22661264.4,0,15
超导概念,20250131,-4.33,22661264.4,0,15
超导概念,20250201,-4.33,22661264.4,0,15
超导概念,20250202,-4.33,22661264.4,0,15
超导概念,20250203,-4.33,22661264.4,0,15
超导概念,20250204,-4.33,22661264.4,0,15
超导概念,20250205,-0.66,22200176.3,8,6
超导概念,20250206,2.61,22717859.2,15,0
超导概念,20250207,1.86,23095096.4,14,1
超导概念,20250208,1.86,23095096.4,14,1
超导概念,20250209,1.86,23095096.4,14,1
超导概念,20250210,1.41,23152799.7,9,6
超导概念,20250211,1.52,23304152.4,9,6
超导概念,20250212,0.14,23492079.2,6,8
超导概念,20250213,-2.35,23039184.1,1,14
超导概念,20250214,1.71,23108128.9,7,8
超导概念,20250215,1.71,23108128.9,7,8
