name,trade_date,pct_change,total_mv,up_num,down_num
辅助生殖,20241220,1.12,53553232.0,36,15
辅助生殖,20241221,1.12,53553232.0,36,15
辅助生殖,20241222,1.12,53553232.0,36,15
辅助生殖,20241223,-4.23,52150206.4,3,50
辅助生殖,20241224,0.77,52621468.8,38,12
辅助生殖,20241225,-1.53,52083880.0,12,40
辅助生殖,20241226,-0.53,51662000.0,26,26
辅助生殖,20241227,0.7,51971828.8,46,7
辅助生殖,20241228,0.7,51971828.8,46,7
辅助生殖,20241229,0.7,51971828.8,46,7
辅助生殖,20241230,-1.38,51510792.0,9,42
辅助生殖,20241231,-2.58,50288635.2,1,52
辅助生殖,20250101,-2.58,50288635.2,1,52
辅助生殖,20250102,-1.72,49244808.0,6,47
辅助生殖,20250103,-1.54,48777968.0,12,40
辅助生殖,20250104,-1.54,48777968.0,12,40
辅助生殖,20250105,-1.54,48777968.0,12,40
辅助生殖,20250106,2.32,49896372.8,43,7
辅助生殖,20250107,-0.25,49362825.6,20,33
辅助生殖,20250108,-0.03,49066556.8,15,37
辅助生殖,20250109,-0.59,48646124.8,11,39
辅助生殖,20250110,-3.12,47426454.4,4,49
辅助生殖,20250111,-3.12,47426454.4,4,49
辅助生殖,20250112,-3.12,47426454.4,4,49
辅助生殖,20250113,-0.05,47388046.4,29,21
辅助生殖,20250114,3.71,48764982.4,52,1
辅助生殖,20250115,-0.86,48386996.8,2,48
辅助生殖,20250116,0.34,45654731.2,29,21
辅助生殖,20250117,-0.13,45662801.6,24,25
辅助生殖,20250118,-0.13,45662801.6,24,25
辅助生殖,20250119,-0.13,45662801.6,24,25
辅助生殖,20250120,1.28,48816089.6,44,8
辅助生殖,20250121,-1.21,48356832.0,4,49
辅助生殖,20250122,-0.95,48051121.6,10,43
辅助生殖,20250123,-0.24,47954390.4,25,25
辅助生殖,20250124,0.33,48120072.0,36,14
辅助生殖,20250125,0.33,48120072.0,36,14
辅助生殖,20250126,0.33,48120072.0,36,14
辅助生殖,20250127,-0.16,48054150.4,24,27
辅助生殖,20250128,-0.16,48054150.4,24,27
辅助生殖,20250129,-0.16,48054150.4,24,27
辅助生殖,20250130,-0.16,48054150.4,24,27
辅助生殖,20250131,-0.16,48054150.4,24,27
辅助生殖,20250201,-0.16,48054150.4,24,27
辅助生殖,20250202,-0.16,48054150.4,24,27
辅助生殖,20250203,-0.16,48054150.4,24,27
辅助生殖,20250204,-0.16,48054150.4,24,27
辅助生殖,20250205,1.81,48641318.4,46,7
辅助生殖,20250206,1.56,49526169.6,49,2
辅助生殖,20250207,2.01,50381633.6,50,2
辅助生殖,20250208,2.01,50381633.6,50,2
辅助生殖,20250209,2.01,50381633.6,50,2
辅助生殖,20250210,3.08,51643494.4,47,3
辅助生殖,20250211,-0.96,51000331.2,7,46
辅助生殖,20250212,0.05,51052886.4,20,23
辅助生殖,20250213,-0.55,50882702.4,13,40
辅助生殖,20250214,3.33,52525438.4,48,2
辅助生殖,20250215,3.33,52525438.4,48,2
