name,trade_date,pct_change,total_mv,up_num,down_num
退税商店,20241220,-0.85,15959208.4,2,8
退税商店,20241221,-0.85,15959208.4,2,8
退税商店,20241222,-0.85,15959208.4,2,8
退税商店,20241223,-3.8,15387896.5,1,9
退税商店,20241224,1.84,15672839.8,8,2
退税商店,20241225,1.04,15372782.1,5,5
退税商店,20241226,4.89,15664475.9,10,0
退税商店,20241227,-0.93,15704535.3,4,6
退税商店,20241228,-0.93,15704535.3,4,6
退税商店,20241229,-0.93,15704535.3,4,6
退税商店,20241230,0.87,15622729.9,3,5
退税商店,20241231,-1.66,15384248.4,3,7
退税商店,20250101,-1.66,15384248.4,3,7
退税商店,20250102,3.39,15510227.9,8,2
退税商店,20250103,-7.59,14592212.9,0,10
退税商店,20250104,-7.59,14592212.9,0,10
退税商店,20250105,-7.59,14592212.9,0,10
退税商店,20250106,-4.08,14262840.0,1,9
退税商店,20250107,0.91,14366638.1,8,2
退税商店,20250108,1.45,14505094.0,6,3
退税商店,20250109,-2.25,14318886.3,1,8
退税商店,20250110,-3.01,14115639.8,1,9
退税商店,20250111,-3.01,14115639.8,1,9
退税商店,20250112,-3.01,14115639.8,1,9
退税商店,20250113,-0.4,14091670.0,3,5
退税商店,20250114,4.12,14577089.2,10,0
退税商店,20250115,2.05,14729608.5,8,1
退税商店,20250116,2.92,14668388.5,9,1
退税商店,20250117,-2.59,14422975.9,1,9
退税商店,20250118,-2.59,14422975.9,1,9
退税商店,20250119,-2.59,14422975.9,1,9
退税商店,20250120,0.96,14667668.0,7,3
退税商店,20250121,1.49,14812014.1,7,2
退税商店,20250122,-2.86,14559633.4,1,9
退税商店,20250123,-1.31,14505370.6,3,7
退税商店,20250124,-0.31,14631088.1,4,6
退税商店,20250127,-3.0,14135354.2,1,9
退税商店,20250128,-3.0,14135354.2,1,9
退税商店,20250129,-3.0,14135354.2,1,9
退税商店,20250130,-3.0,14135354.2,1,9
退税商店,20250131,-3.0,14135354.2,1,9
退税商店,20250201,-3.0,14135354.2,1,9
退税商店,20250202,-3.0,14135354.2,1,9
退税商店,20250203,-3.0,14135354.2,1,9
退税商店,20250204,-3.0,14135354.2,1,9
退税商店,20250205,-1.37,14019812.2,0,9
退税商店,20250206,0.8,14041634.8,9,1
退税商店,20250207,1.34,14306692.3,9,1
退税商店,20250208,1.34,14306692.3,9,1
退税商店,20250209,1.34,14306692.3,9,1
退税商店,20250210,3.81,14681112.7,10,0
退税商店,20250211,-0.1,14791897.8,5,5
退税商店,20250212,0.06,14636467.6,5,3
退税商店,20250213,-0.59,14304712.5,3,6
退税商店,20250214,-1.51,14338049.9,1,9
退税商店,20250215,-1.51,14338049.9,1,9
