name,trade_date,pct_change,total_mv,up_num,down_num
通用航空,20241220,0.81,115039768.0,30,9
通用航空,20241221,0.81,115039768.0,30,9
通用航空,20241222,0.81,115039768.0,30,9
通用航空,20241223,-3.96,113026409.6,4,37
通用航空,20241224,0.84,114585918.4,31,7
通用航空,20241225,-0.59,113866444.8,13,28
通用航空,20241226,0.67,114075147.2,27,10
通用航空,20241227,1.5,115565684.8,33,8
通用航空,20241228,1.5,115565684.8,33,8
通用航空,20241229,1.5,115565684.8,33,8
通用航空,20241230,-0.17,115413744.0,20,21
通用航空,20241231,-2.81,113743036.8,4,37
通用航空,20250101,-2.81,113743036.8,4,37
通用航空,20250102,-4.03,109013505.6,1,39
通用航空,20250103,-4.15,105898030.4,2,39
通用航空,20250104,-4.15,105898030.4,2,39
通用航空,20250105,-4.15,105898030.4,2,39
通用航空,20250106,-1.19,104468385.6,8,32
通用航空,20250107,2.18,105772059.2,40,1
通用航空,20250108,-0.5,104748363.2,12,29
通用航空,20250109,1.94,106441313.6,35,5
通用航空,20250110,-1.74,104860795.2,7,33
通用航空,20250111,-1.74,104860795.2,7,33
通用航空,20250112,-1.74,104860795.2,7,33
通用航空,20250113,-0.34,104057249.6,20,19
通用航空,20250114,5.03,109122052.8,41,0
通用航空,20250115,-0.85,107657731.2,5,35
通用航空,20250116,0.2,96785881.6,22,18
通用航空,20250117,0.43,97705070.4,22,17
通用航空,20250118,0.43,97705070.4,22,17
通用航空,20250119,0.43,97705070.4,22,17
通用航空,20250120,0.16,108133080.0,23,17
通用航空,20250121,-0.51,108536416.0,15,25
通用航空,20250122,-1.79,106665107.2,4,35
通用航空,20250123,0.17,107366569.6,18,21
通用航空,20250124,-0.13,107550905.6,29,12
通用航空,20250127,-1.24,105652368.0,11,29
通用航空,20250128,-1.24,105652368.0,11,29
通用航空,20250129,-1.24,105652368.0,11,29
通用航空,20250130,-1.24,105652368.0,11,29
通用航空,20250131,-1.24,105652368.0,11,29
通用航空,20250201,-1.24,105652368.0,11,29
通用航空,20250202,-1.24,105652368.0,11,29
通用航空,20250203,-1.24,105652368.0,11,29
通用航空,20250204,-1.24,105652368.0,11,29
通用航空,20250205,1.52,104895465.6,30,10
通用航空,20250206,2.91,107240016.0,40,1
通用航空,20250207,1.75,108362249.6,33,7
通用航空,20250208,1.75,108362249.6,33,7
通用航空,20250209,1.75,108362249.6,33,7
通用航空,20250210,1.93,109312820.8,33,7
通用航空,20250211,-0.64,107755288.0,10,31
通用航空,20250212,1.7,109655070.4,33,8
通用航空,20250213,-0.12,110412888.0,16,24
通用航空,20250214,-0.11,110036747.2,14,24
通用航空,20250215,-0.11,110036747.2,14,24
