name,trade_date,pct_change,total_mv,up_num,down_num
量子通信,20241220,1.46,131874801.6,34,15
量子通信,20241221,1.46,131874801.6,34,15
量子通信,20241222,1.46,131874801.6,34,15
量子通信,20241223,-4.19,131786257.6,4,46
量子通信,20241224,0.29,132828664.0,29,21
量子通信,20241225,-2.57,132552022.4,7,44
量子通信,20241226,2.49,135667704.0,45,5
量子通信,20241227,-0.02,134626777.6,23,26
量子通信,20241228,-0.02,134626777.6,23,26
量子通信,20241229,-0.02,134626777.6,23,26
量子通信,20241230,-0.5,134834060.8,20,31
量子通信,20241231,-3.49,131619195.2,5,46
量子通信,20250101,-3.49,131619195.2,5,46
量子通信,20250102,-3.12,125938753.6,6,45
量子通信,20250103,-4.78,121092030.4,1,50
量子通信,20250104,-4.78,121092030.4,1,50
量子通信,20250105,-4.78,121092030.4,1,50
量子通信,20250106,-1.72,119661692.8,12,39
量子通信,20250107,3.54,122019126.4,50,1
量子通信,20250108,-0.62,121139350.4,18,32
量子通信,20250109,0.58,123712729.6,30,21
量子通信,20250110,-3.19,120980054.4,2,49
量子通信,20250111,-3.19,120980054.4,2,49
量子通信,20250112,-3.19,120980054.4,2,49
量子通信,20250113,0.21,121264667.2,33,18
量子通信,20250114,5.34,126671320.0,51,0
量子通信,20250115,-0.95,125014816.0,9,41
量子通信,20250116,1.2,122216784.0,38,13
量子通信,20250117,0.42,123139315.2,25,24
量子通信,20250118,0.42,123139315.2,25,24
量子通信,20250119,0.42,123139315.2,25,24
量子通信,20250120,0.26,125949073.6,25,24
量子通信,20250121,0.21,127868774.4,23,26
量子通信,20250122,-0.26,127770449.6,19,31
量子通信,20250123,-0.7,125771400.0,16,34
量子通信,20250124,2.29,129079419.2,48,3
量子通信,20250125,2.29,129079419.2,48,3
量子通信,20250126,2.29,129079419.2,48,3
量子通信,20250127,-1.82,125871947.2,13,38
量子通信,20250128,-1.82,125871947.2,13,38
量子通信,20250129,-1.82,125871947.2,13,38
量子通信,20250130,-1.82,125871947.2,13,38
量子通信,20250131,-1.82,125871947.2,13,38
量子通信,20250201,-1.82,125871947.2,13,38
量子通信,20250202,-1.82,125871947.2,13,38
量子通信,20250203,-1.82,125871947.2,13,38
量子通信,20250204,-1.82,125871947.2,13,38
量子通信,20250205,2.67,129153520.0,39,12
量子通信,20250206,3.15,132265796.8,50,1
量子通信,20250207,1.81,133903452.8,39,12
量子通信,20250208,1.81,133903452.8,39,12
量子通信,20250209,1.81,133903452.8,39,12
量子通信,20250210,2.97,136447792.0,39,11
量子通信,20250211,0.0,135747398.4,18,32
量子通信,20250212,1.43,137549316.8,40,10
量子通信,20250213,-1.6,135068788.8,8,42
量子通信,20250214,1.68,138406574.4,31,19
量子通信,20250215,1.68,138406574.4,31,19
