name,trade_date,pct_change,total_mv,up_num,down_num
钙钛矿电池,20241220,1.52,60862792.0,20,10
钙钛矿电池,20241221,1.52,60862792.0,20,10
钙钛矿电池,20241222,1.52,60862792.0,20,10
钙钛矿电池,20241223,-3.81,60352004.8,4,27
钙钛矿电池,20241224,1.0,61281217.6,24,6
钙钛矿电池,20241225,-2.19,61227345.6,2,28
钙钛矿电池,20241226,2.17,60859070.4,18,12
钙钛矿电池,20241227,0.01,60336240.0,14,17
钙钛矿电池,20241228,0.01,60336240.0,14,17
钙钛矿电池,20241229,0.01,60336240.0,14,17
钙钛矿电池,20241230,-0.31,60978241.6,11,20
钙钛矿电池,20241231,-2.64,59419104.0,4,27
钙钛矿电池,20250101,-2.64,59419104.0,4,27
钙钛矿电池,20250102,-2.71,58102105.6,1,30
钙钛矿电池,20250103,-3.52,56722529.6,3,28
钙钛矿电池,20250104,-3.52,56722529.6,3,28
钙钛矿电池,20250105,-3.52,56722529.6,3,28
钙钛矿电池,20250106,-0.99,56588931.2,11,19
钙钛矿电池,20250107,1.68,57676227.2,23,7
钙钛矿电池,20250108,-0.28,57146817.6,9,21
钙钛矿电池,20250109,1.15,56980756.8,18,13
钙钛矿电池,20250110,-2.59,55291193.6,4,28
钙钛矿电池,20250111,-2.59,55291193.6,4,28
钙钛矿电池,20250112,-2.59,55291193.6,4,28
钙钛矿电池,20250113,0.34,55427476.8,22,10
钙钛矿电池,20250114,4.09,57381782.4,31,1
钙钛矿电池,20250115,-0.22,57608628.8,15,16
钙钛矿电池,20250116,0.48,57799732.8,22,9
钙钛矿电池,20250117,0.03,57655340.8,14,15
钙钛矿电池,20250118,0.03,57655340.8,14,15
钙钛矿电池,20250119,0.03,57655340.8,14,15
钙钛矿电池,20250120,0.03,57860227.2,14,17
钙钛矿电池,20250121,-0.48,57388288.0,11,21
钙钛矿电池,20250122,-0.52,56997132.8,7,24
钙钛矿电池,20250123,0.06,56648161.6,10,21
钙钛矿电池,20250124,1.67,57808947.2,28,3
钙钛矿电池,20250125,1.67,57808947.2,28,3
钙钛矿电池,20250126,1.67,57808947.2,28,3
钙钛矿电池,20250127,-1.96,57180208.0,4,28
钙钛矿电池,20250128,-1.96,57180208.0,4,28
钙钛矿电池,20250129,-1.96,57180208.0,4,28
钙钛矿电池,20250130,-1.96,57180208.0,4,28
钙钛矿电池,20250131,-1.96,57180208.0,4,28
钙钛矿电池,20250201,-1.96,57180208.0,4,28
钙钛矿电池,20250202,-1.96,57180208.0,4,28
钙钛矿电池,20250203,-1.96,57180208.0,4,28
钙钛矿电池,20250204,-1.96,57180208.0,4,28
钙钛矿电池,20250205,0.83,57549745.6,23,9
钙钛矿电池,20250206,2.73,58777696.0,31,0
钙钛矿电池,20250207,1.89,60679102.4,23,7
钙钛矿电池,20250208,1.89,60679102.4,23,7
钙钛矿电池,20250209,1.89,60679102.4,23,7
钙钛矿电池,20250210,0.72,60201544.0,17,14
钙钛矿电池,20250211,0.04,59452331.2,10,22
钙钛矿电池,20250212,0.88,60094550.4,24,7
钙钛矿电池,20250213,-1.11,59438852.8,7,24
钙钛矿电池,20250214,-0.49,59661124.8,12,16
钙钛矿电池,20250215,-0.49,59661124.8,12,16
