name,trade_date,pct_change,total_mv,up_num,down_num
锂电池,20241220,1.02,753355494.4,276,100
锂电池,20241221,1.02,753355494.4,276,100
锂电池,20241222,1.02,753355494.4,276,100
锂电池,20241223,-3.56,744672179.2,43,341
锂电池,20241224,1.17,756481689.6,293,82
锂电池,20241225,-2.36,747879244.8,38,344
锂电池,20241226,1.25,749234867.2,274,93
锂电池,20241227,0.5,750056064.0,240,140
锂电池,20241228,0.5,750056064.0,240,140
锂电池,20241229,0.5,750056064.0,240,140
锂电池,20241230,-1.07,750738790.4,99,278
锂电池,20241231,-2.62,736337510.4,42,342
锂电池,20250101,-2.62,736337510.4,42,342
锂电池,20250102,-1.91,716372275.2,56,324
锂电池,20250103,-3.29,703783910.4,41,340
锂电池,20250104,-3.29,703783910.4,41,340
锂电池,20250105,-3.29,703783910.4,41,340
锂电池,20250106,0.21,705865318.4,211,167
锂电池,20250107,2.29,710333977.6,334,46
锂电池,20250108,-0.76,702338790.4,91,288
锂电池,20250109,0.79,707162726.4,251,123
锂电池,20250110,-2.6,695285478.4,37,344
锂电池,20250111,-2.6,695285478.4,37,344
锂电池,20250112,-2.6,695285478.4,37,344
锂电池,20250113,0.35,698258483.2,242,130
锂电池,20250114,4.78,723909529.6,382,3
锂电池,20250115,-0.52,716675481.6,100,271
锂电池,20250116,0.56,675497651.2,250,121
锂电池,20250117,0.15,679955814.4,204,168
锂电池,20250118,0.15,679955814.4,204,168
锂电池,20250119,0.15,679955814.4,204,168
锂电池,20250120,1.15,733834624.0,270,104
锂电池,20250121,-0.54,731805952.0,127,254
锂电池,20250122,-1.13,722958080.0,74,308
锂电池,20250123,-0.68,717030809.6,107,261
锂电池,20250124,1.14,725030553.6,300,74
锂电池,20250125,1.14,725030553.6,300,74
锂电池,20250126,1.14,725030553.6,300,74
锂电池,20250127,-1.55,715993574.4,86,294
锂电池,20250128,-1.55,715993574.4,86,294
锂电池,20250129,-1.55,715993574.4,86,294
锂电池,20250130,-1.55,715993574.4,86,294
锂电池,20250131,-1.55,715993574.4,86,294
锂电池,20250201,-1.55,715993574.4,86,294
锂电池,20250202,-1.55,715993574.4,86,294
锂电池,20250203,-1.55,715993574.4,86,294
锂电池,20250204,-1.55,715993574.4,86,294
锂电池,20250205,1.04,718732620.8,265,111
锂电池,20250206,2.79,741110604.8,357,23
锂电池,20250207,1.33,756601523.2,303,70
锂电池,20250208,1.33,756601523.2,303,70
锂电池,20250209,1.33,756601523.2,303,70
锂电池,20250210,0.96,759231052.8,263,115
锂电池,20250211,-0.51,751712256.0,111,274
锂电池,20250212,1.55,765323596.8,313,64
锂电池,20250213,-0.69,763752652.8,96,279
锂电池,20250214,0.05,772729344.0,167,206
锂电池,20250215,0.05,772729344.0,167,206
