name,trade_date,pct_change,total_mv,up_num,down_num
阿里概念,20241220,1.15,305948192.0,71,37
阿里概念,20241221,1.15,305948192.0,71,37
阿里概念,20241222,1.15,305948192.0,71,37
阿里概念,20241223,-4.51,300082670.4,11,101
阿里概念,20241224,0.68,303982016.0,76,36
阿里概念,20241225,-2.36,300107256.0,18,92
阿里概念,20241226,1.2,302001014.4,78,30
阿里概念,20241227,0.53,301718532.8,74,37
阿里概念,20241228,0.53,301718532.8,74,37
阿里概念,20241229,0.53,301718532.8,74,37
阿里概念,20241230,-0.36,302791452.8,37,73
阿里概念,20241231,-2.67,296149025.6,18,95
阿里概念,20250101,-2.67,296149025.6,18,95
阿里概念,20250102,-1.57,288271676.8,24,88
阿里概念,20250103,-4.57,279254728.0,9,103
阿里概念,20250104,-4.57,279254728.0,9,103
阿里概念,20250105,-4.57,279254728.0,9,103
阿里概念,20250106,-1.08,279668064.0,36,71
阿里概念,20250107,2.3,286668278.4,99,12
阿里概念,20250108,0.02,287329288.0,41,67
阿里概念,20250109,0.11,286485088.0,56,50
阿里概念,20250110,-3.33,281488262.4,4,109
阿里概念,20250111,-3.33,281488262.4,4,109
阿里概念,20250112,-3.33,281488262.4,4,109
阿里概念,20250113,-0.23,280592136.0,58,53
阿里概念,20250114,5.45,289540057.6,112,1
阿里概念,20250115,-0.08,287697616.0,39,71
阿里概念,20250116,0.76,268174937.6,77,34
阿里概念,20250117,-0.41,268292633.6,47,63
阿里概念,20250118,-0.41,268292633.6,47,63
阿里概念,20250119,-0.41,268292633.6,47,63
阿里概念,20250120,0.74,287758737.6,71,37
阿里概念,20250121,0.28,288609452.8,47,66
阿里概念,20250122,-1.04,285673089.6,16,97
阿里概念,20250123,-0.04,285090560.0,56,49
阿里概念,20250124,2.49,288851009.6,97,15
阿里概念,20250125,2.49,288851009.6,97,15
阿里概念,20250126,2.49,288851009.6,97,15
阿里概念,20250127,-1.06,285429524.8,36,77
阿里概念,20250128,-1.06,285429524.8,36,77
阿里概念,20250129,-1.06,285429524.8,36,77
阿里概念,20250130,-1.06,285429524.8,36,77
阿里概念,20250131,-1.06,285429524.8,36,77
阿里概念,20250201,-1.06,285429524.8,36,77
阿里概念,20250202,-1.06,285429524.8,36,77
阿里概念,20250203,-1.06,285429524.8,36,77
阿里概念,20250204,-1.06,285429524.8,36,77
阿里概念,20250205,2.51,288133056.0,85,27
阿里概念,20250206,2.57,292639320.0,101,10
阿里概念,20250207,2.13,299657950.4,93,17
阿里概念,20250208,2.13,299657950.4,93,17
阿里概念,20250209,2.13,299657950.4,93,17
阿里概念,20250210,3.81,307182390.4,97,14
阿里概念,20250211,0.1,306390388.8,50,61
阿里概念,20250212,2.47,309573547.2,86,25
阿里概念,20250213,0.6,309562721.6,53,59
阿里概念,20250214,1.85,317580228.8,75,40
阿里概念,20250215,1.85,317580228.8,75,40
