name,trade_date,pct_change,total_mv,up_num,down_num
降解塑料,20241220,0.58,68144433.6,39,20
降解塑料,20241221,0.58,68144433.6,39,20
降解塑料,20241222,0.58,68144433.6,39,20
降解塑料,20241223,-4.03,66522393.6,6,59
降解塑料,20241224,1.08,67325974.4,48,15
降解塑料,20241225,-2.22,66505827.2,11,54
降解塑料,20241226,1.19,66899720.0,44,13
降解塑料,20241227,1.72,67486864.0,53,12
降解塑料,20241228,1.72,67486864.0,53,12
降解塑料,20241229,1.72,67486864.0,53,12
降解塑料,20241230,-0.91,67206836.8,13,52
降解塑料,20241231,-2.0,65888988.8,6,58
降解塑料,20250101,-2.0,65888988.8,6,58
降解塑料,20250102,-1.72,64418718.4,6,58
降解塑料,20250103,-3.91,62721611.2,1,64
降解塑料,20250104,-3.91,62721611.2,1,64
降解塑料,20250105,-3.91,62721611.2,1,64
降解塑料,20250106,-0.02,62900267.2,35,28
降解塑料,20250107,1.93,63534356.8,55,9
降解塑料,20250108,-0.59,63121707.2,14,48
降解塑料,20250109,0.34,63108966.4,36,25
降解塑料,20250110,-2.37,62071748.8,7,58
降解塑料,20250111,-2.37,62071748.8,7,58
降解塑料,20250112,-2.37,62071748.8,7,58
降解塑料,20250113,0.14,62172784.0,39,25
降解塑料,20250114,4.13,64127923.2,65,0
降解塑料,20250115,-0.47,63790019.2,18,44
降解塑料,20250116,0.32,64009380.8,40,25
降解塑料,20250117,0.35,64554972.8,39,24
降解塑料,20250118,0.35,64554972.8,39,24
降解塑料,20250119,0.35,64554972.8,39,24
降解塑料,20250120,1.32,64769692.8,45,15
降解塑料,20250121,-0.26,64511081.6,28,35
降解塑料,20250122,-0.94,64196486.4,11,51
降解塑料,20250123,-0.06,64037670.4,27,35
降解塑料,20250124,0.82,64577603.2,42,19
降解塑料,20250125,0.82,64577603.2,42,19
降解塑料,20250126,0.82,64577603.2,42,19
降解塑料,20250127,-0.04,64739313.6,35,27
降解塑料,20250128,-0.04,64739313.6,35,27
降解塑料,20250129,-0.04,64739313.6,35,27
降解塑料,20250130,-0.04,64739313.6,35,27
降解塑料,20250131,-0.04,64739313.6,35,27
降解塑料,20250201,-0.04,64739313.6,35,27
降解塑料,20250202,-0.04,64739313.6,35,27
降解塑料,20250203,-0.04,64739313.6,35,27
降解塑料,20250204,-0.04,64739313.6,35,27
降解塑料,20250205,0.72,65002608.0,41,21
降解塑料,20250206,1.5,65640688.0,57,5
降解塑料,20250207,0.97,66320849.6,52,9
降解塑料,20250208,0.97,66320849.6,52,9
降解塑料,20250209,0.97,66320849.6,52,9
降解塑料,20250210,0.83,66897739.2,48,13
降解塑料,20250211,0.02,66981299.2,24,37
降解塑料,20250212,1.34,67972814.4,42,18
降解塑料,20250213,-0.91,67911358.4,8,53
降解塑料,20250214,-0.34,67685019.2,19,41
降解塑料,20250215,-0.34,67685019.2,19,41
