name,trade_date,pct_change,total_mv,up_num,down_num
食品安全,20241220,1.86,34294003.2,31,11
食品安全,20241221,1.86,34294003.2,31,11
食品安全,20241222,1.86,34294003.2,31,11
食品安全,20241223,-4.99,33000819.2,2,41
食品安全,20241224,0.43,33227979.2,23,18
食品安全,20241225,-2.33,32668332.8,6,37
食品安全,20241226,1.05,32949745.6,32,9
食品安全,20241227,0.86,33071091.2,33,10
食品安全,20241228,0.86,33071091.2,33,10
食品安全,20241229,0.86,33071091.2,33,10
食品安全,20241230,-1.29,33007203.2,8,34
食品安全,20241231,-2.46,32137328.0,4,39
食品安全,20250101,-2.46,32137328.0,4,39
食品安全,20250102,-1.88,31565358.4,9,34
食品安全,20250103,-4.15,30282273.6,2,41
食品安全,20250104,-4.15,30282273.6,2,41
食品安全,20250105,-4.15,30282273.6,2,41
食品安全,20250106,-0.64,29895132.8,17,23
食品安全,20250107,2.36,30340640.0,39,3
食品安全,20250108,-0.37,30190849.6,11,31
食品安全,20250109,0.72,30334953.6,25,18
食品安全,20250110,-3.08,29522486.4,5,38
食品安全,20250111,-3.08,29522486.4,5,38
食品安全,20250112,-3.08,29522486.4,5,38
食品安全,20250113,0.79,29744320.0,30,10
食品安全,20250114,4.69,31003768.0,42,0
食品安全,20250115,-0.09,30930084.8,14,27
食品安全,20250116,0.97,30675136.0,28,14
食品安全,20250117,0.1,30902120.0,18,20
食品安全,20250118,0.1,30902120.0,18,20
食品安全,20250119,0.1,30902120.0,18,20
食品安全,20250120,0.98,31484611.2,29,12
食品安全,20250121,0.13,31547952.0,17,25
食品安全,20250122,-1.12,31142966.4,11,32
食品安全,20250123,-1.18,30820537.6,10,31
食品安全,20250124,1.38,31231625.6,32,10
食品安全,20250125,1.38,31231625.6,32,10
食品安全,20250126,1.38,31231625.6,32,10
食品安全,20250127,-0.56,31055625.6,12,28
食品安全,20250128,-0.56,31055625.6,12,28
食品安全,20250129,-0.56,31055625.6,12,28
食品安全,20250130,-0.56,31055625.6,12,28
食品安全,20250131,-0.56,31055625.6,12,28
食品安全,20250201,-0.56,31055625.6,12,28
食品安全,20250202,-0.56,31055625.6,12,28
食品安全,20250203,-0.56,31055625.6,12,28
食品安全,20250204,-0.56,31055625.6,12,28
食品安全,20250205,1.81,31633180.8,31,11
食品安全,20250206,1.95,32296880.0,38,5
食品安全,20250207,1.4,32796875.2,36,7
食品安全,20250208,1.4,32796875.2,36,7
食品安全,20250209,1.4,32796875.2,36,7
食品安全,20250210,2.12,33482278.4,35,8
食品安全,20250211,-0.11,33459180.8,15,28
食品安全,20250212,1.02,34111025.6,28,14
食品安全,20250213,-0.94,33881110.4,10,32
食品安全,20250214,1.5,34592336.0,25,16
食品安全,20250215,1.5,34592336.0,25,16
