name,trade_date,pct_change,total_mv,up_num,down_num
鸡肉概念,20241220,0.64,37214827.2,12,7
鸡肉概念,20241221,0.64,37214827.2,12,7
鸡肉概念,20241222,0.64,37214827.2,12,7
鸡肉概念,20241223,-2.91,36712129.6,0,20
鸡肉概念,20241224,0.8,37029315.2,17,3
鸡肉概念,20241225,-1.37,36931369.6,4,15
鸡肉概念,20241226,-0.12,36710187.2,9,11
鸡肉概念,20241227,2.65,37281604.8,20,0
鸡肉概念,20241228,2.65,37281604.8,20,0
鸡肉概念,20241229,2.65,37281604.8,20,0
鸡肉概念,20241230,-1.96,36771608.0,2,18
鸡肉概念,20241231,-2.12,36220654.4,0,20
鸡肉概念,20250101,-2.12,36220654.4,0,20
鸡肉概念,20250102,-1.41,35669403.2,3,16
鸡肉概念,20250103,-4.21,35066734.4,1,19
鸡肉概念,20250104,-4.21,35066734.4,1,19
鸡肉概念,20250105,-4.21,35066734.4,1,19
鸡肉概念,20250106,-0.56,35099739.2,8,11
鸡肉概念,20250107,0.94,35270188.8,17,3
鸡肉概念,20250108,-0.65,35130504.0,4,16
鸡肉概念,20250109,-0.43,34685950.4,6,11
鸡肉概念,20250110,-2.66,33999073.6,0,20
鸡肉概念,20250111,-2.66,33999073.6,0,20
鸡肉概念,20250112,-2.66,33999073.6,0,20
鸡肉概念,20250113,0.82,34070924.8,14,2
鸡肉概念,20250114,2.83,34803665.6,20,0
鸡肉概念,20250115,-0.33,34602644.8,5,14
鸡肉概念,20250116,0.27,34540972.8,12,4
鸡肉概念,20250117,0.54,34808763.2,14,6
鸡肉概念,20250118,0.54,34808763.2,14,6
鸡肉概念,20250119,0.54,34808763.2,14,6
鸡肉概念,20250120,0.46,34928828.8,14,5
鸡肉概念,20250121,-0.45,34825939.2,5,15
鸡肉概念,20250122,-0.91,34528843.2,3,17
鸡肉概念,20250123,0.39,34519705.6,13,6
鸡肉概念,20250124,-0.04,34757822.4,11,8
鸡肉概念,20250127,1.06,35312358.4,17,3
鸡肉概念,20250128,1.06,35312358.4,17,3
鸡肉概念,20250129,1.06,35312358.4,17,3
鸡肉概念,20250130,1.06,35312358.4,17,3
鸡肉概念,20250131,1.06,35312358.4,17,3
鸡肉概念,20250201,1.06,35312358.4,17,3
鸡肉概念,20250202,1.06,35312358.4,17,3
鸡肉概念,20250203,1.06,35312358.4,17,3
鸡肉概念,20250204,1.06,35312358.4,17,3
鸡肉概念,20250205,-0.39,35028867.2,8,11
鸡肉概念,20250206,0.09,34863137.6,11,8
鸡肉概念,20250207,0.75,35061443.2,18,2
鸡肉概念,20250208,0.75,35061443.2,18,2
鸡肉概念,20250209,0.75,35061443.2,18,2
鸡肉概念,20250210,0.75,34996512.0,12,7
鸡肉概念,20250211,-1.39,34539804.8,1,19
鸡肉概念,20250212,0.11,34689462.4,13,7
鸡肉概念,20250213,2.01,35474219.2,19,1
鸡肉概念,20250214,-0.5,35486280.0,5,15
鸡肉概念,20250215,-0.5,35486280.0,5,15
