name,trade_date,pe,pb,float_mv,total_mv
IT服务Ⅱ,20240102,60.55,2.67,62521703.0,110429714.414214
IT服务Ⅱ,20240103,60.17,2.66,62109282.0,109598058.980065
IT服务Ⅱ,20240104,59.8,2.64,61576764.0,108709452.971275
IT服务Ⅱ,20240105,58.7,2.58,60185562.0,106524998.530124
IT服务Ⅱ,20240108,57.23,2.51,58536092.0,103567678.607226
IT服务Ⅱ,20240109,56.61,2.49,58024478.0,102595104.217388
IT服务Ⅱ,20240110,55.16,2.42,56605674.0,100238421.403164
IT服务Ⅱ,20240111,57.09,2.51,58853423.0,104002228.608297
IT服务Ⅱ,20240112,55.99,2.46,57652004.0,101943153.426608
IT服务Ⅱ,20240115,55.74,2.45,57378913.0,101425312.575316
IT服务Ⅱ,20240116,55.32,2.43,56968620.0,100642335.015467
IT服务Ⅱ,20240117,54.09,2.38,55574915.0,98185979.876085
IT服务Ⅱ,20240118,54.55,2.39,56026948.0,98868895.944535
IT服务Ⅱ,20240119,53.27,2.34,54508607.0,96440208.547665
IT服务Ⅱ,20240122,50.3,2.21,51282101.0,90922001.926757
IT服务Ⅱ,20240123,51.15,2.24,52185063.0,92538053.69117
IT服务Ⅱ,20240124,52.13,2.29,53020133.0,93967753.786605
IT服务Ⅱ,20240125,54.21,2.38,55076965.0,97622450.305543
IT服务Ⅱ,20240126,53.68,2.35,54365237.0,96419920.22274
IT服务Ⅱ,20240129,51.74,2.27,52401769.0,93143244.843666
IT服务Ⅱ,20240130,50.43,2.21,51053317.0,90684098.448354
IT服务Ⅱ,20240131,47.5,2.08,48002508.0,85421495.32772
IT服务Ⅱ,20240201,47.29,2.07,47889694.0,85259117.618898
IT服务Ⅱ,20240202,45.45,1.99,45913500.0,81743818.081897
IT服务Ⅱ,20240205,41.82,1.83,42032894.0,75255776.843101
IT服务Ⅱ,20240206,44.07,1.93,44391324.0,79593512.312812
IT服务Ⅱ,20240207,45.03,1.98,45248335.0,81034524.476522
IT服务Ⅱ,20240208,47.64,2.09,48038260.0,85639629.927651
IT服务Ⅱ,20240219,49.94,2.19,50585667.0,89969276.319999
IT服务Ⅱ,20240220,50.12,2.2,50706345.0,89998558.478117
IT服务Ⅱ,20240221,50.31,2.21,50916308.0,90317214.759642
IT服务Ⅱ,20240222,52.57,2.31,53120622.0,94128998.887717
IT服务Ⅱ,20240223,54.17,2.38,54989207.0,97130918.082286
IT服务Ⅱ,20240226,54.52,2.39,55270722.0,97706734.141217
IT服务Ⅱ,20240227,56.99,2.5,57835129.0,102228994.341161
IT服务Ⅱ,20240228,53.37,2.34,53987086.0,95755938.3115
IT服务Ⅱ,20240229,55.88,2.45,56725774.0,100653192.230001
