name,trade_date,pe,pb,float_mv,total_mv
LED,20240102,159.06,2.14,13910672.0,24838468.622022
LED,20240103,157.14,2.12,13742443.0,24605942.401622
LED,20240104,155.5,2.09,13599527.0,24336552.808561
LED,20240105,152.94,2.06,13375471.0,23952855.636466
LED,20240108,149.47,2.01,13071797.0,23422906.18865
LED,20240109,148.74,2.0,13007877.0,23308658.145243
LED,20240110,146.08,1.97,12775588.0,22908604.384151
LED,20240111,148.66,2.0,13001490.0,23323236.891031
LED,20240112,146.33,1.97,12797672.0,22953481.900046
LED,20240115,146.4,1.97,12803315.0,22975224.921448
LED,20240116,144.96,1.95,12677388.0,22767763.187742
LED,20240117,141.94,1.91,12413250.0,22276434.276763
LED,20240118,141.6,1.91,12383643.0,22203636.452511
LED,20240119,140.51,1.89,12288836.0,22013879.697293
LED,20240122,133.38,1.8,11665254.0,20856191.998183
LED,20240123,133.22,1.79,11651122.0,20819659.539993
LED,20240124,134.32,1.81,11746701.0,21014269.639633
LED,20240125,138.31,1.86,12095853.0,21647556.539317
LED,20240126,137.08,1.85,11988470.0,21458685.822889
LED,20240129,123.65,1.78,11543237.0,20669409.531608
LED,20240130,117.97,1.69,11012680.0,19723939.289603
LED,20240131,111.95,1.61,10450422.0,18710562.599369
LED,20240201,112.47,1.62,10499353.0,18769540.364515
LED,20240202,108.24,1.55,10104280.0,18047264.685818
LED,20240205,100.77,1.45,9407360.0,16747229.62351
LED,20240206,105.95,1.52,9891025.0,17581238.18964
LED,20240207,106.62,1.53,9952858.0,17662768.386197
LED,20240208,113.39,1.63,10585293.0,18816528.232726
LED,20240219,116.56,1.67,10881160.0,19369602.668112
LED,20240220,117.26,1.68,10946440.0,19472343.463406
LED,20240221,117.77,1.69,10993951.0,19573505.558261
LED,20240222,119.88,1.72,11190864.0,19929068.035445
LED,20240223,122.84,1.76,11467017.0,20423590.928476
LED,20240226,124.52,1.79,11624140.0,20707761.446772
LED,20240227,128.4,1.84,11986351.0,21343498.719705
LED,20240228,119.55,1.72,11160412.0,19865060.562096
LED,20240229,124.89,1.79,11659087.0,20744711.567734
LED,20240301,131.03,1.88,12231505.0,21718818.333064
LED,20240304,130.4,1.87,12319547.0,21701560.898078
LED,20240305,128.67,1.84,12156824.0,21392667.748328
LED,20240306,128.65,1.84,12154634.0,21395962.245292
LED,20240307,124.42,1.81,12023584.0,20988618.612326
LED,20240308,126.2,1.83,12195557.0,21300011.76082
LED,20240311,128.56,1.87,12423512.0,21711064.221966
LED,20240312,129.14,1.88,12479985.0,21814732.897741
LED,20240313,128.89,1.87,12456168.0,21791201.795848
LED,20240314,126.9,1.84,12263715.0,21451699.196497
LED,20240315,127.74,1.86,12344584.0,21612504.018097
LED,20240318,130.46,1.89,12607195.0,22078384.938756
LED,20240319,130.37,1.89,12598730.0,22065060.561844
LED,20240320,127.9,1.91,12674631.0,22216505.972587
LED,20240321,127.52,1.9,12636762.0,22161338.636727
LED,20240322,125.71,1.87,12457191.0,21850671.499498
LED,20240325,121.3,1.81,12021019.0,21116931.919674
LED,20240326,118.12,1.79,11941614.0,20978856.64447
LED,20240327,112.47,1.71,11404242.0,20028812.123855
LED,20240328,116.26,1.77,11787819.0,20674680.392548
LED,20240329,117.48,1.79,11912286.0,20898595.933037
LED,20240401,118.71,1.85,12289201.0,21585132.258593
LED,20240402,117.05,1.82,12117811.0,21288339.574089
LED,20240403,115.76,1.8,11984082.0,21049375.686644
LED,20240408,111.77,1.74,11571153.0,20290805.072742
LED,20240409,113.17,1.76,11715154.0,20524856.423074
LED,20240410,109.87,1.71,11374038.0,19914054.011768
LED,20240411,109.29,1.7,11313724.0,19816739.213123
LED,20240412,110.06,1.69,11203833.0,19637361.939931
LED,20240415,107.76,1.64,10913977.0,19099277.139868
LED,20240416,101.14,1.55,10266134.0,17955697.688287
LED,20240417,107.88,1.65,10950659.0,19142145.638153
LED,20240418,91.45,1.63,10816163.0,18921944.499835
LED,20240419,90.05,1.61,10704527.0,18750277.772486
LED,20240422,81.39,1.6,10619693.0,18609306.856067
LED,20240423,80.73,1.6,10690856.0,18732474.342965
LED,20240424,82.43,1.65,10914914.0,19119670.063086
LED,20240425,82.29,1.65,10971014.0,19211429.02121
LED,20240426,83.01,1.69,11237448.0,19680141.44346
LED,20240429,72.53,1.78,11686658.0,20441262.55646
LED,20240430,72.46,1.78,11676582.0,20429338.309942
LED,20240506,73.2,1.79,11799936.0,20592038.913996
LED,20240507,73.66,1.81,11874485.0,20752678.371027
LED,20240508,72.42,1.78,11674414.0,20417431.350318
LED,20240509,73.49,1.8,11847364.0,20755445.45255
LED,20240510,72.41,1.78,11671050.0,20454584.375866
LED,20240513,71.15,1.74,11467833.0,20094310.552365
LED,20240514,71.39,1.75,11506402.0,20154308.505314
LED,20240515,70.8,1.74,11411316.0,19983793.317651
LED,20240516,71.59,1.75,11538073.0,20206304.084953
LED,20240517,73.79,1.81,11893123.0,20843730.04355
LED,20240520,74.42,1.82,11995788.0,21038317.892153
LED,20240521,75.09,1.84,12102659.0,21230936.671431
LED,20240522,75.8,1.86,12225383.0,21459653.542973
LED,20240523,73.54,1.8,11859571.0,20796622.606421
LED,20240524,72.17,1.77,11639763.0,20424116.471655
LED,20240527,72.91,1.79,11758727.0,20602515.488869
LED,20240528,73.07,1.79,11785090.0,20627313.9341
LED,20240529,72.28,1.77,11656709.0,20419956.719702
LED,20240530,72.62,1.78,11711209.0,20482466.864689
LED,20240531,73.37,1.8,11832749.0,20692084.693142
LED,20240603,72.41,1.78,11678508.0,20381698.688854
LED,20240604,71.18,1.75,11479736.0,20033579.004771
LED,20240605,70.73,1.73,11406641.0,19885098.652684
LED,20240606,68.71,1.68,11081889.0,19301906.952228
LED,20240607,69.48,1.7,11205398.0,19523693.28998
LED,20240611,71.88,1.76,11592823.0,20183677.910338
LED,20240612,72.64,1.78,11715418.0,20383769.096703
LED,20240613,72.61,1.78,11711186.0,20401642.193852
LED,20240614,72.1,1.77,11628999.0,20260409.46727
LED,20240617,73.03,1.79,11778543.0,20513318.289462
LED,20240618,73.51,1.8,11856293.0,20635877.44035
LED,20240619,73.26,1.8,11816001.0,20566722.822678
LED,20240620,251.72,1.75,2683262.0,20019841.933385
LED,20240621,71.14,1.74,11480572.0,19939252.087061
LED,20240624,68.09,1.66,10988317.0,19037642.42142
LED,20240625,66.4,1.62,10715941.0,18591699.743117
LED,20240626,69.38,1.7,11195902.0,19438229.679883
LED,20240627,68.26,1.67,11015618.0,19126466.86225
LED,20240628,69.52,1.7,11227417.0,19495510.105336
LED,20240701,69.52,1.7,11227867.0,19500052.864211
LED,20240702,69.15,1.69,11167828.0,19393614.783554
LED,20240703,68.61,1.68,11080393.0,19212659.647968
LED,20240704,66.92,1.63,10806884.0,18664316.903582
LED,20240705,67.06,1.64,10829818.0,18720854.590093
LED,20240708,65.76,1.6,10619604.0,18377759.636298
LED,20240709,68.09,1.66,10997115.0,19008730.67919
LED,20240710,68.3,1.67,11031117.0,19058620.09511
LED,20240711,70.78,1.73,11430234.0,19763104.984967
LED,20240712,70.6,1.72,11401507.0,19727295.065576
LED,20240715,69.68,1.7,11254034.0,19444240.759921
LED,20240716,70.2,1.71,11337404.0,19574571.986696
LED,20240717,68.34,1.67,11036221.0,19056962.7935
LED,20240718,67.13,1.64,10840839.0,18702697.840657
LED,20240719,68.17,1.66,11008972.0,18984081.96335
LED,20240722,68.61,1.67,11080460.0,19087228.484014
LED,20240723,66.56,1.62,10750080.0,18549353.249229
LED,20240724,64.89,1.58,10479109.0,18075549.32875
LED,20240725,64.65,1.58,10440893.0,18017765.898295
LED,20240726,65.99,1.61,10657232.0,18404779.784551
LED,20240729,66.19,1.61,10689604.0,18456745.597733
LED,20240730,66.42,1.62,10726088.0,18531350.410954
