name,trade_date,pe,pb,float_mv,total_mv
一般零售,20240102,27.91,1.28,18784768.0,44894050.12766
一般零售,20240103,28.06,1.28,18883112.0,45104628.813394
一般零售,20240104,28.1,1.28,18913895.0,45184928.476792
一般零售,20240105,27.9,1.27,18776882.0,44871743.465531
一般零售,20240108,27.68,1.26,18646809.0,44476657.718193
一般零售,20240109,28.31,1.29,19069706.0,45459297.69518
一般零售,20240110,28.78,1.31,19384799.0,46217431.576682
一般零售,20240111,28.86,1.31,19437231.0,46406099.993279
一般零售,20240112,28.63,1.3,19285054.0,46154020.510138
一般零售,20240115,29.27,1.33,19717970.0,47205271.867471
一般零售,20240116,29.07,1.32,19450144.0,46833866.378796
一般零售,20240117,28.24,1.28,18896682.0,45503655.423287
一般零售,20240118,27.92,1.27,18684148.0,44955794.716106
一般零售,20240119,27.98,1.27,18723551.0,45122348.081994
一般零售,20240122,26.39,1.2,17661809.0,42593005.33105
一般零售,20240123,26.26,1.19,17569983.0,42395300.430504
一般零售,20240124,26.97,1.22,18047764.0,43536039.973895
一般零售,20240125,27.87,1.26,18649617.0,44952407.261032
一般零售,20240126,27.95,1.27,18701566.0,45016119.009174
一般零售,20240129,27.31,1.24,18275534.0,44001163.655795
一般零售,20240130,26.62,1.21,17814391.0,42935129.419334
一般零售,20240131,25.47,1.16,17041245.0,41094196.397032
一般零售,20240201,25.03,1.14,16747651.0,40406291.921966
一般零售,20240202,24.36,1.11,16303234.0,39273200.519811
一般零售,20240205,22.97,1.04,15370121.0,37116279.244083
一般零售,20240206,23.57,1.07,15771937.0,38175038.950902
一般零售,20240207,23.72,1.08,15873707.0,38589522.381565
一般零售,20240208,24.6,1.12,16461060.0,39958817.03789
一般零售,20240219,24.87,1.13,16642358.0,40336997.852741
一般零售,20240220,24.99,1.14,16721031.0,40527556.171573
一般零售,20240221,25.21,1.15,16867431.0,40870194.045933
一般零售,20240222,25.4,1.16,16993142.0,41194560.035333
一般零售,20240223,25.76,1.18,17229719.0,41740891.596051
一般零售,20240226,25.8,1.18,17259276.0,41798911.288822
一般零售,20240227,26.4,1.2,17662281.0,42813162.408475
一般零售,20240228,25.25,1.15,16890199.0,41011366.966384
一般零售,20240229,25.82,1.18,17268093.0,41940909.889608
一般零售,20240301,25.93,1.19,17342716.0,42159723.471268
一般零售,20240304,25.87,1.18,17300207.0,42092000.349718
一般零售,20240305,25.44,1.17,17035486.0,41492058.70225
一般零售,20240306,25.58,1.17,17134158.0,41707296.599867
一般零售,20240307,25.53,1.17,17100361.0,41788992.396437
