name,trade_date,pe,pb,float_mv,total_mv
专业工程,20240102,13.61,1.06,14335778.0,35915942.148297
专业工程,20240103,13.62,1.06,14342124.0,35921427.190941
专业工程,20240104,13.61,1.06,14329953.0,35921251.852657
专业工程,20240105,13.49,1.05,14212051.0,35670685.850402
专业工程,20240108,13.25,1.03,13957341.0,34979053.306916
专业工程,20240109,13.25,1.03,13954725.0,34805649.605795
专业工程,20240110,13.16,1.02,13858816.0,34632908.151074
专业工程,20240111,13.27,1.03,13983719.0,35068806.148618
专业工程,20240112,13.25,1.03,13961956.0,35070927.025441
专业工程,20240115,13.3,1.03,14009148.0,35265756.680102
专业工程,20240116,13.3,1.03,14009244.0,35272698.88968
专业工程,20240117,12.95,1.0,13636305.0,34277307.908958
专业工程,20240118,12.95,1.0,13637388.0,34371089.570485
专业工程,20240119,12.82,0.99,13496378.0,33974455.589265
专业工程,20240122,12.22,0.95,12855187.0,32385703.260193
专业工程,20240123,12.34,0.96,12979062.0,32736626.236925
专业工程,20240124,12.79,0.99,13449067.0,33950384.278204
专业工程,20240125,13.45,1.04,14161261.0,35829520.743892
专业工程,20240126,13.49,1.05,14201037.0,35996176.154766
专业工程,20240129,13.37,1.04,14064650.0,35731741.518088
专业工程,20240130,13.07,1.02,13840103.0,34768088.220357
专业工程,20240131,12.6,0.98,13355858.0,33538946.884323
专业工程,20240201,12.2,0.95,12935977.0,32517186.986335
专业工程,20240202,11.79,0.92,12494864.0,31419304.276212
专业工程,20240205,11.01,0.86,11653651.0,29256623.761858
专业工程,20240206,11.31,0.88,11966411.0,30057047.246446
专业工程,20240207,11.4,0.89,12058154.0,30264033.668825
专业工程,20240208,11.79,0.92,12469987.0,31279948.63809
专业工程,20240219,12.01,0.94,12707328.0,31930485.427957
专业工程,20240220,12.15,0.95,12859716.0,32311653.376797
专业工程,20240221,12.33,0.96,13043870.0,32794937.214819
专业工程,20240222,12.53,0.98,13255798.0,33368012.768218
专业工程,20240223,12.71,0.99,13459726.0,33828037.348529
专业工程,20240226,12.65,0.98,13389807.0,33619425.678442
专业工程,20240227,12.93,1.01,13714360.0,34374415.079743
专业工程,20240228,12.51,0.97,13257619.0,33303857.410813
专业工程,20240229,12.89,1.0,13659359.0,34332496.385575
专业工程,20240301,12.98,1.01,13757318.0,34593116.762674
专业工程,20240304,12.85,1.0,13620163.0,34230502.695685
专业工程,20240305,12.76,0.99,13527640.0,33976247.971935
专业工程,20240306,12.82,1.0,13592495.0,34117751.890702
专业工程,20240307,12.7,0.99,13467761.0,33796152.531113
专业工程,20240308,12.8,0.99,13570870.0,34059750.736505
专业工程,20240311,12.94,1.01,13724093.0,34456513.530672
专业工程,20240312,12.9,1.0,13690649.0,34350688.893059
